Code,Title,Link,CommitteeAbr,CommitteeFull,Rapporteur PartyAbr,Rapporteur PartyFull,Rapporteur,Commission DG,Commissioner,Date Committee Draft Report,Date Committee Draft Report2,Date Committee report tabled for plenary,Date Text adopted by Parliament,Code Text adopted by Parliament,Link Text adopted by Parliament,Link Summary,Date Commission response,Date Commission response2,Code Commission response,Code Commission response2,Link Commission response,Link Commission response2,Techref,Techtype,Techsubtype,Techbasis,Techstage,Techdossier
2012/2257(INI),European Semester for economic policy coordination: employment and social aspects in the Annual Growth Survey 2013,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2012/2257(INI)&l=e,EMPL,Employment and Social Affairs,NA,EPP - European People's Party (Christian Democrats),LOPE FONTAGNÉ Verónica,Secretariat General,BARROSO  José Manuel,05/12/2012,NA,30/01/2013,07/02/2013,T7-0053/2013,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2013-53,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1248186&t=d&l=en,28/06/2013,NA,SP(2013)304,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=22530&j=0&l=en,NA,2012/2257(INI),INI - Own-initiative procedure,Strategic initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,EMPL/7/10963
2013/2062(INI),"CARS 2020: towards a strong, competitive and sustainable European car industry",http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2013/2062(INI)&l=e,ITRE,"Industry, Research and Energy",NA,EPP - European People's Party (Christian Democrats),PROUST Franck,Enterprise and Industry,TAJANI  Antonio,25/06/2013,NA,15/11/2013,10/12/2013,T7-0547/2013,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2013-0547,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1328117&t=d&l=en,NA,NA,NA,NA,NA,NA,2013/2062(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,ITRE/7/11711
2010/2054(INI),Role of women in agriculture and rural areas,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2054(INI)&l=e,AGRI,Agriculture and Rural Development,NA,EPP - European People's Party (Christian Democrats),JEGGLE Elisabeth,Agriculture and Rural Development,CIOLOŞ  Dacian,08/10/2010,NA,31/01/2011,05/04/2011,T7-0122/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-122,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1148504&t=d&l=en,19/09/2011,NA,SP(2011)5857,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=19484&j=0&l=en,NA,2010/2054(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,AGRI/7/02382
2009/2155(INI),Simplification of the CAP,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2009/2155(INI)&l=e,AGRI,Agriculture and Rural Development,NA,European Conservatives and Reformists,ASHWORTH Richard,Agriculture and Rural Development,CIOLOŞ  Dacian,28/01/2010,NA,22/03/2010,18/05/2010,T7-0172/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-172,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1111587&t=d&l=en,16/09/2010,NA,SP(2010)4416,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=18187&j=0&l=en,NA,2009/2155(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,AGRI/7/00913
2007/2021(INI),Activities of the ACP-EU Joint Parliamentary Assembly in 2006 ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2007/2021(INI)&l=e,DEVE,Development,ALDE,Alliance of Liberals and Democrats for Europe,CORNILLET Thierry,Development,MICHEL  Louis,17/04/2007,NA,29/05/2007,20/06/2007,T6-0275/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-275,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1000609&t=d&l=en,18/07/2007,NA,SP(2007)3798/2,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=13658&j=0&l=en,NA,2007/2021(INI),INI - Own-initiative procedure,Annual report,Rules of Procedure of the European Parliament EP 048,Procedure completed,DEVE/6/45375
2011/2319(INI),Contribution to the Annual Growth Survey 2012,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2011/2319(INI)&l=e,ECON,Economic and Monetary Affairs,NA,EPP - European People's Party (Christian Democrats),GAUZÈS Jean-Paul,Secretariat General,BARROSO  José Manuel,14/12/2011,NA,27/01/2012,15/02/2012,T7-0048/2012,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2012-48,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1191944&t=d&l=en,05/06/2012,NA,SP(2012)322,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=21106&j=0&l=en,NA,2011/2319(INI),INI - Own-initiative procedure,Strategic initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,ECON/7/08055
2008/2045(INI),Better lawmaking 2006 pursuant to Article 9 of the Protocol on the application of the principles of subsidiarity and proportionality,http://www.europarl.europa.eu/oeil/popups/ficheprocedure.do?reference=2008/2045(INI)&l=e,JURI,Legal Affairs,PSE,Socialist Group in the European Parliament,MEDINA ORTEGA Manuel,Secretariat General,BARROSO  José Manuel,12/06/2008,NA,17/09/2008,21/10/2008,T6-0493/2008,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2008-493,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1054034&t=d&l=en,12/02/2009,NA,SP(2008)7292,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=16059&j=0&l=en,NA,2008/2045(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048; Rules of Procedure of the European Parliament EP 048-p2,Procedure completed,JURI/6/60336
2007/2023(INI),Modernising labour law to meet the challenges of the 21st century: Green Paper ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2007/2023(INI)&l=e,EMPL,Employment and Social Affairs,PPE-DE,European People's Party (Christian Democrats) and European Democrats,PROTASIEWICZ Jacek,"Employment, Social Affairs and Inclusion",ŠPIDLA  Vladimír,17/04/2007,NA,25/06/2007,11/07/2007,T6-0339/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-339,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1003127&t=d&l=en,29/08/2007,24/09/2007,SP(2007)4170,SP(2007)4733,http://www.europarl.europa.eu//oeil/spdoc.do?i=13767&j=0&l=en,http://www.europarl.europa.eu//oeil/spdoc.do?i=13767&j=1&l=en,2007/2023(INI),INI - Own-initiative procedure,Strategic initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,EMPL/6/45736
2007/2091(INI),Conventional energy sources and energy technology,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2007/2091(INI)&l=e,ITRE,"Industry, Research and Energy",PPE-DE,European People's Party (Christian Democrats) and European Democrats,REUL Herbert,Energy and Transport,PIEBALGS  Andris,07/06/2007,NA,26/09/2007,24/10/2007,T6-0468/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-468,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1012939&t=d&l=en,21/11/2007,20/12/2007,SP(2007)6028,SP(2007)6302/3,http://www.europarl.europa.eu//oeil/spdoc.do?i=14048&j=0&l=en,http://www.europarl.europa.eu//oeil/spdoc.do?i=14048&j=1&l=en,2007/2091(INI),INI - Own-initiative procedure,Strategic initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,ITRE/6/46096
2009/2156(INI),Agriculture in areas with natural handicaps: a special health check,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2009/2156(INI)&l=e,AGRI,Agriculture and Rural Development,NA,EPP - European People's Party (Christian Democrats),DORFMANN Herbert,Agriculture and Rural Development,CIOLOŞ  Dacian,05/01/2010,NA,23/03/2010,05/05/2010,T7-0132/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-132,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1110197&t=d&l=en,06/09/2010,NA,SP(2010)4415,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=18193&j=0&l=en,NA,2009/2156(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,AGRI/7/00914
