A	whereas the environmental costs of transport have been estimated at 1,1% of Europe's GDP,
B	whereas transport is responsible for 30% of total energy consumption in the EU and road transport accounts for 60% of this figure,
C	whereas car usage currently accounts for approximately 12% of overall EU emissions of CO2,
D	whereas the European Council of 8-9 March 2007 set a firm target of a 20% reduction in the EU's greenhouse gas emissions by 2020,
E	whereas the Commission's objective is to reach average CO2 emissions of 120 g/km for new passenger cars and light-duty vehicles by 2012,
F	whereas the EU has not yet met the above-mentioned White Paper on European Transport Policy's goal of reducing European road accident fatalities by 50% by 2010 in comparison to the 2001 level,
G	whereas the Commission has estimated that eCall, the EU-wide in-vehicle emergency call system, could save up to 2 500 lives every year in the European Union if fully deployed,
H	whereas research by the University of Cologne has indicated that 4 000 lives could be saved and 100 000 injuries avoided on Europe's roads each year if all cars had electronic stability control,
I	whereas the market for portable navigation devices grew from 3,8 million devices sold in 2005 to over 9 million in 2006,
J	whereas technological safety systems often promote a greater sense of safety and may thus result in drivers driving in a less responsible fashion; it is therefore necessary to stress the primary importance of also properly educating drivers and promoting more intelligent driving,
1	Welcomes the Intelligent Car Initiative and the progress achieved in its three pillars: co-ordination of relevant stakeholders, research and technological development, and awareness raising;
2	Believes that intelligent vehicle systems can help to reduce congestion, pollution and the number and seriousness of road accidents, but that their market penetration rate is still too low;
3	Believes that Member States should promote and get involved more actively in eSafety initiatives through Joint Technology Initiatives and that other incentives for private investments in the field of research and development should be envisaged;
4	Is encouraged by the fact that 13 Member States and 3 non-EU countries have thus far signed the eCall Memorandum of Understanding, and reaffirms its support for this measure;
5	Calls on the Member States to urge institutions working in the area of road safety to provide accident simulation training, since the number of road accident fatalities can be reduced above all by actively employing accident prevention techniques and the administration of first aid; believes that training bodies should teach correct responses to emergency situations;
6	Urges the remaining Member States to sign the memorandum as soon as possible, preferably before the middle of 2008, in order to encourage the rapid introduction of this potentially life-saving feature and stresses the need for the Commission to further develop the regulatory framework for the full harmonisation of the standard emergency call (112) as well as for the eCall (E112) EU-wide;
7	Asks the Commission to assess the validity of the transmission methods already used by carmakers for this feature;
8	Reaffirms its support for the Galileo programme and its many potential features which could ensure greater reliability of information related to these initiatives;
9	Recalls that the Commission's stated aim is to achieve a 100% take-up of electronic stability control for all new vehicles from 2012 onwards;
10	Recalls that there is potential for reducing CO2 emissions through simple measures that have been known about for a long time, such as reduced-weight seats or tyres, engine heat accumulators or brake energy regeneration, but that many vehicles do not incorporate these features; therefore calls on the Member States and the Commission to insist on incorporation of these technically simpler measures in every car;
11	Calls on the Commission and the Member States to assess the importance of developing new systems for accident avoidance, including new materials and automatic interconnections through active sensors, vehicle to vehicle as well as vehicle to road;
12	Stresses the importance of the timely and widespread market implementation of intelligent vehicle systems, given that such systems stand out, inter alia, thanks to their ability to interact with intelligent infrastructures; recalls that electronic systems require regular technical maintenance;
13	Therefore calls on Member States and the Commission to develop guidelines in order to encourage Member States to introduce incentives for both ecological and vehicle safety features;
