A	whereas our single market is a cornerstone of the European construction and its good functioning is essential for the proper implementation of EU policies and is a basis for recovery;
B	whereas the services sector accounts for more than 65 % of EU GDP and total employment and is a pillar of our economy; whereas services covered by the Services Directive amount to 45 % of EU GDP;
C	whereas the full implementation of the Directive will greatly improve the functioning of the single market in services, in particular by facilitating the market access of SMEs and the self-employed, expanding consumer choice and helping to strengthen competitiveness in the EU, growth and employment;
D	whereas a functional, efficient and more competitive services market is necessary for European industry, European enterprises (especially SMEs) and consumers;
E	whereas the Services Directive has brought concrete benefits since its adoption in 2006, facilitating market access for both business and consumers, but has not yet yielded all expected results, due to shortcomings in its implementation;
F	whereas fragmented interpretation and inadequate implementation of the directive are still hampering free movement of services across borders;
G	whereas businesses, in particular SMEs, are still having to comply with an extensive range of administrative and bureaucratic requirements which are a heavy burden for them, particularly when taken together with the difficulties they face in gaining access to credit;
H	whereas the risk of Services Directive fatigue should not cause us to relax our efforts to realise the directive's full potential;
I	whereas the time has come to act, given that, with rising unemployment and deteriorating public finances, the services sector is more than ever a source of competitiveness, growth and jobs that cannot be neglected;
1	Highlights that unnecessary and disproportionate administrative burden, discriminatory practices and unjustified restrictions to service provision across the EU are blocking significant sources of growth, hampering the creation of jobs and causing businesses to miss opportunities;
2	Emphasises that if Member States were ready to implement the Services Directive properly and fully, and remove unjustified restrictions, the Commission's ambitious estimate is that the EU could make an economic gain of up to 2,6 % of GDP in 5-10 years;
3	Notes that the Commission should focus its efforts on those service sectors that are of great economic importance and have above-average growth potential, such as business services, construction services, tourism services and retail, so as to produce tangible results in the short term for growth and jobs;
4	Stresses that effective enforcement of existing rules is a smart and fast way of contributing to growth without public spending; underlines the urgent need to make the directive work in practice with a view to releasing its untapped potential and contributing to Europe's model of a balanced and sustainable social market economy;
5	Stresses the importance of developing better indicators of Single Market performance based on real experiences and expectations of businesses and consumers to enhance functionality and their knowledge of the various rights that can be invoked to ensure access to the Single Market for Services;
6	Welcomes the development of the Digital Single Market and new forms of services such as digital and mobile services and mixed goods/services packages; underlines the need to implement the directive to its full extent, in letter and spirit, and in a future-proof manner in order to encourage innovation;
7	Encourages also the gradual opening-up of the internal market for services in the welfare sector, while respecting the provisions of the Services Directive;
8	Recalls that the Services Directive does not force the liberalisation of services, but paves the way for both business and consumers to grasp the full potential of our single market in the context of a competitive social market economy;
9	Welcomes the Commission Communication on the implementation of the Services Directive entitled ‘A partnership for new growth in services 2012-2015’ (
