A	whereas the financial crisis has demonstrated that inadequate risk management and inefficient, uneven and fragmented supervision of financial markets have contributed to financial instability and a lack of consumer protection in financial services;
B	whereas the European Parliament was strongly in favour of the creation of the European Supervisory Authorities (ESAs), has provided for more powers in coordination and direct supervision for the ESAs, and believes that they are key actors in the creation of more stable and safer financial markets and that the Union needs stronger and better coordinated supervision at Union level;
C	whereas the establishment of the European System of Financial Supervision (ESFS) has enhanced the quality and consistency of financial supervision in the internal market; whereas this is an evolutionary process in which Members of the Supervisory Board should focus on Union values and interests;
D	whereas, since the establishment of the ESFS, micro-prudential supervision in the Union has developed at a faster pace than macro-prudential surveillance;
E	whereas powers for micro-and macro-economic supervision are concentrated in the hands of the European Central Bank (ECB) that has to take appropriate measures to avoid conflicts of interest due to the ECB's tasks in monetary policy;
F	whereas the ESAs should prevent fragmentation of financial markets in the Union;
G	whereas the ESAs are tasked, inter alia, with convergence and with assisting raising the quality of day-to-day supervision, and there is a need to develop performance indicators that focus on the regulatory outcomes achieved in day to day supervision;
H	whereas the ESAs have largely fulfilled their mandate to contribute to legislative procedures and to propose technical standards;
I	whereas, although the regulations establishing the ESAs are almost identical, their scope has evolved very differently;
J	whereas in respect of regulatory technical standards (RTS) and implementing technical standards (ITS) the Commission has the responsibility to adopt, with or without amendment, the drafts proposed by the ESA, and should provide detailed reasons for departing from those drafts;
K	whereas direct supervision of credit rating agencies by the European Securities and Markets Authority (ESMA) may enhance the quality of supervision in this area;
L	whereas RTSs are adopted as delegated acts and guarantee the involvement of the ESAs in areas for which they have greater technical expertise for drafting lower levels of legislation;
M	whereas paragraph 2 of the Common Understanding between Parliament, the Council and the Commission on delegated acts states that the three institutions shall cooperate throughout the procedure leading to the adoption of delegated acts with a view to a smooth exercise of delegated power and an effective control of this power by Parliament and the Council;
N	whereas the establishment of the Single Supervisory Mechanism (SSM) was an important next step towards coherent supervision of banks in the euro area and in the other participating Member States;
O	whereas the creation of the SSM has very important implications for the institutional setting up of micro- and macro-prudential supervision in the Union given the powers attributed to the ECB in those fields;
P	"whereas the European Systemic Risk Board (ESRB) has provided useful macroeconomic recommendations for the legislative process which were in the areas of money market funds, capital requirements, the mortgage credit directive or symmetrical long-term guarantee measures in Solvency II(23)
 only partly taken into account by the Commission and the co-legislators;"
Q	whereas the ESRB does not have a mandatory role in legislation, even where macro-economic issues are concerned;
R	whereas the Advisory Scientific Committee has played an important and constructive role driving the ESRB's agenda, in particular by encouraging the ESRB to focus on controversial and fundamental issues;
S	whereas some of the ESRB proposals might have been taken into account by the co-legislators or the Commission, if they were issued at an earlier stage of the legislative process;
T	whereas in the course of the financial crisis the ESRB was established to prevent further crisis and to preserve financial stability;
U	whereas the systemic risk posed by very low interest rates kept for an excessively long period has never been mentioned by a statement issued by the ESRB;
V	whereas monetary policy can have significant influence on credit and asset price bubbles and therefore a conflict of interests between the monetary policy of the ECB and the ESRB's activity might arise;
W	whereas the ESRB following the first proposals of the Commission was supposed to have more than twice as many members of staff than it actually has and the fluctuation of qualified staff is detrimental to its work;
X	whereas the statements by the ESRB on the EMIR regulation have not been taken into account by ESMA;
Y	whereas the establishment of the ESRB outside the ECB would, due to Article 130 of the Treaty on the Functioning of the European Union (TFEU), not allow the ESRB to address the ECB in opinions, recommendations or warnings;
Z	whereas the structure of the ESRB and the size of its decision-making body hinder a swift decision-making process;
AA	whereas the ESRB Recommendation 2011/3 states that central banks should have a leading role in macro-prudential supervision and, accordingly, representatives of central banks should necessarily be members of the ESRB decision-making bodies;
AB	whereas the membership of the ESRB is strongly based around central banks which have an important role but also have similar perspectives;
AC	whereas major parts of the sectoral legislation conferring specific competences to the ESAs did not yet enter into force, thereby making it impossible for the ESAs to fulfil their tasks equally;
AD	whereas legislation relating to financial markets, financial services and financial products is highly fragmented and the multitude of legal texts causes loopholes, duplication of reporting obligations, institutional divergence and regulatory overlap and can cause unintended consequences and negative impacts on the real economy;
AE	whereas the United States of America created a federal Consumer Financial Protection Bureau with a strong mandate;
AF	whereas transparency and independence are an important ingredient of good governance and it is important to increase the transparency of the work of the ESAs and their independence;
AG	whereas even though the ESAs generally operate in a transparent way through information on their websites, there is a need for increased transparency regarding their work and progress on advice and proposals as well as more information regarding issues such as task forces and working groups;
AH	whereas the Commission is involved formally and informally in the operations of the ESAs, its involvement is not yet be on a transparent basis, and its role should be aligned with that of the Parliament and the Council, so that the independence of the ESAs is not called into question;
AI	whereas the benefit of stakeholder groups contributions to the work of the ESAs seems to have been limited;
AJ	whereas increased transparency is of utmost importance for the Stakeholder groups for creating well considered and workable rules for the financial markets and cooperation with market participants would work much better if those groups were more transparent regarding the composition of the group and the detailed duties assigned to the group;
AK	whereas the ESAs should support the Commission by making their expertise in financial services available in a transparent way;
AL	whereas the ESAs should assist the Commission and the co-legislators by assessing the extent to which legislation is meeting its regulatory objectives, and in the interests of transparency should make that assessment public	The ESAs should provide formal opinions on proposed Union legislation and assess the strength of the evidence and analysis contained in impact assessments of legislative proposal;
AM	"whereas in Case C-270/12, the ruling of the Court of Justice of the European Union indicated a potentially enhanced scope for activities of the European System of Financial Supervisors under Article 114 TFEU in comparison to the prevailing interpretation of the judgment in Case C-9/56 Meroni
(24)
 at the time when the ESFS was created and therefore the Commission should asses its potential implications in the forthcoming review of the ESFS;"
AN	whereas supervision by the ECB of financial conglomerates active in banking and insurance business is limited by the legal basis for the SSM;
AO	whereas the creation of the SSM modifies the underlying supervisory scheme of the ESFS and creates a certain degree of asymmetry between the different authorities and their scopes of supervision;
AP	whereas after the entry into force of the SSM it is particularly important to avoid regulatory arbitrage, guarantee a level-playing field, ensure the good functioning of the internal market, prevent distortions and preserve fundamental freedoms;
AQ	whereas the ECB and the ESAs use different reporting standards and intervals and the creation of the SSM might pose a serious risk of duplication of reporting requirements, if national authorities do not cooperate sufficiently with the SSM and ESAs;
AR	whereas the right of investigation against possible breaches of Union law and the possibility of binding mediation has seldom been used and the ESAs have only very limited possibilities to initiate investigations into alleged breaches of law by national competent authorities;
AS	whereas concerning possible breaches of Union law the decisions affecting national supervisory authorities are taken by national supervisors within the ESA's Boards of Supervisors;
AT	whereas under the influence of the binding mediation powers of the ESAs many useful solutions were found between national supervisory authorities;
AU	whereas it has been difficult for national representatives to separate their role of head of a national competent authority and European decision-making challenging their ability to genuinely adhere to the requirement to act independently and objectively in the sole interest of the Union as a whole in accordance with Article 42 of the ESA regulations;
AV	whereas peer pressure has not worked as envisaged during the original design of the ESAs and is necessary to enable the ESAs to stimulate its development;
AW	whereas some ESAs are still struggling to collect the information necessary for their work in the necessary format and whereas EBA had to carry out stress tests, but in some cases neither had the necessary legal power to collect the data required for the tests nor the legal powers to verify data which appeared to be imprecise;
