A	whereas organic farming has become a growth industry and production method in the European Union as a result of consumer demand and the ever-increasing supply offered by producers,
B	whereas this production method makes a major contribution to the multifunctionality of European agriculture, providing as it does healthy, high-quality products while at the same time bringing about a reduction in environmental pollution, encouraging the preservation and sustainable use of biodiversity, providing protection for cultivated land and preserving, or even creating, jobs,
C	whereas in the EU of 15 the agricultural area devoted to organic farming increased from 0.1 to 3.3% between 1985 and 2002, and whereas organic food represents an estimated turnover of EUR 11 billion at European level and EUR 23 billion worldwide,
D	whereas before 1992 – the year when the European Union gave its support to organic farming in the framework of its agri-environmental policy – organic farming was developed solely at the private initiative of certain farmers, with the support of interested members of the public,
E	whereas Regulation (EEC) No 2092/91 is based on the promotion and production- and marketing-control criteria already developed by the relevant organic farming associations,
F	whereas under the latest reform of the CAP support for organic farming depends on the overall volume of resources within the second pillar of the CAP and on the portion thereof compulsorily set aside for this farming method,
G	whereas the special characteristics of organic farming, not only with regard to the environmental conditions required for it to operate, but also with regard to:
H	whereas there is great variation in the support given by Member States to the development of organic farming, and whereas the disparities between them must be reduced in the framework of a European action programme to promote organic farming,
I	whereas possible contamination by genetically modified crops is of particular importance in the context of organic farming, particularly as regards the measures to be taken to regulate the coexistence of transgenic and organic crops,
1	Welcomes the fact that the Commission recognises that organic farming plays an important part in the objectives of the new CAP, as defined in the June 2003 Council of Ministers Luxembourg Agreement; notes that it does not consider it necessary to provide human or financial resources in the context of the European Union budget; welcomes the demand-based approach chosen by the Commission to stimulate organic farming;
2	Takes the view that:
3	"Welcomes the Commission's intention to 
further harmonise European standards for organic products and production, thus enabling proper functioning of the internal market, ending distortion of competition, and guaranteeing completely free trade in organic products throughout the European Union; considers that Member States"" higher national standards should not prevent organic products from other Member States being traded freely as certified organic products in such Member States;"
4	Acknowledges the major role of the Internet as a tool for the dissemination and promotion of organic farming and believes that it is extremely important that the information be circulated among the agents involved; suggests, for this reason, that a serious effort be made to transfer the technology already available; and requests that the Commission establish training measures with Community funding (over and above the provisions of Action 6 addressed to the Member States) for those farmers and producers who wish to opt for the conversion of their traditional operations into organic operations;
5	Takes the view that there should be better harmonisation of specifications, including those in the livestock-rearing sector;
