A	the European Union is a political project based on shared values and commonly pursued objectives,
B	the EU has evolved into a political union of democracies which is itself committed to democratic standards and to developing a vivid democratic culture,
C	the incentive offered by the prospect of EU membership has undeniably contributed to the promotion of reforms, the consolidation of democracy, increased respect for human rights and increasing stability in neighbouring countries,
D	"the Thessaloniki European Council of 19-20 June 2003 reaffirmed the commitment to full implementation of the Thessaloniki agenda, and the Brussels European Council of 15-16 June 2006 reaffirmed the intention to honour the existing commitments made to the South-East European countries (Turkey and Croatia, countries with which accession negotiations are underway, the Former Yugoslav Republic of Macedonia/FYROM, as candidate country, and the Western Balkans countries, as potential candidates) concerning enlargement, while emphasising the need to ensure that the Union ""is able to function politically, financially and institutionally as it enlarges"","
E	the EU must proceed from its irreversible commitment to democracy and from its understanding that democracy only functions if the
F	the European Parliament, in conjunction with national parliaments, and with the support of regional and local authorities and civil society bodies, can contribute to improving transparency and accountability of the enlargement process and thereby increase public consensus on this issue,
G	enlargement should – as laid down in the Treaty – contribute to the European integration process and to the achievement of an ever closer union among the peoples of Europe but not undermine the political nature of this project; it should promote peace, security, stability, democracy and prosperity in Europe,
H	for that reason, the Union's integration capacity must be taken into account when consideration is given to the future of the Union,
I	the declaration issued at the European Council in Copenhagen of 21-22 June 1993 mentioned as an important consideration 'the Union's capacity to absorb new members, while maintaining the momentum of European integration',
J	Member States and the EU Institutions must address courageously the institutional, financial and political factors which underlie the Union's capacity to integrate new Member States,
K	this presupposes a thorough analysis of the implications which increased membership may entail for the Union's cohesion policies and for its finances,
L	integration capacity is an evolutionary concept which must be assessed regularly in the light of new circumstances,
M	integration capacity is based on objective criteria and addresses real problems and therefore should not be confused with public perception of the impact of further enlargements,
N	integration capacity is not a new criterion applicable to the candidate countries but a pre-requisite for the success of enlargement and for deepening the process of European integration; responsibility for improving its integration capacity lies with the Union and not with the candidate countries,
O	acceding and candidate countries must comply with the accession criteria established by the Copenhagen European Council (Copenhagen criteria) and all other obligations stemming from the Treaties and bilateral agreements,
1	Agrees with the Commission that past enlargements have been a success, have strengthened the European Union by stimulating its economic growth, reinforcing its role in the world and promoting the development of new EU policies, and have promoted democracy, peace and prosperity in Europe; emphasises that enlargement in general is among the most effective instruments of foreign policy and conflict prevention policies of the EU; recalls that this success derives from the widespread support for past enlargements as the fulfilment of the initial mission of European integration to reunite the European continent after the political divisions of the twentieth century;
2	Notes nevertheless that lessons can be learned from past experience, notably the need to judge each candidate country on its own merits and to negotiate its accession in accordance with a timetable based on effective compliance with the Copenhagen criteria, as well as the need to avoid setting too early a date for final accession;
3	Believes that these lessons should be used to improve the quality and transparency of the enlargement process;
4	Is of the opinion that the Union should honour its commitments to the countries which already have membership prospects, provided that those countries comply with the Copenhagen criteria and fulfil the obligations arising therefrom; emphasises that fulfilment of these commitments is a strong incentive for those countries to pursue their reforms;
5	Agrees that consolidation, conditionality and communication are the guiding principles of the EU's enlargement strategy; is of the view that any further commitment to enlarge will require far more in-depth scrutiny than ever before of the question of the Union's integration capacity, be it from an institutional, financial or political standpoint;
6	Therefore regrets the Commission's failure to provide a sufficiently in-depth analysis of the issues which need to be resolved before the Union can proceed with further enlargements;
7	Considers the 'Special report on the EU's capacity to integrate new members' in Annex I of the Communication, an unsatisfactory answer to Parliament's request, in paragraph 5 of its abovementioned resolution of 16 March 2006, for a 'report ..	setting out the principles which underpin this concept';
8	Is of the opinion that the integration capacity of the Union rests fundamentally on three pillars, namely its institutions and their legitimacy and ability to act and take decisions democratically and efficiently under new circumstances, its financial resources and their overall contribution to economic and social cohesion, and the capacity of an enlarged Union to pursue its political objectives;
9	Recalls that responsibility for improving its integration capacity therefore lies with the Union and not with the candidate countries;
10	"Believes that the EU can only expect its citizens to have a positive attitude towards enlargement if they see a Europe that delivers results; emphasises, therefore, that integration capacity cannot be seen in isolation from the EU's capacity to act; considers that enlargement should be a part of the Union's Citizens"" Agenda and should be communicated accordingly;"
11	Considers that the Union's proper functioning rests on the unqualified adherence of all its members to the universal values that underlie the EU as a political project: the inalienable and inviolable rights of the human person, freedom, democracy, equality and the rule of law which make up the European identity;
12	Believes that any failure to ensure that the EU's integration capacity matches its enlargement agenda would weaken the Union internally and externally and reduce the benefits of increased membership for all its members, and that this effect would not be compensated by increased external size;
13	Criticises the Commission for the superficial way in which it deals with the institutional aspects, and refers in this respect to its resolution of 13 December 2006 on the institutional aspects of the EU's capacity to integrate new Member States
14	Recalls the terms of its abovementioned resolution of 19 January 2006 and reaffirms that, following the accession of Bulgaria and Romania, the Treaty of Nice will not provide an adequate basis for further enlargements;
15	Therefore urges the Heads of State and Government to conclude the constitutional process by the end of 2008, as stated at the European Council in Brussels of June 2006, in order the enable the Union to work more effectively, more transparently and more democratically, which is a pre-requisite for further enlargements;
16	Reminds Heads of State and Government of their duty to complete this process before the next European elections, so as to avoid delay in current accession negotiations;
17	Emphasises that the institutional reform of the Union is a need per se, regardless of further enlargements, and should be pursued rigorously and expeditiously;
