A	whereas education and the family fall within national competence and responsibility,
B	whereas education is a fundamental right for all and an essential precondition for an individual's personal development and participation in economic and social life,
C	whereas the education system should include both the removal of the obstacles which make genuine equality between men and women difficult to achieve and the promotion of full equality between the sexes,
D	whereas access to education, lifelong learning and high-quality training are essential if young men and women are to provide the skills that Europe needs, both with regard to boosting employment and growth and to solidarity between the generations and population renewal,
E	"whereas a better balance between family life and student life at all levels could enable young people, particularly young women, to develop their potential more fully and thus contribute to the ""knowledge society"", economic competitiveness, social cohesion and the renewal of European society, all of these being aims set out in the revised Lisbon Strategy,"
F	whereas the future of Europe depends on its ability to foster societies that welcome young men and women; whereas, in this context, satisfying the desire for parenthood or for caring for dependent adults or the disabled should not conflict with education or career choices or constitute a barrier to staying in or returning to education or pursuing a career,
G	whereas higher education and training is a fundamental precondition for genuine access to the labour market and a means of guarding against poverty, which affects women in particular, and of aligning male and female pay,
H	whereas access to higher education for girls and young women from national minorities or for girls and young women from immigrant groups is particularly limited and/or often characterised by discrimination and segregation in schools,
I	whereas a longer time spent in education
J	whereas the opportunities provided by lifelong learning and longer periods spent in education are increasing the average age of men and women in education and training
K	whereas increased life expectancy has an impact on relations between generations and within the family by increasing the number of dependent people,
L	whereas the abovementioned Commission's Communication of 12 October 2006 on the reconciliation of professional, private and family life recognises that policies in this area should also concern young men and women who are still in higher education,
M	whereas financial difficulties and discrimination of various kinds often make it difficult to gain access to, or continue in, education or training; whereas these difficulties are particularly acute for young men and women who have family responsibilities, and possibly also work responsibilities
N	whereas, even if it is not for the Member States to influence individual choices as to whether or not to assume family responsibilities, they should create a favourable social and economic environment for young parents and young people who have responsibility for dependent adults or for persons with disabilities, in view of the demographic challenges facing the EU,
O	whereas the fact that people are starting a family and having children later in life affects the demographic situation in every Member State,
P	whereas statistics show that Europeans do not have the number of children that they would like
Q	whereas women, who are often the primary carers for dependants
R	whereas in most countries, where people have a job at the same time as pursuing a course of study, either they are ineligible for social assistance or the amount of assistance for which they are eligible is reduced, and whereas the status of student, particularly where the student has dependants, makes it considerably more complicated to obtain bank loans or credit,
S	whereas an increasing number of people now live in alternative family units which do not fit the traditional image of the nuclear family consisting of a mother, a father and their joint biological children,
T	whereas family responsibilities imply specific needs in a number of areas, particularly with regard to housing, childcare services, care for dependants and flexibility in the course of study,
U	whereas the treatment of students with family responsibilities varies between countries and between higher education and vocational training establishments, which may constitute an obstacle to student mobility and thus to their achieving their desired education and career; whereas there is inequality in the way education systems take account of student needs and in the criteria for allocating student grants,
V	whereas there are very few statistics and indicators available at Member State and EU level which illustrate the living conditions of young people with family responsibilities who are in education or training,
1	Points out that education and training is a human right for girls and women and an essential precondition of the full enjoyment of all other social, economic, cultural and political rights;
2	Points out that the recommendations that follow concern young people who are following a course of study or training and who have, or would like to have, family responsibilities either as parents or as carers for dependent adults or persons with disabilities;
3	Points out that, according to the conclusions of the abovementioned Green paper on demography, the European demographic deficit is due in part to the various stages of life (education, work, family) currently being reached later than previously;
4	Welcomes the Commission's recognition, expressed in the abovementioned Communication of 12 October 2006 on the reconciliation of professional, private and family life, of the fact that policies aimed at achieving a better balance should also be addressed to young women and men who are still in higher education, but regrets the lack of specific proposals in this regard;
5	Encourages the Commission and the Member States to promote policies which make it easier to combine studying
6	Encourages the Member States to be more aware of the situation of young men and women who have family responsibilities in addition to being in education or training, and particularly to make resources available to them that suit to their needs;
7	In view of the fact that the task of caring for dependants falls mainly to women, who thus find it difficult to pursue their studies, calls upon the Member States to set up social services to promote personal independence and to provide care for people who are dependent upon others;
8	Encourages the Member States to offer affordable 'student insurance', and in particular social and medical cover, which could be extended to students' dependents;
9	Suggests that Member States and credit institutions should simplify and facilitate the provision of loans on beneficial terms to young men and women who are combining family responsibilities with a period of study or training;
