A	whereas culture forms a fundamental basis for European identities and shared values;
B	whereas culture is at the heart of contemporary debates on identity, social cohesion and the development of a knowledge-based economy, as is stated in the 2001 UNESCO Universal Declaration on Cultural Diversity;
C	whereas everyone has the right to participate in the cultural life of the community and to enjoy the arts and whereas cinema art, moreover, helps people to acknowledge one another, sharing the same human experience, helping to create a European identity;
D	whereas investments in culture show long-term, non-material, multigenerational results in shaping the European identity;
E	whereas the European audiovisual sector, including cinema, constitutes a significant part of the EU economy and should be more competitive at the global level;
F	whereas European film is an important part of culture, promoting dialogue and understanding, embodying and showing European values within and outside of the EU, whilst playing a significant role in the preservation and support of cultural and linguistic diversity;
G	whereas European cinema should strengthen territorial and social integrity;
H	whereas the digital era brings new opportunities for the audiovisual sector, in particular in the film industry as regards more effective distribution, screening and availability of films and as regards the higher audio and visual quality that it offers for European audiences, while it also creates some serious challenges to European cinema in the process of moving to digital technologies, particularly with regard to finance;
I	whereas digital technologies therefore contribute to the implementation of EU and national goals on the screening and accessibility of European works, and on social cohesion;
J	whereas digital cinema technology makes possible flexible promotion planning and last-minute changes in material;
K	whereas the first phase of the digitisation of European cinema has been of uneven benefit;
L	whereas the latest generation of digital equipment is approximately 25-30% cheaper than previous models and is now at a more accessible level to both European cinemas and funding programmes;
M	whereas not all cinemas are equally capable of coping with the challenge of digitisation of cinemas;
N	whereas the complete digitisation of both the European film industry and its cinemas must be accomplished urgently, to avoid a reduction of access to cultural diversity and availability on multiple platforms, and should be supported at European and national level;
O	whereas independent and art-house screens constitute Europe's unique cinema network, representing diverse programming that appeals to an audience outside the commercial mainstream;
P	whereas the concerns expressed by art-house cinema organisations, which have suggested special and priority measures to promote the production and distribution of independent European films, should be acknowledged;
Q	whereas local and regional governing bodies are key entities in defending and promoting European cultural heritage, in particular the digitisation of films and cinemas, and therefore constitute fundamental partners in the digitisation process;
R	whereas cinemas are an important means of preserving the quality of life and social interaction in old city centres and in the suburbs, and of regenerating urban areas;
S	whereas European cinematographic works need to meet with success in Europe if they are to be distributed internationally, thus enabling them to meet their financial objectives and constitute a form of cultural cooperation and diplomacy through which not only the works, but also Europe's diverse mix of cultures, are disseminated in third countries;
T	whereas the digital transition should be as fast as possible in order to avoid the doubling of production and distribution costs;
U	whereas the European film industry is currently fragmented along national and linguistic borders, and whereas films are in the first place made for and consumed by the local audience of the country of origin;
1	Emphasises the important contribution of European cinema to investment in digital technologies, innovation, growth and jobs;
2	Points out that almost 1 billion cinema tickets were sold in the EU in 2010, demonstrating cinema's continued popularity and huge financial, growth and employment potential;
3	Stresses that European cinema is of growing importance to the economy, as it provides more than 30 000 jobs;
4	Stresses that, in addition to the economic impetus provided by the arts sector in the EU, European cinema also has, in particular, an extremely important cultural and social dimension and is an important factor in the cultural development and identity of Europe;
5	Notes that the European cinema market is highly fragmented and diversified, a great majority of the cinemas having only one or two screens;
6	Notes that multiplexes constitute the majority of digitised cinemas;
7	Notes that in Europe, there is a geographical imbalance in the accessibility of cinemas and film to citizens, most notably in Eastern Europe and in rural areas;
8	Emphasises the importance of the social and cultural role played by cinemas, one which must be preserved, particularly in rural and remote areas;
9	Notes that the potential of the European film industry is constantly growing, but the proportion of European productions showing in cinemas must be progressively increased;
10	Points out that small commercial and non-commercial cinemas make a vital contribution to preserving cultural heritage by including European productions in their programmes;
11	Points out that film screening is in the process of changing, with growing numbers of multiplexes and a marked reduction in the number of screens in small towns and old city centres;
12	Considers that the diversity of the EU's cinematic landscape must be preserved;
13	Observes that, partly because of the primacy assigned to blockbuster films, the diversity of films in Europe and cinemas' freedom to decide on their programming are endangered and as a result there is reason to fear an irreversible market concentration in the field of cinema;
14	Emphasises therefore that the digital roll-out must preserve programming diversity and cultural facilities for rural and urban areas in all EU countries and must not result in the closure of small and art-house cinemas to the benefit of multiplexes;
15	Points out that digitisation makes it possible to distribute cultural contents throughout the internal market more cheaply, and safeguards the competitiveness and diversity of European cinema;
16	Notes that there is increasing pressure for all films to be compatible with digital projection, while some European cinemas have already converted to 100% digital;
17	Notes with concern that the survival of many independent cinemas is being endangered by the high costs of converting to digital technology and competition from cinemas which primarily show films from the USA;
18	Notes that independent distributors are having problems coping with the dual costs they must meet in the transition period, which is having a ripple effect throughout the cinema industry;
19	Notes that multi-territory or pan-European licensing is crucial for unlocking the potential of online distribution film markets, for promoting a wider circulation of European films, for better consumer access to European films and for availability of European films on Video On Demand (VOD) platforms;
20	Notes that a number of EU schemes exist that have the potential to support the transition of the film industry to the digital age, such as the MEDIA programme;
21	Notes that, as a result of inadequate funding, European cinema is being insufficiently promoted internationally;
22	Stresses the importance of all the stages in the production chain in creating cinema content and the need to support all those stages;
23	Points out that multimedia technology is supplanting other forms of communication and that there is therefore a need to teach people how to receive it;
24	Calls on the Member States and the Commission to financially support the full digitisation in terms of equipment of EU cinemas and to establish European and national programmes to support the transition to digital technologies as quickly as possible and encourage the circulation of European films within an audiovisual sector that is globally very competitive;
25	Stresses in this respect that the programmes should be flexibly aligned with practical requirements;
26	Highlights that digital cinema should aim at improving the quality of picture and sound (when a 2K resolution minimum is implemented), in order to allow a more diversified and flexible programming of live events, and also of recorded broadcasts and of educational, cultural and sporting events, while enabling the use of a wide range of innovative technologies that will continue to attract audiences into the future;
27	Underlines that it is essential to support and promote EU productions and recognises that the EU contributes significantly to digital creativity and innovation such as 3D;
28	Acknowledges that although the digitisation of cinemas is a key priority, a consistent technological development should be taken into account, since in the medium and long term it may be necessary to further adapt to newer screening formats;
29	Recalls that the European shift to digital cinema should aim at creating new opportunities for the distribution of European films, maintaining the diversity of European production and enhancing its accessibility for European citizens;
30	Underlines that VOD may provide European film companies with the opportunity of reaching larger audiences;
31	Acknowledges that creation and innovation are matters of general interest, and urges that investing in programmes should be prioritised and supported in order to stimulate the supply of good quality content available on the networks;
32	Urges small and independent cinemas to take every advantage of their commercial potential, through product diversification, adding value to the service they provide and utilising the niche market they occupy;
33	Believes that digitisation is a very important opportunity to promote the presence of official regional languages in cinemas as well as foreign language learning;
