Code,Title,Link,CommitteeAbr,CommitteeFull,Rapporteur PartyAbr,Rapporteur PartyFull,Rapporteur,Commission DG,Commissioner,Date Committee Draft Report,Date Committee report tabled for plenary,Date Text adopted by Parliament,Code Text adopted by Parliament,Link Text adopted by Parliament,Link Summary,Date Commission response,Date Commission response2,Code Commission response,Code Commission response2,Link Commission response,Link Commission response2,Techref,Techtype,Techsubtype,Techbasis,Techstage,Techdossier
2007/2287(INI),Green Paper on retail financial services in the Single Market ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2007/2287(INI)&l=en,ECON,Economic and Monetary Affairs,PPE-DE,European People's Party (Christian Democrats) and European Democrats,KARAS Othmar,Internal Market and Services,MCCREEVY  Charlie,06/02/2008,16/05/2008,05/06/2008,T6-0261/2008,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2008-261,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1039026&t=d&l=en,16/07/2008,25/07/2008,SP(2008)4439,SP(2008)4438,http://www.europarl.europa.eu//oeil/spdoc.do?i=15036&j=0&l=en,http://www.europarl.europa.eu//oeil/spdoc.do?i=15036&j=1&l=en,2007/2287(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,ECON/6/56159
2008/2231(INI),Relations between the European Union and the Mediterranean countries,http://www.europarl.europa.eu/oeil/popups/ficheprocedure.do?reference=2008/2231(INI)&l=en,AFET,Foreign Affairs,PSE,Socialist Group in the European Parliament,NAPOLETANO Pasqualina,External Relations,FERRERO-WALDNER  Benita,10/09/2008,12/12/2008,19/02/2009,T6-0077/2009,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2009-77,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1068778&t=d&l=en,18/03/2009,NA,SP(2009)1487/2,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=16510&j=0&l=en,NA,2008/2231(INI),INI - Own-initiative procedure,Strategic initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,AFET/6/66775
2007/2109(INI),Common organisation of the markets in fishery and aquaculture products,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2007/2109(INI)&l=en,PECH,Fisheries,GUE/NGL,European United Left/Nordic Green Left,GUERREIRO Pedro,Maritime Affairs and Fisheries,BORG  Joe,10/09/2007,26/11/2007,12/12/2007,T6-0606/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-606,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1018694&t=d&l=en,23/01/2008,25/02/2008,SP(2008)0411,SP(2008)0532,http://www.europarl.europa.eu//oeil/spdoc.do?i=14379&j=0&l=en,http://www.europarl.europa.eu//oeil/spdoc.do?i=14379&j=1&l=en,2007/2109(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,PECH/6/47476
2012/2133(INI),New agenda for European Consumer Policy,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2012/2133(INI)&l=en,IMCO,Internal Market and Consumer Protection,NA,Progressive Alliance of Socialists and Democrats ,GARCÉS RAMÓN Vicente Miguel,Health and Consumers,BORG  Tonio,23/11/2012,17/05/2013,11/06/2013,T7-0239/2013,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2013-239,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1275416&t=d&l=en,15/11/2013,NA,SP(2013)626,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=22909&j=0&l=en,NA,2012/2133(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,IMCO/7/09947
2012/2030(INI),Completing the Digital Single Market,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2012/2030(INI)&l=en,IMCO,Internal Market and Consumer Protection,NA,EPP - European People's Party (Christian Democrats),ARIAS ECHEVERRÍA Pablo,Internal Market and Services,BARNIER  Michel,05/06/2012,26/10/2012,11/12/2012,T7-0468/2012,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2012-468,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1239092&t=d&l=en,13/05/2013,NA,SP(2013)175,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=22097&j=0&l=en,NA,2012/2030(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,IMCO/7/08652
2007/2182(INI),Gender equality and women empowerment in development cooperation ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2007/2182(INI)&l=en,DEVE,Development,GUE/NGL,European United Left/Nordic Green Left,UCA Feleknas,Development,MICHEL  Louis,26/11/2007,11/02/2008,13/03/2008,T6-0103/2008,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2008-103,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1029469&t=d&l=en,09/04/2008,08/05/2008,SP(2008)2060,SP(2008)2630,http://www.europarl.europa.eu//oeil/spdoc.do?i=14661&j=0&l=en,http://www.europarl.europa.eu//oeil/spdoc.do?i=14661&j=1&l=en,2007/2182(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,DEVE/6/53436
2013/2080(INI),Regulatory framework for electronic communications. Implementation report,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2013/2080(INI)&l=en,ITRE,"Industry, Research and Energy",NA,Progressive Alliance of Socialists and Democrats ,TRAUTMANN Catherine,"Communications Networks, Content and Technology",KROES  Neelie,26/11/2007,11/02/2008,13/03/2008,T6-0103/2008,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2008-103,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1029469&t=d&l=en,09/04/2008,08/05/2008,SP(2008)2060,SP(2008)2630,http://www.europarl.europa.eu//oeil/spdoc.do?i=14661&j=0&l=en,http://www.europarl.europa.eu//oeil/spdoc.do?i=14661&j=1&l=en,2013/2080(INI),INI - Own-initiative procedure,Implementation,Rules of Procedure of the European Parliament EP 048,Procedure completed,ITRE/7/12552
2007/2087(INI),Road map for the Union's constitutional process ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2007/2087(INI)&l=en,AFCO,Constitutional Affairs,PPE-DE,European People's Party (Christian Democrats) and European Democrats,BROK Elmar,Legal Service,BARROSO  José Manuel,17/04/2007,22/05/2007,07/06/2007,T6-0234/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-234,http://www.europarl.europa.eu//oeil/popups/summary.do?id=999355&t=d&l=en,18/07/2007,NA,SP(2007)3798/2,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=13629&j=0&l=en,NA,2007/2087(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,AFCO/6/46698
2010/2037(INI),Progress towards the achievement of the Millenium Development Goals: mid-term review in preparation of the UN high-level meeting in September 2010,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2037(INI)&l=en,DEVE,Development,NA,Progressive Alliance of Socialists and Democrats ,CASHMAN Michael,Development,PIEBALGS  Andris,25/03/2010,19/05/2010,15/06/2010,T7-0210/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-210,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1114667&t=d&l=en,27/10/2010,NA,SP(2010)6508/2,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=18415&j=0&l=en,NA,2010/2037(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,DEVE/7/02386
2011/2111(INI),EU foreign policy towards the BRICs and other emerging powers: objectives and strategies,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2011/2111(INI)&l=en,AFET,Foreign Affairs,NA,EPP - European People's Party (Christian Democrats),SARYUSZ-WOLSKI Jacek,NA,NA,28/09/2011,10/01/2012,02/02/2012,T7-0017/2012,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2012-17,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1189215&t=d&l=en,01/06/2012,NA,SP(2012)260,NA,http://www.europarl.europa.eu//oeil/spdoc.do?i=21069&j=0&l=en,NA,2011/2111(INI),INI - Own-initiative procedure,Initiative,Rules of Procedure of the European Parliament EP 048,Procedure completed,AFET/7/06193
