Code,Title,Link,CommitteeAbr,CommitteeFull,Rapporteur PartyAbr,Rapporteur PartyFull,Rapporteur,Commission DG,Commissioner,Date Committee Draft Report,Date Committee report tabled for plenaryDate Text adopted by Parliament,Code Text adopted by Parliament,Link Text adopted by Parliament,Link Summary
2010/2109(INI),More efficient and fairer retail market,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2109(INI)&l=e,IMCO,Internal Market and Consumer Protection,NA,EPP - European People's Party (Christian Democrats),CORAZZA BILDT Anna Maria,Internal Market and Services,BARNIER  Michel,10/03/2011,01/06/2011,05/07/2011,T7-0307/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-307,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1159187&t=d&l=en
2010/2111(INI),EU protein deficit: what solution for a long standing problem?,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2111(INI)&l=e,AGRI,Agriculture and Rural Development,NA,Greens/European Free Alliance,HÄUSLING Martin,Agriculture and Rural Development,CIOLOŞ  Dacian,26/10/2010,04/02/2011,08/03/2011,T7-0084/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-84,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1145022&t=d&l=en
2010/2113(INI),Current and future management of Black Sea fisheries,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2113(INI)&l=e,PECH,Fisheries,NA,Progressive Alliance of Socialists and Democrats ,IOTOVA Iliana Malinova,Maritime Affairs and Fisheries,DAMANAKI  Maria,24/03/2011,20/06/2011,13/09/2011,T7-0365/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-365,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1164247&t=d&l=en
2010/2114(INI),"Strengthening chemical, biological, radiological and nuclear security in the European Union – an EU CBRN Action Plan",http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2114(INI)&l=e,LIBE,"Civil Liberties, Justice and Home Affairs",NA,Progressive Alliance of Socialists and Democrats ,GOMES Ana,Home Affairs,MALMSTRÖM  Cecilia,23/09/2010,02/12/2010,14/12/2010,T7-0467/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-467,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1135167&t=d&l=en
2010/2115(INI),Women and business leadership,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2115(INI)&l=e,FEMM,Women's Rights and Gender Equality,NA,EPP - European People's Party (Christian Democrats),KRATSA-TSAGAROPOULOU Rodi,"Employment, Social Affairs and Inclusion",REDING  Viviane,24/02/2011,09/06/2011,06/07/2011,T7-0330/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-330,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1159389&t=d&l=en
2010/2108(INI),Towards a new Energy Strategy for Europe 2011 - 2020,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2108(INI)&l=e,ITRE,"Industry, Research and Energy",NA,EPP - European People's Party (Christian Democrats),KOLARSKA-BOBIŃSKA Lena,Energy,OETTINGER  Günther,13/07/2010,08/11/2010,25/11/2010,T7-0441/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-441,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1132366&t=d&l=en
2010/2112(INI),Recognition of agriculture as a strategic sector in the context of food security,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2112(INI)&l=e,AGRI,Agriculture and Rural Development,NA,Progressive Alliance of Socialists and Democrats ,SÂRBU Daciana Octavia,Agriculture and Rural Development,CIOLOŞ  Dacian,08/10/2010,16/12/2010,18/01/2011,T7-0006/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-6,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1138080&t=d&l=en
2010/2080(INI),"Civil law, commercial law, family law and private international law aspects of the Action plan implementing the Stockholm Programme",http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2080(INI)&l=e,JURI,Legal Affairs,NA,Progressive Alliance of Socialists and Democrats ,BERLINGUER Luigi,Justice,MALMSTRÖM  Cecilia,05/07/2010,24/09/2010,23/11/2010,T7-0426/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-426,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1131968&t=d&l=en
2010/2085(INI),Revision of the General Product Safety Directive and Market Surveillance,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2085(INI)&l=e,IMCO,Internal Market and Consumer Protection,NA,Progressive Alliance of Socialists and Democrats ,SCHALDEMOSE Christel,Internal Market and Services,DALLI  John,12/11/2010,24/02/2011,08/03/2011,T7-0076/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-76,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1144988&t=d&l=en
2010/2084(INI),European initiative on Alzheimer’s disease and other dementias,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2084(INI)&l=e,ENVI,"Environment, Public Health and Food Safety",NA,European United Left - Nordic Green Left,MATIAS Marisa,Health and Consumers,DALLI  John,30/09/2010,09/12/2010,19/01/2011,T7-0016/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-16,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1138326&t=d&l=en
