A	 whereas membership of the euro area strengthens the degree of economic interdependence between Member States and calls for a closer coordination of economic policies with the aim of correcting structural weaknesses to face incoming challenges and to achieve more prosperity and competitiveness in order to be prepared for a greater globalised economy,
B	 whereas economic growth in the euro area is accelerating in 2006 and appears more broad-based with domestic demand, notably investment, gaining momentum; but whereas growth may slow down in 2007, due to high oil prices, the delayed effects of the strengthening of the euro, and a decrease in US growth,
C	 whereas the potential growth of the euro area is usually assessed to be around 2% and needs to be increased and sustained at 3% in order to provide jobs for more than twelve million unemployed Europeans, to increase their disposable income, and to allocate the resources needed to modernise Europe's unique welfare states,
D	 whereas for the inflation rate criterion, two different definitions of 'price stability' are being used; whereas the ECB has clarified that, in the pursuit of price stability, it aims to maintain inflation rates below but close to 2% over the medium term while in their convergence reports, the ECB and the Commission use a reference value calculated as the average inflation rate over the previous 12 months in the three best-performing Member States plus 1,5 percentage points, on the basis of the Protocol on the convergence criteria referred to in Article 121(1) of the EC Treaty, which assumes that best performance in terms of price stability means, in practice, the lowest possible inflation,
E	 whereas from 1 January 2007, the euro area will comprise only 13 Member States but macro-economic policy coordination and the internal market will involve all 27 Member States,
F	 whereas the external representation of the euro area in international institutions and fora is not commensurate with its economic weight in the global economy; whereas limited progress has been achieved since the inception of the euro to ensure that the euro area speaks with one voice in international financial institutions and fora; and whereas these shortcomings make it difficult for the euro area to promote its interests and to show leadership in meeting global economic challenges,
G	 whereas the ECB shares with the Council responsibility for issues relating to the exchange rate and the international representation of the euro area,
H	 whereas the Eurogroup has a remit to engage in informal dialogue with the ECB and its main tasks are formulating common views on the general functioning of the euro area's economy and monitoring trends in exchange rates between the euro and other currencies,
1	Welcomes the presentation by the Commission of its first annual report on the euro area, which reflects the evolution of the euro area economies in 2006 and is a useful contribution to the debate on the shared economic policy challenges facing euro-area members;
2	Considers that clear and transparent rules on how the two main pillars - money supply on the one hand, and all other relevant information on future inflation developments on the other - affect the operational decisions of monetary policy could make it more predictable and effective; considers also that minutes of the meetings of the Governing Council of the ECB should be published, containing a clear statement of the arguments for and against the decisions taken and the reasons why they were taken; considers such transparency to be important because in this way the market will be able to gain a clearer picture of the ECB's monetary policy;
3	Taking into account that the monetary stimulus given in recent years is gradually being withdrawn; calls on the Commission to adhere to a strict interpretation of the renewed Stability and Growth Pact and on Member States to pursue an annual improvement in their cyclically adjusted budget deficits of 0,5% of GDP as a benchmark, which will help to dampen inflationary pressures and keep interest rates down at levels that do not endanger the current economic recovery; recalls in this context the added value of better fiscal, especially budgetary, coordination among Member States towards a more coherent macro-economic policy balance, as compared to the well-developed monetary policy of the EMU;
4	Considers that, without questioning the principle of subsidiarity in fiscal policy and respecting the prerogatives of national governments in determining their structural and budgetary policies, it is important that all Member States, at least those belonging to the euro area, coordinate their different national fiscal calendars and base their budgetary projections on similar criteria in order to avoid disparities caused by the use of different macro-economic forecasts (global growth, EU growth, price per barrel of oil, interest rates) and other parameters; believes that the Commission can provide an important contribution to achieve this mission;
5	Calls on Member States to allocate a substantial share of additional fiscal revenues obtained from the current economic growth to reduce public debt which will free resources to be invested in education, vocational training, infrastructure, and research and innovation in line with the objectives set by the Lisbon-Göteborg Strategy and to face the challenges presented by an ageing population and climate change;
6	Reminds the Commission that in its above-mentioned resolution of 4 April 2006, the Parliament asked for a general review of the Member States' fiscal systems, which is a key method to strengthen the competitiveness of the economy and the sustainability of public finances;
7	Invites the Commission to  prepare a study on the benefits for the euro area and for the Union as a whole of a better functioning of the economic pillar of the EMU applied to the euro area in terms of growth and employment;
