A	whereas the European Union's regulatory environment should be informed by criteria of clarity and effectiveness,
B	whereas improving regulatory procedures could help to achieve the objectives of the European Union,
C	whereas the principles of subsidiarity and proportionality are key principles of primary law and, in areas where the Community does not have sole legislative power, must be respected at all costs,
D	whereas the correct application of the principles of subsidiarity and proportionality makes a fundamental contribution to consolidating the authority and effectiveness of Community legislation and to ensuring that decisions are taken at a level closer to citizens, thereby ultimately securing greater public acceptance of the European Union, and whereas these principles are essential to legitimising the appropriateness and scope of Community action, inasmuch as they enable the Member States to exercise their own legislative powers in a spirit of collaboration between the various levels of government, thereby increasing legal certainty,
E	whereas at present Community law-making is subject to the application of the principles of subsidiarity and proportionality, which require the establishment of procedures for coordination with the national legislative, executive and judicial authorities in order to guarantee that European Union action is both necessary and lawful,
F	whereas the Commission highlights a range of significant factors involved in improving European Union regulation, such as impact assessment, reducing administrative costs and simplifying, improving and updating existing regulations,
G	whereas the Commission attaches importance in this respect to establishing an open dialogue with both sides of industry and with national legislators,
H	"whereas in its ""First progress report on the strategy for the simplification of the regulatory environment"" ("
I	"whereas, in its Simplification Rolling Programme annexed to its above-mentioned ""Second progress report on the strategy for simplifying the regulatory environment"", the Commission treats the revision and the recasting of regulations current in various areas (energy efficiency of buildings, civil aviation, etc.) as being equivalent,"
J	whereas the Commission has undertaken to submit an action programme intended to reduce the administrative burdens on companies in the European Union by 25% by 2012 and whereas, to that end, it has put forward a series of fast-track actions related to various legislative sectors,
1	Supports the Commission's objective of improving the quality of Community legislation and reducing the legislative burden, including abolishing legislation that is unnecessary, hampers growth and inhibits innovation; stresses that even greater efforts are required in a number of areas to ensure that the maximum economic benefit is derived from legislation relating to the internal market;
2	"Promotes principles-based legislation and the focus on quality instead of quantity; sees the ""better regulation"" debate as a good opportunity to reflect on legislation as a process designed to achieve clearly defined policy goals by improving Community legislation so as to favour growth and jobs and by committing all stakeholders to, and involving them in, all phases of the process from preparation to enforcement;"
3	Emphasises, in the context of the efforts to bring about better lawmaking, the importance of the principles of subsidiarity and proportionality both in reducing unnecessary bureaucratic burdens on Member States and those affected by legislation and in securing broader acceptance among EU citizens for those measures which, in keeping with both principles, can only be taken at Community level;
4	Supports the Commission's efforts to bring about the simplification of the Community 
5	Welcomes the Commission's improved procedures for consulting interested parties when drawing up its legislative proposals, and notes the generally positive reaction of those consulted when evaluating the way in which the Commission encouraged their involvement;
6	"Deplores the fact that, despite having improved its procedures, the Commission continues to draw up separate documents relating to simplification and ""better lawmaking"" that contain non-identical lists of simplification strategies, which makes it difficult to get a complete overview of the strategy; stresses that the proliferation of such documents must be avoided; calls on the Commission to draw up a single annual document; emphasises that political assessments and good cooperation must take place at European Union level, especially through efforts by Parliament, the Council and the Commission;"
7	Believes that objective impact assessments are an important tool for assessing Commission proposals and calls, therefore, for external, independent scrutiny of the conduct of impact assessments;
8	Considers that consultations and impact assessments are essential to better drafted Community legislation and that they should neither increase bureaucracy nor present bureaucratic stumbling-blocks preventing the Commission from acting but should instead help to establish a sound legal framework that is conducive to growth in the European Union;
9	Stresses the need for cost-benefit analyses that reflect the regulatory cost structures when directives are transposed into national legislation and that change the regulatory framework within which companies and individuals operate; is aware, however, that such cost-benefit analyses are no substitute for the political debate about the pros and cons of particular legislation;
10	Is of the opinion that, when proposing their amendments, Parliament and the Council should take into account both the Commission's and their own impact assessments in order to improve the quality of the drafting of legislation;
11	"11	Takes the view, further, that objective impact assessments must be partly based on early and broad consultation of interested parties; calls on the Commission to incorporate in its impact assessments a comprehensive range of scenarios and policy options (including, where necessary, the ""do nothing"" option) as the basis for cost-effective and sustainable solutions;"
12	Trusts that the inclusion of a forecast of administrative costs in the assessments will improve the quality of the latter;
13	Stresses the importance of the political assessment carried out at European Union level by bodies representing citizens, such as Parliament, or bodies representing local and social bodies such as the Committee of the Regions and the European Economic and Social Committee respectively;
14	"Voices doubts as to the appropriateness of encouraging self-regulation and co-regulation, which could ultimately turn into a form of ""legislative abstinence"" that would favour only pressure groups and powerful players on the economic stage; for that reason, supports the Commission's conclusion that regulations continue to be the simplest way of achieving the European Union's objectives and providing both businesses and citizens with legal certainty; calls on the Commission to develop a more consistent approach in this connection;"
