A	 whereas the fundamental principles of the EU forestry strategy, i.e	sustainable forest management and preserving and strengthening the multifunctional role played by forests and by the wildlife that lives there, including their contribution to biodiversity, on the basis of the subsidiarity principle, are not being called into question by the drafting of the 'EU Action Plan for Sustainable Forest Management' proposed by the Commission; whereas EU forestry strategy is a dynamic process open to the integration of fresh elements; whereas the EU action plan should be seen as a complementary instrument which will help ensure better coordination between the objectives and measures in the various fields of action, 
B	 whereas, when it combines economic growth with important environmental values
C	 whereas, even though neither the Treaty establishing the European Community nor the Treaty establishing a Constitution for Europe provide a legal basis for a common forestry policy, the influence of a wide range of Community policies over forests has consistently grown, 
D	 whereas in some cases the Member States use widely differing definitions of forests, which means that it is only partially possible to assess Community measures relevant to forests, 
E	 whereas the basic perspective for all decision-making affecting European forests must be that European forests differ substantially from each other and face different environmental challenges,
F	 whereas the Member States have responded to the Council's call for a European forestry strategy by actively participating in all international processes related to the forest sector,
G	 stressing the importance of intact forest ecosystems for the preservation of biodiversity in accordance with commitments under international agreements; noting that examples of such commitments include the Biodiversity Convention (Rio, 1992) and the goal of halting the decline in the number of species by 2010 (EU meetings in Göteborg, 2001; Johannesburg 2002); being convinced that, in order to successfully fulfil these commitments, it is of the greatest importance to earmark sufficient areas as nature reserves and to gear sylvicultural methods, in conjunction with landscape planning, more fully to biological preconditions	
H	 whereas national and subnational forest programmes (NFPs) represent the key instrument for implementing the objectives of the EU forestry strategy and are designed to ensure coordination and coherence between national political guidelines and international commitments,
I	 whereas nothing has changed with regard to the fundamental need, already highlighted in 1998, for better coordination, communication and cooperation in all Community policy sectors which are relevant to the forestry sector (agricultural, environmental, energy, research, industrial, internal market, trade and development policy) within the Commission, between the Commission and the Member States and among the Member States,
J	 whereas rural development policy is the main instrument for implementing the forestry strategy at Community level, which can also be seen from the fact that EUR 4.8 billion was made available for forestry measures in the context of rural development policy between 2000 and 2006, half of which was used for the afforestation of farmland and half for other forest-management measures, 
K	 whereas forest management must be economically, ecologically, socially and culturally sustainable and whereas protecting forests, monitoring forest health, restoring damaged forests and safeguarding the environmental benefits, in particular regulation of the water cycle, are key elements of sustainable forest management; whereas a key aim with regard to forests is preserving forest health and vitality by protecting them against forest fires and atmospheric pollution, as well as against soil and water pollution and other damage caused by disease, pests and erosion,
L	 in the hope that biodiversity in forest areas can be guaranteed and calling for the regulation and sustainable use of the wildlife which naturally colonises such habitats to be such as to secure the long-term presence of those species, with due regard for the balance between forests and game,
M	 whereas, the fire-prevention measures provided for in rural development policy are proving insufficient to tackle the phenomenon of forest fires, which is the main cause of forest deterioration in the European Union and one of the reasons for the accelerated desertification affecting many European regions; also regretting the lack of coordination between programmes implemented at regional or national level, coordination of which should be stepped up by drawing up a set of strategic Community guidelines with a view to dovetailing the preventive measures taken by different national and/or local government authorities; whereas the Commission should recommend to each region that it draw up a comprehensive strategy to combat forest fires and that they work together with the Member States; whereas such a preventive strategy must address the relationship between agriculture and the forest environment, the risks in the area and the preventive measures to address these risks,
N	 drawing attention to the regions repeatedly affected by large-scale forest fires and expressing its solidarity with those regions; whereas it is important, however, to note that there are considerable differences between the Member States in relation to problems with forest fires and the conditions under which they can be fought; whereas experience shows that local involvement and local engagement is crucial to successfully preventing and fighting forest fires and changing forestry practices away from fire-prone monocultures, especially of eucalyptus, 
O	 whereas the new financial instrument for the environment (LIFE+) is vital in order to protect all Europe's forests through measures to monitor and avert the contributory factors involved in their deterioration, including fires,
