A	whereas the Council continues to maintain the
B	whereas Parliament has repeatedly asked the Council to replace this practice with a genuine consultation of Parliament in order to ensure that Parliament's views have a real impact on the choices made for the following year,
C	whereas the period of reflection on the process of ratification of the Constitutional Treaty, as decided on by the Brussels European Council of 16-17 June 2005, should now go hand in hand with optimum implementation of the existing treaties in order to achieve a CFSP capable of facing up to the global responsibilities, threats and challenges of today's world,
D	whereas Parliament has repeatedly expressed its view that the Union's relations with each third country and region should be at an appropriate level, taking into account the interests of the Union, the closeness of each third country and region to the European model and values and the fact that the Union is becoming one of the major geopolitical actors on the world stage and therefore needs strong and reliable political and economic partners,
E	whereas developing and consolidating democracy, the rule of law and respect for human rights and fundamental freedoms are general objectives of the CFSP,
F	whereas, in order to be credible, the CFSP and the European Security and Defence Policy (ESDP) must be allocated budgets which are commensurate with their ambitions, and deploring the fact that, at present, the financial resources allocated to those two policies remain insufficient; regretting, finally, the fact that the funding of military operations by the European Union is still too frequently outside democratic control,
1	Takes note of the exhaustive annual report submitted by the Council in mid-April 2005 on the main aspects and basic choices of CFSP for 2004; as a result, considers itself to be well informed on past events in 2004; reiterates however its call to be fully involved and its right to be consulted annually 'ex ante' on forthcoming aspects and choices as provided for in the existing treaties;
2	Therefore asks its Committee on Legal Affairs to examine the appropriateness of referring to the European Court of Justice the Council's practice of merely informing Parliament and submitting a descriptive list of CFSP activities carried out in the previous year, instead of really consulting Parliament at the beginning of each year on the main aspects and basic choices to be made for that year and subsequently reporting to Parliament whether – and, if so, how – Parliament's contribution has been taken into account as provided for in Article 21 of the EU Treaty and in the Interinstitutional Agreement of 6 May 1999;
3	Strongly urges the Council to promote a much more open, transparent and accountable CFSP by undertaking to appear before the Committee on Foreign Affairs of the European Parliament in order to report on every General Affairs and External Relations Council and every high-level summit held with key international partners;
4	"Recalls the steps already taken to anticipate the application of some of the provisions of the new Constitutional Treaty regarding CFSP/ESDP, such as the setting up of the European Defence Agency, the development of the ""Battlegroup"" concept, the establishment of a much more developed European Neighbourhood Policy and the application of the Solidarity Clause to counter terrorist threats or attacks;"
5	In the framework of the existing treaties, reiterates its call on the Council and the High Representative/Secretary-General of the Council to participate actively in an annual debate on the main aspects and basic choices of CFSP for the following year as well as on the European Security Strategy with both the European Parliament and the national parliaments;
6	Is of the view that the period of reflection on the process of ratification of the Constitutional Treaty, as decided on by the Brussels European Council of 16–17 June 2005, presents an excellent occasion to further identify and examine any existing shortcomings in the CFSP/ESDP fields and ways in which those shortcomings could be appropriately addressed, first by making the most of the existing treaties, and second, when the time comes, by applying the new constitutional provisions;
7	Regrets, in this respect, the attitude of certain Member States which, in spite of the adoption of the Constitution by the European Council, have for domestic reasons used the right of veto in important foreign affairs matters; points out that the CFSP cannot be reduced to a mere adjunct to the foreign policies of individual Member States and calls, therefore, on all Member States to act in a constructive manner in line with the spirit of the Constitution so as to enable the EU to play an effective role on the world stage;
8	Welcomes the Council's approach of grouping the main developments in the area of CFSP and ESDP under the different thematic aspects contained in the European Union's Security Strategy adopted by the European Council on 12 December 2003;
9	Requests that the European Union's Security Strategy be updated, maintaining its civil/military dual approach and its crucial concepts of preventive engagement and effective multilateralism, reflecting the 'responsibility to protect' as adopted at the UN Summit of September 2005; is of the view that both climate change and the spread of poverty in the world should now also be seen as major threats to the Union's security, requiring decisive action, tangible compromises and a strict timetable; takes the view, however, that the proliferation of weapons of mass destruction (WMD) should be regarded as the most dangerous threat to international security;
10	Emphasises the important foreign policy dimension of energy security issues; recommends that an update of the European Security Policies should pay special attention to addressing the Union's increasing dependence on energy and other strategic supplies from countries and regions that are ever more unstable, highlighting possible future scenarios and the question of access to and the development of alternative sources; believes that the recent unilateral gas delivery suspensions by Russia call for a strategic response from the EU; asks the Commission to present a communication on the foreign and neighbourhood policy aspects of the energy policy;
11	Therefore regards home defence as a vital part of the European Union's security strategy, since it concerns the external borders and essential infrastructure;
12	Reiterates, in this respect, its view that security is an all-encompassing collective concept that cannot be tailored only to the interests and requirements of one country and must be pursued in a multilateral framework;
13	Underlines the importance of NATO's role in conjunction with the European Union's foreign and security policy;
14	Underlines the vital interest of the European Union in strengthening global governance, international institutions and the value of international law; is of the view that one of the key aims of the CFSP should be to involve China and India, as emerging powers, as well as Russia, in responsibility for the state of global governance and for solutions to global challenges; emphasises the irreplaceable role which the transatlantic partners should jointly play in this context;
15	Strongly condemns the large-scale terrorist attacks in London on 7 July 2005; expresses its solidarity with the British people and in particular conveys its condolences to the victims of those brutal attacks and their families;
16	"Reiterates once more that the fight against terrorism must be seen as one of the priorities of the Union and a key part of its external action, while reaffirming the importance of respecting human rights and civil liberties; considers that the demarcation between internal and external security should be seen as becoming more fluid;
 insists that it is essential to make this internal and external priority absolutely clear in all its dealings with third countries and regions and that much more should be done to strengthen international cooperation in the fight against terrorism; calls once more on the Council to fully inform and consult the Committee on Foreign Affairs and the Committee on Civil Liberties, Justice and Home Affairs on the question of the EU List of Terrorist Organisations;"
17	Stresses the urgent need to halt the spread of poverty in the world, to fight against stigmatisation and discrimination and to combat major diseases, and reaffirms the importance of maintaining the Union's commitments to the achievement of the Millennium Development Goals;
18	Recognises the decisive importance of the Union's actions in conflict prevention and peace-building efforts and reiterates its commitment to fighting against impunity for war crimes, crimes against humanity and other serious human rights violations, including by strengthening the role of the International Criminal Court;
19	Insists on the need to continue to promote implementation of the EU's WMD Strategy at international level in a coherent manner, to place greater emphasis on disarmament initiatives and non-proliferation issues, to strengthen the multilateral treaties making up the non-proliferation regimes and to provide the necessary financial resources to implement the EU's WMD Strategy; expresses its regret at the inability of the leading states and governments to reach a new and comprehensive agreement within the UN on the signature of a Treaty on the non-proliferation of nuclear weapons;
