A	 whereas combating poverty constitutes an absolute priority,
B	 whereas the link between trade on one hand and development and the eradication of poverty on the other is extremely complex and depends on particular circumstances which very often have to do with many factors, such as the size of the domestic market, natural resources, distances and physical conditions, and, in particular, on whether or not domestic policies interact well with external trade,
C	 whereas trade is  a tool for development and poverty eradication, but over one billion people across the globe, mainly concentrated in the least developed countries still struggle in extreme poverty on less than USD 1 a day and between 1.5 and 3 billion people live below the USD 2 a-day poverty line, although economic growth in China and India has delivered a dramatic reduction in the number of poor so that the proportion of people living in extreme poverty on less than USD 1 a day has dropped by almost half since 1981, from 40 to 21% of the global population,
D	 whereas poverty eradication requires democratic participation and changes in economic structures in order to ensure a more equitable distribution of wealth,
E	 whereas poverty has been defined as a human condition, characterised by the sustained or chronic deprivation of resources, capabilities, choices, security and power necessary for the enjoyment of an adequate standard of living and other civil, cultural, economic, political and social rights,
F	 whereas gross domestic product (GDP) per capita in all developing countries rose by 30% during the last 25 years but the difference in per-capita income between the world's poorest and richest countries has more than doubled over the same period,
G	 whereas the high population growth rates in developing countries mean that the rates of economic growth that are being achieved are, in many cases, not sufficient to yield GDP per-capita growth rates that will make a major dent in poverty in a number of least developed countries (LDCs),
H	 whereas civil peace is a necessary condition for a good trade-poverty relationship; whereas good governance, including good management of the revenues from natural resources, is essential for civil peace; whereas an export specialisation in some products, notably in diamonds, oil, timber and narcotic crops, is associated with higher conflict risk; whereas 60% of LDCs have experienced, in the last 15 years, civil conflict of varying intensity and duration that, in most cases, erupted after a period of economic stagnation and regression, leaving long-term negative consequences for national and regional economic growth,
I	" whereas the poorest countries"" share in world trade has fallen back over the last decade and their dependence on low-value-added products with substantial price fluctuations has increased,"
J	 whereas there is a need for a fair multilateral trade system designed to eradicate poverty, provide full employment, strengthen democracy, and promote sustainable development; whereas this system must be based on properly targeted and balanced rules, which are vital to enable the poorest countries to participate more effectively in international trade, diversify their economies, and meet the challenges of globalisation, while ensuring that its benefits are fairly distributed,
K	" whereas so-called ""developing"" countries are a disparate group of States whose socio-economic situation, production structures, and export capacity differ substantially; whereas, when it comes to the ability of developing countries to win new markets at world level in a liberalised environment, the balance is therefore weighted in favour of the emerging powers, to the detriment of the more fragile countries, particularly those in sub-Saharan Africa,"
L	 whereas European trade policy towards third countries, which places the emphasis on a differentiated approach to trade under the trade preference system, enables the poorest countries to enjoy specific and advantageous export conditions (lower than normal customs duties, duty-free or reduced-rate export quotas, etc.), 
M	" whereas according to a report of the World Bank, the United Nations Environment Programme and the United Nations Development Programme, ""World Resources 2005: the wealth of the poor: managing ecosystems to fight poverty"", three-quarters of the poor in the world live in the rural areas and their environment is all they can depend on,"
N	 whereas agriculture provides employment and livelihood for more than 60% of the labour force in LCDs, though it is at the same time the most distorted sector, and whereas market access for agricultural products is one of the key issues relating to poverty reduction,
O	 whereas access to natural resources such as water, land, and energy, to basic services such as medical, health, and education services, and to essential goods such as medicines, is difficult for the poor,
P	 whereas over the last 30 years, chronic famine and child labour have been halved in the developing countries, life expectancy has increased from 46 to 64 years and infant mortality has fallen from 18% to 8%; whereas, today, 70% of the population in developing countries have access to clean drinking water, as compared with 45% in 1980,
