A	expecting that the Council's
B	whereas the Council should once and for all replace that practice with a genuine consultation of Parliament so as to ensure that Parliament's views have a real impact on the choices made for the following year,
C	whereas, following the fifth enlargement of the EU, 18 Member States have ratified the Constitutional Treaty but the full ratification and entry into force of the Treaty needs to be pursued in order to ensure that the Union is ready to face up to the global responsibilities, threats and challenges of today's world,
D	whereas the provisions of the Constitutional Treaty regarding external relations have gone unchallenged during the ratification process, as a result of which the CFSP could play an important role in enhancing confidence in the Union amongst the general public,
E	whereas the external action of the Union as a whole and the CFSP in particular must take into account the interests of the Union, especially the closeness of each third country and region to the European model and values and the fact that the Union, as a major geopolitical actor on the world stage, behaves as a political, economic, social and environmental Union of states and peoples committed to peace which acts in accordance with the principles of democracy, the rule of law and social justice, and therefore needs strong and reliable political and economic partners,
F	"whereas the effectiveness and credibility of the common foreign policy has been recently undermined by the veto exercised by certain Member States on bilateral issues in spite of efforts made by other Member States to find a compromise; whereas Member States should act even-handedly and should refrain from using the right of veto, limiting that procedure to highly sensitive issues of national
 concern,"
G	whereas developing and consolidating democracy, the rule of law and respect for human rights and fundamental freedoms remain key objectives of the CFSP and whereas the CFSP should concentrate principally on economic integration, diplomacy, civilian crisis prevention and conflict management,
H	whereas, in order to be credible, the CFSP and the European Security and Defence Policy (ESDP) must be allocated additional resources to match their ambitions,
I	whereas the funding of military operations by the European Union in fact remains outside the scope of the democratic scrutiny of both national parliaments and the European Parliament,
1	Is of the view that, without the Constitutional Treaty, which has been ratified by 18 countries, the European Union cannot shape a foreign and security policy that can at least partially meet the most important challenges such as globalisation, failed and failing states, cross-border migration, international terrorism, energy dependency and climate change; considers that the effectiveness of the CFSP presupposes the development of the necessary assets and capabilities in order to safeguard the security, independence and integrity of the Union and its Member States; recalls in this regard the wide public support existing in all Member States for a bigger role for the Union in the world, since Member States individually can no longer perform that role for citizens; emphasises the need for finalisation of the Constitutional Treaty to be one of the main priorities for the present and coming EU Presidencies;
2	Considers it necessary that the office of Minister for Foreign Affairs be established and regards it as essential that he or she simultaneously be a member of the Commission and chair the Foreign Affairs Council, so that the CFSP is given continuity and coherence and Europe can speak with one voice;
3	Takes the view, in this regard, that the creation of the new post of EU Minister for Foreign Affairs should be accompanied by a genuine commitment from Member States to define and implement a real and effective common foreign policy reflecting the general concerns of the European Union;
4	Notes that the mutual assistance clause, structural cooperation, the European External Action Service and the single legal personality are examples of the urgently needed progress provided by the Constitutional Treaty;
5	Points out that a political and social consensus on greater foreign and security policy integration offers a sound basis for taking the constitutional process forward;
6	Once again urges the Heads of State and Government to finalise the Constitutional Treaty by the end of 2008, not only as a prerequisite for further enlargements but also in order to enable the Union to work more effectively, more transparently and more democratically in the fields of both external action and the CFSP/ESDP;
7	Welcomes the setting-up of the European Defence Agency, the development of the Battlegroups concept, the establishment of the European Neighbourhood Policy and the application of the solidarity clause to counter terrorist threats or attacks, and also the establishment of the Civilian Headlines Goals, the Civilian Crisis Response Teams and the Peace-Building Partnership under the Stability Instrument; urges the Commission to establish the Civil Peace Corps as requested by Parliament in several resolutions;
8	Regards it as more appropriate for the Council and the Commission to make use of their procedural and organisational options, also strengthening the links between the first and third pillars in the process, through
9	Calls on the EU Member States serving on the United Nations Security Council – after briefing the other Member States – to heed their suggestions and endeavour to pursue coordinated action within the Security Council reflecting the most widely held European views;
10	Calls, moreover, on EU Member States which are also members of the UN Security Council to improve their coordination within that framework in order to enhance the effectiveness of the action of the EU on the world stage and decide in the near future on a common European seat;
11	Takes the view that, without the introduction of qualified majority voting in CFSP matters, the coherence, effectiveness and visibility of the external action of the Union will be deeply undermined;
12	Is of the view that more can be done to strengthen political dialogue with third countries and regions, in particular with major partners, as well as to become more proactive in relations with international organisations; considers that the Commission's delegation network could be more flexibly and dynamically utilised;
13	Points out that political dialogue with third countries needs to be intensified, not least where human rights are concerned; also believes that the Community institutions and the Member States must ensure that the members of their delegations are aware of, build upon, and act in accordance with, the human rights guidelines approved by the Council;
