A	having regard to the substance of Article 280(1) and (2) of the EC Treaty,
B	whereas Article 53(b)(2) of Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities
2	Without prejudice to complementary provisions included in relevant sector-specific regulations, and in order to ensure in shared management that the funds are used in accordance with the applicable rules and principles, the Member States shall take all the legislative, regulatory and administrative or other measures necessary for protecting the Communities' financial interests	To this effect they shall in particular:
1	"Welcomes the fact that the reports on the protection of the Communities"" financial interests, and in particular the report concerning the financial year 2006, have become more analytical; notes, however, that the statistics rely on very diverse national structures with different administrative, judicial, supervisory and inspection systems;"
2	"Calls for the annual reports on the protection of the Communities"" financial interests and the reports drawn up by the European Parliament on the basis of those reports to be included on the Council's agenda, and for the Council subsequently to forward its observations to Parliament and the Commission;"
3	"Notes that in the areas of own resources, agricultural expenditure and the Member States"" structural actions, irregularities notified in 2006 totalled EUR 1 143 million (compared to EUR 1 024 million in 2005, EUR 982,3 million in 2004, EUR 922 million in 2003 and EUR 1 150 million in 2002); the amounts notified by the Member States to the Commission in 2006 can be broken down as follows:"
4	Considers that many factors can influence the annual variations in the financial impact of irregularities;
5	Stresses that a large number of irregularities being notified to the Commission does not necessarily imply a high level of fraud; it may also demonstrate that the supervisory arrangements in place are effective and that there is close cooperation between Member States and the Commission; welcomes the fact that, in its annual report for 2006, the Commission emphasised the importance of such cooperation;
6	Notes that, as far as own resources are concerned, the amount affected by irregularities rose by 7% from EUR  328 million in 2005 to EUR  353 million in 2006; the products most affected by irregularities were televisions (EUR  69 million in 2005; EUR  62,3 million in 2006) and cigarettes (EUR  30,9 million in 2005;  EUR 27,6 million in 2006); the number of cases in Italy (+122%) and the Netherlands (+81%) rose sharply; EUR  113,4 million (32%) was recovered in 2006;
7	Notes that, as far as agricultural expenditure is concerned, the amount affected by irregularities fell from EUR  105 million in 2005 to EUR  87 million in 2006; Spain, France and Italy were responsible for 57,2% of the irregularities, or a total of EUR  64,9 million, while the sectors most affected were rural development, beef and veal, and fruit and vegetables;
8	Welcomes the implementation of Council Regulation (EC) No 1290/2005 of 21 June 2005 on the financing of the common agricultural policy
9	Is encouraged that the Integrated Administration and Control System (IACS), through which 68% of operations are processed, is functioning well and has made it possible to detect a large proportion of irregularities;
10	Notes with concern that the level of recovery of sums unduly paid remains low and varies between Member States and, since the chances of recovery decrease with time, calls on the Commission to step up its efforts to improve the recovery rate of sums unduly paid;
11	Takes the view that, when in a specific Member State recovery remains systematically low, the Commission should apply corrective measures;
12	Assures the Commission of its full support in the rigorous application of the legislation on suspension of payments and urges that CAP funding should also be subject to the same procedure as the measures already initiated
13	Calls on the Commission to evaluate the efficiency and transparency of monitoring systems relating to payment of farmers in the context of its annual report on the protection of the Communities' financial interests;
14	Welcomes the work of the Task Force Recovery
15	Notes the adoption by the Commission of its second report on the shortcomings in the implementation of the 'blacklist' system (Council Regulation (EC) No 1469/95
16	Points out that the amount affected by irregularities relating to structural actions increased by 17%, from EUR 601 million in 2005 to EUR 703 million in 2006 (Structural Funds EUR 517 million, Cohesion Fund EUR  186 million); these irregularities related mainly (75%) to the European Regional Development Fund (ERDF) and the European Social Fund (ESF); Germany, Spain, Italy, Portugal and the United Kingdom accounted for approximately 85% of the amount affected (EUR 438,1 million) relating to the Structural Funds in 2006; in many cases the beneficiaries had invoiced for non-eligible expenditure; the details were uncovered following the checking of documents;
17	Regrets that, of the 95 projects funded using Structural Funds audited over the current programming period, 60 were affected by material errors in declared project expenditure, representing an increase in the number of irregularities over the previous year; considers that a greater number of projects should be audited so that the conclusions obtained permit the formulation of clear recommendations for improving financial management;
18	Notes that EUR 266,5 million out of a total of EUR 703 million has still to be recovered for 2006, while for previous years EUR 762 million still needs to be recovered; calls on the Commission to inform Parliament's competent committees twice a year on the progress made and the specific measures taken in order to speed up the recovery of the outstanding amounts;
19	Notes that, as far as pre-accession funds are concerned, the financial impact decreased from EUR 26,5 million in 2005 to EUR 12,3 million in 2006; the most frequent errors were invoicing for non-eligible expenditure and failure to comply with contractual or regulatory conditions; EUR 11 million has been recovered since the funds were introduced, but EUR 14 million still remains to be recovered;
20	Remains convinced that Member States and EU institutions, including the Court of Auditors (ECA), must come to a political understanding on a 'tolerable error rate' if a positive declaration of assurance is ever to be achieved;
21	Calls on the Commission to include in the 2008 annual report on the protection of the Communities' financial interests an analysis of the Member States' structures involved in combating irregularities; that analysis should answer, among others, the following questions in order to give Parliament a clearer picture of the implementation of the legislative framework of the anti-fraud network:
