A	"	whereas the Black Sea region lies at the junction of Europe, Central Asia and the Middle East, characterised by close historical and cultural ties and great potential, but also immense diversities; whereas the region comprises EU Member States Bulgaria, Greece and Romania, the candidate country Turkey and ENP partners Armenia, Azerbaijan, Georgia, the Republic of Moldova and Ukraine, as well as the Russian Federation, with whom the EU has agreed on a strategic partnership based on Four Common Spaces,"
B	"	whereas, with the accession of Bulgaria and Romania to the EU, the Black Sea has become, to some extent, the EU's internal sea and has therefore acquired a new dimension of strategic importance for the EU, leading to the multiplication of shared challenges and objectives, as well as to renewed opportunities for strengthened cooperation between the EU and the countries in the region, with a view to creating a genuine space of security, stability, democracy and prosperity,"
C	"	whereas the options for cooperation in the development and management of synergies in the Black Sea region are to be defined against the background of a great number of existing policies, formats and approaches towards the region,"
D	"	whereas the Commission proposed an initial strategy towards the Black Sea region in its above-mentioned 1997 communication on regional cooperation in the Black Sea area,"
E	"	whereas the specific aspects of the EU's policy towards the South Caucasus area are covered in the above-mentioned resolution of 17 January 2008 on that subject,"
1	"Welcomes the Commission's Communication entitled ""Black Sea Synergy – A New Regional Cooperation Initiative"" and the aim of enhancing cooperation with and within the Black Sea region by supplementing the existing bilateral policies with a new regional approach; notes, in particular, that the energy security issues and the accession negotiations with Turkey, as well as the forthcoming expiry of the PCAs and the negotiations on their future, place regional cooperation in the Black Sea area among the top priorities of the Union's foreign policy agenda; considers that the future development of the Black Sea would benefit greatly from an independent Black Sea strategy in the long term;"
2	Underlines that the Black Sea region needs a more coherent, sustainable and strategic response, leading to the creation of a Black Sea policy, alongside the Northern Dimension Policy and the Euro-Mediterranean Partnership;
3	Considers that, in order to adopt a coherent, effective and result-oriented regional policy approach, the Communication has to be followed by further consistent steps on the part of the EU to encourage a genuine regional dimension tailored to this area
4	Welcomes the intention of the Commission to provide for an initial evaluation of the Black Sea Synergy in 2008, and calls upon it to put forward concrete proposals for fostering regional cooperation and genuine partnership in the Black Sea area, based on the results of its evaluation and taking into account the recommendations contained in this and other relevant resolutions adopted by Parliament; encourages the Commission to use the experiences gained in the Northern Dimension when drafting any future review or extension of its Black Sea strategy;
5	Stresses that the Black Sea regional policy approach must be used neither to provide an alternative to EU membership nor to define the frontiers of the EU; considers, however, that the objectives specified herein should represent an integral and coherent part of the broader EU foreign policy towards the neighbouring countries and countries participating in the Black Sea regional strategy;
6	Believes that regional cooperation in the Black Sea region should involve the EU, ENP countries, candidate country Turkey and Russia as equal partners; believes that only by gradually creating a feeling among the Black Sea countries of shared responsibility for the region's common challenges, including security issues, will it be possible to fulfil the full potential of Europe's involvement in the region; calls on the Council and the Commission to actively involve all Black Sea countries in the policy approach;
7	Considers that the new regional approach should be targeted at a number of priority areas for which the Commission should provide a detailed action plan envisaging concrete objectives, benchmarks and follow-up and constituting a basis for enhancing the EU's involvement in the region as well as intra-regional cooperation; underlines that the EU must concentrate on a limited set of priority objectives and avoid dispersion and duplication of efforts;
8	Underlines that the unresolved conflicts persisting in the Black Sea region constitute a major challenge to the stability and sustainable development of the region, as well as an important obstacle in the process of fostering regional cooperation; calls therefore for more active and comprehensive EU involvement in the ongoing efforts to resolve the conflicts, in accordance with international law and the principles of territorial integrity, and for a deeper engagement on the part of the EU in conflict management and peace-keeping operations; considers that the EU has a key role to play in contributing to the culture of understanding, dialogue and confidence-building in the region;
9	Takes note of the substantial military presence of Russia in the region, in the form of the Black Sea fleet, which is stationed in the Crimean port city of Sevastopol; points out that the 1997 agreement between Russia and Ukraine concerning the stationing of the Black Sea fleet expires in 2017; notes that this as yet unresolved matter has already created some friction between the Russian and Ukrainian governments; encourages the EU to engage in this strategically important issue and to work more closely with the governments of Russia and Ukraine;
10	Emphasises that the EU needs to define a stable set of priorities in the area of freedom, security and justice within the framework of the Black Sea Synergy, aimed at establishing harmonisation and compatibility in entire policy areas;
11	Having regard to the high visa charges applied for some neighbouring countries, following the enlargement of the Schengen Area as of 21 December 2007, urges the Council and the Commission to review the visa fees and to lower them to an acceptable level for ordinary citizens of countries participating in the ENP or in a Strategic Partnership with the EU;
12	Recalls the need to address the challenges posed by transnational crime, trafficking and illegal migration, whilst fully respecting the non-refoulement principle; underlines that measures in this field must be coupled with appropriate measures to enhance mobility in order to stimulate people-to-people contacts and thereby spread European values of democracy, the rule of law and human rights; urges the Council and the Commission, therefore,  to conclude visa-facilitation and readmission agreements with those Black Sea countries that do not yet enjoy them, as well as to promote mobility by all other possible means, including the signing of mobility partnerships with ENP countries; stresses, in particular, the need for efficient visa facilitation for local cross-border traffic and for specific population groups such as students, businessmen and civil society actors;
13	Stresses the importance of further developing cross-border and border management cooperation, with a view to attaining the objectives with regard to both security and fluidity of movement; considers that the EU Border Assistance Mission to Moldova and Ukraine (EUBAM) provides important experience in tackling security challenges through multilateral cooperation, and believes that it should be further strengthened and applied as an example of border cooperation;
