A	whereas elections must be organised in accordance with internationally recognised standards,
B	whereas the Universal Declaration of Human Rights states that the right to elect freely chosen representatives in secret, in periodically held genuine elections, on the basis of universal and equal suffrage, is one that all citizens should enjoy, that right being also enshrined in all other main international and regional human rights instruments as well as being an essential element of true democracy, to which the EU is committed in its Treaties,
C	whereas election observation contributes to the overall promotion and protection of fundamental human rights and, more specifically, civil and political rights; and whereas a genuine democratic election process presupposes respect for freedom of expression and free media, adherence to the rule of law, the right to establish political parties and compete for public office, non-discrimination and equal rights for all citizens, and other fundamental human rights and freedoms that all OSCE participating States have committed themselves to protect and promote,
D	whereas international election observation is aimed at strengthening the legitimacy of the electoral process, increasing public confidence in elections, deterring electoral fraud and exposing it where it occurs and analysing, reporting and making recommendations for the improvement of all aspects of the electoral process in full cooperation with the host country, the settlement of any disputes and the protection of human rights and democracy in general,
E	whereas election observation in new and developing democracies is the priority of the EU, which demonstrates its commitment to helping new democracies and countries progressing towards democracy to build solid democratic structures,
F	whereas, as stated in the resolution of the ACP-EU Joint Parliamentary Assembly adopted on 1 April 1999 in Strasbourg on ACP-EU cooperation and involvement in electoral processes in ACP countries and the role of the Joint Assembly
G	whereas, as underlined in the Partnership Agreement between the members of the African, Caribbean and Pacific Group of States of the one part, and the European Community and its Member States of the other part, signed in Cotonou on 23 June 2000
H	whereas a Declaration of Principles for International Election Observation and a Code of Conduct for International Elections Observers were adopted under the auspices of the UN in 2005, and have been endorsed by both the Commission and Parliament, as well as by 32 other international governmental and non-governmental organisations,
I	whereas the principles highlighted in that Declaration include full coverage, independence and impartiality, transparency and publicity, professionalism, analysis and advice, respect for the sovereignty of the host country including the need to receive an invitation to observe, cooperation between the different observer organisations, and the non-legitimatisation of clearly undemocratic electoral processes,
J	whereas, since the adoption of the above-mentioned Commission Communication on 11 April 2000, more than 50 EU EOMs have been deployed in 32 countries in Africa, Asia and Latin America; whereas it is remarkable, however, that far fewer EU EOMs have been deployed in southern Mediterranean countries,
K	whereas under the EIDHR more than EUR 30 million are made available each year for EU EOMs,
L	whereas, in a given country where elections have taken place, a democratically elected parliament is of limited value if that institution enjoys no significant power and is dominated by the executive,
M	whereas some key future challenges remain to be addressed in the field of EU election observation, such as the increasing significance of electronic voting,
N	whereas the above-mentioned Commission Communication of 11 April 2000 represented a turning point in the EU's approach to election observation, establishing a comprehensive methodology covering the complete election process, from the pre-election to the post-election phase, which has proven to be a great success and has resulted in the EU becoming a leading organisation in the field of international election observation,
O	whereas the deployment of EU EOMs is a key element of EU foreign policy, and constitutes in particular, together with election assistance, an essential tool for electoral support in the context of the EU's commitment to promoting the values of democracy, development and peace,
P	whereas successful elections can only take place in the context of the long-term rooting of democratic values, taking into account the need to build a European consensus on the promotion of democracy, within a society including voter and civic education, strong mechanisms for the upholding of human rights, the existence of an independent and pluralistic civil society, and respect for the separation of the legislature from the executive,
Q	whereas election observation is a long-term process comprising three periods: the pre-election phase, election day and the post-election phase, and whereas each of these periods should be analysed rigorously and impartially on the basis of first-hand data,
R	whereas although the observation of these three periods may be conducted by different observers, it needs to be complementary and well coordinated,
