A	"	whereas social security:"
B	"	whereas the total population of the European Union is expected to increase slightly until 2025 and to decrease slightly after 2025, becoming by 2050 slightly smaller and significantly older,"
C	"	whereas, with immigration constant at present levels, the work force will decrease from 227 million people in 2005 to 183 million in 2050, the employment rate will rise to 70% in 2020, mainly due to higher female employment rates, the total number of people employed will increase by 20 million by 2017, but after that will decrease by 30 million by 2050 and the projected ratio of people over 65 to people of working age will rise from 1:4 in 2005 to 1:2 in 2050,"
D	"	whereas a general increase in the pensionable age, based on the general trend of increased life expectancy, takes insufficient account of the fact that there are still numerous branches of industry in which the life expectancy of workers is significantly lower,"
E	"	whereas the social partners in general, and in those branches of industry with workers with a lower than average life expectancy in particular, have a serious responsibility with regard to the in and outflow of workers and can be the primary supporting parties in ensuring an effective age-conscious personnel policy,"
F	"	whereas, due to lower proportions of unemployed people, unemployment benefit spending will fall by about 0,6 percentage points of GDP by 2050, a decrease that is very modest and will not compensate higher expenditure in other sectors,"
G	"	whereas the European Union spends 27,2% of GDP on social protection (2008), the major share being spent on old age benefits and pensions (46%),"
H	"	whereas the term social security does not mean the relationship between spending and revenue but is rather a social contract, a relationship between rights and obligations both for citizens and for the state, and should be treated as such; whereas, under no circumstances should the budgetary character of social security, however, be undermined,"
I	"	whereas the fact of the ageing population is expected to lead to increases in public spending, most of it for pensions, health care and long-term care, in most Member States by 2050 if current policies are pursued, with the largest increase occurring between 2020 and 2040,"
J	"	whereas the objectives of the Lisbon Strategy as regards the employment of women, young people and the elderly and the Barcelona objectives as regards childcare services are essential for the viability of pension systems,"
K	"	whereas the 2000 UN Millennium Objectives, in particular Objective 3, presuppose gender equality,"
L	"	whereas, in general terms, women's careers tend to be more fragmented and the rate at which their pay increases slower, while men tend to have a more continuous employment record and their pay tends to increase more steadily, which means that there is a discrepancy between their respective contributions to the pension system and an increased risk of poverty for women, which is in addition a longer-term risk, given their greater life expectancy,"
1	Urges the Member States, in the light of the Lisbon Strategy and the need to cover social risks and secure the sustainability of the social security and pension systems and maintain the core of the European social models, to make more progress in balancing social expenditure and social activation and, furthermore, to attract and retain more people in quality, secure and mandatory social insurance employment, promoting growth and job creation and access to employment on the basis of greater market transparency, to modernise social protection systems (for example through greater differentiation in benefit formulas and funding mechanisms) and to increase investment in human capital by promoting research and development and innovation and through better education and vocational training in the context of lifelong learning for all;
2	Calls on the Commission to follow closely social security and pension reforms in the Member States, comparing their impact to date on the employment situation of women and focusing on the best practices that have emerged, particularly in reducing gender discrimination regarding pay and in reconciling professional and family responsibilities;
3	Emphasises that sources of economic growth will alter as a result of demographic change and that increasing labour productivity and technological innovation will become sources of economic growth; recognises that, in order to maintain a higher level of productivity, it will be essential to invest more in research and development and better management methods, where synergy between technological and social innovation will be a high priority;
4	Highlights, in the context of current demographic, economic and social trends and the prevention of inter-generational and inter-societal conflicts, the importance of finding new methods for an efficient and equitable distribution of costs and benefits among what will be a smaller economically active and a larger economically inactive population: on a European and national level the aim should be maintaining the balance between the economic viability of the social security systems and pensions on the one hand and the coverage of social risks on the other;
5	Recalls its belief that, to promote an economically viable social protection system, Community labour law should reinforce employment contracts of indefinite duration as the usual form of employment under which adequate social and health protection is provided and respect for fundamental rights is ensured; recognises, however, that rights also need to be protected for those who have other working patterns, including the right to a pension which allows the retired to live in dignity;
6	Recalls that the core of European social models is the principle of solidarity between generations and social groups, and that it is primarily financed by work-related earnings, such as contributions by employees and employers and labour taxation; nevertheless points out that the ageing population will put serious pressure on the active work force and that solutions to the demographic change should be a political priority; stresses that, otherwise, demographic change could jeopardise the principle of solidarity and European social models as a consequence; stresses also the significant importance, therefore, of strengthening the principle of solidarity, including fair financial compensation;
7	Recalls that, under Article 141 of the EC Treaty, measures may be adopted to actively achieve equal pay and Community case-law regards social security contributions as an element of pay;
8	Notes that, as a result of changing demographics, it is estimated that by 2030 the ratio of active to inactive persons will be 2:1; calls on the Commission and Member States to develop policies to ensure that carers, many of whom are obliged to withdraw from the labour market because of caring responsibilities, are not adversely effected by pension insecurity;
9	Recalls that the trend towards individualisation contributes to the modernisation of the second and the third pillar, without calling into question the first pillar of social security systems, this to enable people, especially women and other vulnerable groups, to have more freedom of choice and thus become more independent and able to build up their own, additional pension rights;
10	Calls on the Commission to carry out more detailed research and studies concerning the impact of the individualisation of social rights on the equal treatment of women and men;
11	Considers that equality between men and women must be one of the objectives of any reform of social security and pension systems, while stressing that inequalities in this respect are fundamentally of an indirect nature, resulting from persisting inequality on the employment market, in pay and career prospects and in the way family and domestic responsibilities are shared, and can therefore only be corrected by more global measures;
12	Calls on the Commission and Member States to raise awareness among (young) adults of the importance of building-up pension entitlements early;
13	Believes that a decreasing work force will, if the present situation continues, lead to a decrease in the total number of hours worked; considers that, in order to reverse this trend, measures could be taken to reduce the unemployment rate and increase recruitment (combined with training and retraining) including persons who have a high labour potential such as disabled persons, women and the elderly; stresses the need to enable flexible retirement on a voluntary basis, change the organisation of working practices and make intelligent use of new technologies; stresses that it is also necessary that support services and services related to the care of children and family dependants are improved, in the light of reducing the number of people working part-time on a voluntary basis;
14	Recalls that higher employment rates are heavily dependent on the need to keep all groups – especially those excluded from the labour market – active; stresses, therefore, the need to fight discrimination on the labour market and to offer jobs to inactive persons in the labour force; stresses, furthermore, the need to provide reasonable accommodation so as to facilitate the employment of disabled persons and those with significant health problems, and to ensure that disabled persons and persons who are mentally ill have access to employment;
15	Stresses, therefore, the need for active policies on the employment of women, young people and the elderly so as to make proper use of manpower and business enterprise and to ensure that, inter alia, contributions to pension systems entitle the retired to a decent pension;
16	Stresses the need to discuss at national level raising the legal retirement age; considers that, irrespective of the various legal retirement ages in the Member States, it is necessary that employees should be encouraged to remain in employment on a voluntary basis and as long as conditions allow, until the age which applies or longer;
17	Calls on the social partners, among other things on the basis of experience gained in various sectors, to negotiate tailor-made sector-based measures in relation to ageing workers in general and an age-conscious personnel policy in particular;
18	Calls on the Member States to create financial and social incentives to encourage employees voluntarily to continue to work even after reaching the statutory retirement age;
19	Calls on the Member States to pursue an active policy to improve the prospects for safe working conditions in order to reduce risk in certain occupations and avoid the early retirement of a large proportion of skilled workers;
20	Recalls that any pro-active economic migration policy that addresses especially potential migrants of working age and offers fast-track immigration to highly skilled applicants would need to be complemented by better integration of migrants into the labour market and society as a whole; stresses that intensified efforts to increase immigration might lead to a brain-drain in the countries of origin, which might have a negative effect on the economical and societal development of these countries and encourage new waves of uncontrolled migration;
21	"Recognises that ""brain waste"" can also be an issue, for both the economy as a whole and the individuals concerned, when qualified migrant workers are employed to fill positions for the less-skilled; stresses the need for migrant workers to benefit from their contributions to pension schemes;"
22	Calls on the Commission to take the necessary steps to ensure that Union citizens working and residing in a host Member State do not lose some or all of their social security rights;
23	Considers that the long-term impact of immigration on the ageing of the population is uncertain as it depends on the behaviour of migratory flows, on family regrouping and on the birth rate among migrants; considers that immigration can lead to a better balance of social security systems if immigrants are legally employed and therefore contributing to its financing;
24	Draws attention to the existing discrimination against all vulnerable groups in terms of access to and the conditions on the labour market, especially those who are working in jobs where social security contributions are not mandatory, which leads to lower employment rates and lower wages and therefore fewer opportunities for those groups to build up adequate pensions; insists on the need to provide equal opportunities for all, thus ensuring higher employment rates, equal pay and adequate pension rights;
25	Recognises the fact that public pension systems strengthen social solidarity and are the responsibility of the Member States and that safeguarding these systems should be a political priority; believes that greater use of alternatives to state-funded pensions, such as supplementary schemes, could be a viable alternative; points out that private pensions could include occupational supplementary pension schemes by employers or other collective organisations and associations and individual supplementary pensions based on savings; emphasises that the existence of private pensions would increase the need for the appropriate regulation of private pension funds, the portability of such pensions and the promotion and continued modernisation (including more flexibility) of these alternatives; within this framework, believes that the risk should be taken into account that women in the context of the existing public pension system might lose insurance coverage if private provisions are to replace this system, but that this risk can be reduced by crediting pension entitlements for maternity leave, parental leave and breaks from work for personal reasons;
26	Calls on the Member States to take serious account of the need to redesign traditional pension systems which are based on systematic risk assessments and the assumption of a typical, standard life course and adjust the social security system in line with the reforms of the pension system, this given that the assumed standard course of life is changing rapidly, and that so-called 'patchwork biographies' will become more and more common; believes that this could lead to a new social risk of increasing unpredictability for many individuals and for vulnerable groups in particular, especially immigrants, low-skilled workers, single parents and those with other caring responsibilities; stresses that this can lead to an early exit from the labour market or reduced participation in it; points out that a transformation of the pension systems is also necessary to achieve a flexible labour market;
27	Notes that a sustainable pension system needs to adapt to demographic and economic challenges and stresses that – provided that there is wide availability – a three-pillar structure is a balanced option; suggests that the statutory pensions (first pillar) be flanked by collectively funded occupational pension systems (second pillar) and by individual additional third-pillar products; stresses the value of pension systems that combine solidarity with often high returns because of volume, long-term and prudent but profitable investment strategies; invites the Commission to undertake the preparation of an appropriate and feasible framework of regulation and supervision of pan-European pension products; stresses that an internal market for occupational and third-pillar pensions would allow individuals to enjoy portable occupational pension arrangements, stimulate competition and reduce the cost of saving for retirement;
28	Observes that it is predominantly women who take care of children as well as elderly, ill or disabled members of the family, voluntarily or involuntarily under the pressure of cultural attitudes and social norms or of the poor quality or lack of childcare facilities and other care facilities (long-term care structures) and that they therefore have more interruptions in their working careers; stresses the need to compensate women and carers and to provide them with real choices as regards having children as in relation to caring responsibilities, without fearing possible financial disadvantages or suffering detriment to their career progression; welcomes action by Member States to prevent and compensate this situation, for example by crediting child and family care time in statutory pension insurance;
29	Calls on the Member States, the social partners and representatives of women's organisations to continue to pay close attention to the possible or actual effects of pension system reforms on equality between men and women and to ensure that remedial action is taken if necessary to guarantee equal treatment;
