A	"	whereas health is one of the most precious things"
B	"	whereas Article 21 of the Charter of Fundamental Rights of the European Union states that any discrimination inter alia on grounds of sex, race, colour, ethnic or social origin shall be prohibited and Article 35 states that everyone has the right of access to preventive health care and the right to medical treatment and that a high level of human health protection shall be ensured,"
C	"	whereas the positive effect of developments in health is that more and more people are living longer,"
D	"	whereas increasing rates of cancer, diabetes, cardiovascular disease, rheumatic diseases, mental illness, overweight and obesity problems, along with malnutrition and inadequate nutrition, HIV/AIDS, the poor quality of the environment and the re-emergence of certain diseases associated with growing social inequalities, as well as new challenges, are increasingly threatening health in the EU and beyond, thus increasing the need for prevention and formal and informal health and care provision as well as rehabilitation after sickness,"
E	"	whereas new threats to health with cross-border dimensions, such as pandemics, new communicable disease patterns, tropical diseases and biological terrorism, and the consequences of climate change and globalisation, particularly as regards water, food, increased poverty and migration, as well as existing threats such as environmental pollution, are becoming more serious"
F	"	whereas supportive health care systems are an essential element of the European Social Model and social and health services of general interest perform a general interest task, thus making a major contribution to social justice and social cohesion,"
G	"	whereas population ageing is changing disease patterns thus increasing the need for formal and informal health and care provision and putting pressure on the sustainability of health systems, and whereas therefore special attention needs to be devoted to support for research and innovation by both the public and the private sector, and whereas strong policies are called for in support of the first stages of life, particularly in some Member States,"
H	"	whereas there are wide disparities in health care between and within Member States,"
I	"	whereas citizens increasingly expect common and effective action on health,"
J	"	whereas at the same time the competences of Member States in the field of health and their freedom to decide what kind of health services they consider appropriate to provide must be respected, in strict compliance with the principle of subsidiarity, including respect for the different management systems and for the specific approaches chosen by the Member States in integrating public and private provision of health care services,"
K	"	whereas in the event of concerns based on ethical grounds, it remains within the competence of the Member States to determine whether or not a certain service constitutes a health service,"
L	"	whereas occupational health and safety is a health area in which the EU has a clear remit for action,"
M	"	whereas there are areas where Member States cannot act alone effectively and whereas the EU is committed to a common health policy with which it can provide added value (e.g"	exchange of information and good practice),
N	"	whereas investment in health is essential for human development and has an indirect impact on the various sectors of the economy,"
O	"	whereas there is a lack of clarity about the number of different work streams and work programmes in the field of health,"
P	"	whereas opportunities for disease prevention remain unexploited,"
Q	"	whereas antibiotics are becoming increasingly useless as antibiotic resistance rises, whereas resistance levels vary across the EU, resulting from different attitudes to the use and control of antibiotics (3 to 4 times greater consumption of antibiotics in some Member States than in other Member States), whereas antibiotic resistance is a European problem as frequent movements including tourism take place, increasing the risk of spreading resistant bacteria, and inappropriate use of antibiotics should therefore be monitored and prudent use of them encouraged, and whereas the European Centre for Disease Prevention and Control (ECDC) serves as the appropriate agency to coordinate these activities,"
R	"	whereas 40 % of health spending is linked to unhealthy lifestyles (arising for instance from consumption of alcohol, tobacco, inactivity and poor diet),"
S	"	whereas effective protection of health and safety at work can prevent industrial accidents, inhibit the emergence of occupational diseases and reduce the number of people permanently disabled for work-related reasons,"
T	"	whereas Directive 2004/37/EC of the European Parliament and of the Council of 29 April 2004 on the protection of workers from the risks relating to exposure to carcinogens and mutagens at work"
U	"	whereas malnutrition, which affects a significant number of EU citizens, including an estimated 40 % of patients in hospitals and between 40% and 80% of older people in care homes, costs European health care systems similar amounts to obesity and overweight,"
V	"	whereas health is not only influenced by alcohol, tobacco, inactivity, diet and similar external factors, and therefore more attention should be devoted to the psychosomatic dimension of many diseases and to the deeper causes of the growing number of people affected by depression and other mental disorders,"
W	"	whereas Member States should further promote assistance to people affected by a chronic disease and/or by a disability so as to allow them to be integrated into society to the fullest extent possible,"
X	"	whereas, in many Member States, the increasing demand for health care services is creating an urgent need to take active steps to recruit and retain health care professionals and to provide services to support relatives and friends who provide unpaid care for dependants,"
Y	"	whereas more attention should be paid in the EU's health strategy to long-term care using new technologies, the care of persons suffering from chronic diseases and the provision of home-based health care for the elderly and for people with physical or mental disabilities and services for those who care for them and whereas, in this context, synergies between health services and social services should be sought,"
1	Welcomes the above-mentioned Commission White Paper on an EU health strategy for the period 2008-2013 and supports the values, principles, strategic goals and specific actions set out therein;
2	Calls on the Commission to review existing work in the field of health to determine which work streams are delivering value for the Community and Member States; as part of this work calls on the Commission to determine which working methods and practices add value to the work of Member States in the field of health and which should be better coordinated;
3	Believes that, given the existence of new threats to health, there is a need to address health as a key political issue in the Lisbon Strategy, which includes the need to provide citizens with access to decent health care of the highest quality available to ensure a healthy and competitive workforce;
4	"4	Deplores the fact that the White Paper does not set specific quantifiable and measurable objectives whose attainment could produce tangible results, and recommends that such objectives be adopted;"
5	"Stresses that health care needs the support of effective policies in all areas and at all levels in the Member States and the EU (""Health in All Policies"") and at a global level;"
6	Stresses the fundamental importance of recognising the right of men and women to have a greater say on matters concerning their health and care and the right of children to unconditional protection of their health, on the basis of the general principles of universality, equality and solidarity;
7	Notes that, according to the WHO, chronic diseases and particularly strokes and heart disease are steadily overtaking infectious diseases;
8	Recommends, as part of efforts to prevent disease, the widespread adoption of the practice of performing health impact assessments, as the impact on human health of the decisions of decision-making bodies at various levels including local and regional authorities and national parliaments is measurable;
9	Stresses that action plans should address, in particular, the causes of certain diseases and the need to reduce and prevent epidemics and pandemics; points out that problems also exist which are linked to gender, such as prostate cancer in the case of men and cervical cancer in the case of women and that specific policies should be developed on these;
10	Recommends that the mandate of the ECDC be extended to non-communicable diseases;
11	Proposes that the Commission set as a priority goal a reduction in avoidable health inequalities and inequities between and within Member States, as well as between different social groups and sections of the population, including men and those with mental health problems; moreover, calls on the Member States to fully enforce such Community legislation as the Transparency Directive
12	Stresses that actions aimed at reducing inequities in health should include targeted promotion
13	Believes that disease prevention efforts and vaccination campaigns, where effective products exist, should be stepped up significantly; therefore urges the Commission to draw up an ambitious plan for preventive actions for the entire 5-year period; agrees that spending on health, particularly on prevention and early diagnosis of diseases, is not only a cost but also an investment that could be evaluated in terms of Healthy Life Years as a Lisbon Structural Indicator;
14	Underlines the fact that health is a state of complete physical, mental and social well-being and not merely the absence of disease or infirmity;
15	Stresses that access to reliable, independent and comparable information about healthy behaviours, diseases and treatment options is a prerequisite for an effective disease prevention strategy;
16	Stresses that the desire to prevent diseases must not lead to a climate in society that would prevent children with a chronic disease or a disability from being born; asks the Commission to promote concrete assistance to parents of children with a chronic disease and/or a disability;
17	Stresses furthermore that, in order to promote investment in health, it is vital to measure the effectiveness of investments to date and to publish the findings;
18	Stresses the importance of carrying out well-organised, comprehensive and effective screening programmes to facilitate the early detection and immediate treatment of disease, thereby reducing the associated mortality and morbidity;
19	Believes that the rights of citizens to have access to health care and their responsibility for their own health should be fundamental given that the EU imposes high health and food safety standards throughout people's lifetimes and calls for further investment in research on health literacy in order to identify the most appropriate strategies to address this issue across different groups of the population; encourages all sectors of society to lead healthy lifestyles;
20	"Stresses that the concept of ""healthy lifestyle"" (i.e"	a healthy diet, the absence of drug abuse and sufficient physical activity) needs to be complemented by a psychosocial dimension (i.e	a balanced approach to work and family life); argues that a healthy lifestyle includes good mental and physical health and that these are also important factors in maintaining a competitive economy;
21	Expects the Commission to pay particular attention to the question of the sustainability of health systems and, in that context, also to the role and responsibility of the pharmaceutical industry;
22	Welcomes the Commission's intention to define fundamental health values and establish a system of health indicators (at national and sub-national level) and to promote health literacy programmes and programmes to prevent health problems;
23	Stresses that the prohibition on making the human body and its parts as such a source of financial gain, as mentioned in Article 3 of the Charter of Fundamental Rights of the European Union, should be considered a guiding principle in the area of health, especially in the field of cell, tissue and organ donation and transplantation;
24	"Welcomes the Commission's intention, in the spirit of ""health for all"", to promote health and disease prevention among all age groups; stresses the need to highlight key health-related issues, such as nutrition, obesity, malnutrition, physical activity, consumption of alcohol, drugs and tobacco and environmental risks, including air pollution, both at the workplace and at home, and in compliance with the principle of equality between men and women, providing support for healthy ageing and reducing the burden of chronic illnesses;"
25	Urges the Commission to take a more holistic approach to nutrition and make malnutrition, alongside obesity, a key priority in the field of health, incorporating it wherever possible into Community-funded research, education and health promotion initiatives and EU-level partnerships;
26	Calls on the Commission and the Member States, in the framework of the EU's health strategy, to work towards the development of guidelines for a common definition of disability, which may include people with chronic illnesses or cancer and, in the meantime, for Member States that have not yet done so, to act as quickly as possible to include such people within their national definitions of disability;
27	Furthermore, requests that priority be given to ensuring that persons with disabilities are given equal access to health care and that funding is granted to reflect this focus;
28	Demands effective measures to combat antibiotic resistance including measures to make antibiotics prescription only, guidelines to decrease the prescription of antibiotics to limit it to cases in which the use of an antibiotic is indeed necessary, efforts to improve marker tests in order to encourage a more cautious use of antibiotics, and, where appropriate, hygiene codes; calls for special attention to be paid to the methicillin-resistant Staphylococcus aureus (MRSA) bacteria; points out that the ECDC should monitor and evaluate the application of the guidelines and codes;
29	Draws the attention of the Commission and Member States to the need to support research and promote the prevention, early diagnosis and suitable treatment of chronic diseases in order to ensure sufferers' welfare and quality of life;
30	Acknowledges the vital role of carers in health and health care provision and therefore requests that attention be given to policies which support carers and protect their health alongside the health of those who they care for;
31	Notes that in order to facilitate the mobility of health care professionals and ensure patient safety throughout the EU, the sharing of information between Member States and between their respective regulatory bodies for health care professionals is essential;
32	In the framework of the EU's health strategy, calls for more effective exchanges of best practices within the EU in all areas of health-care provision, in particular in relation to screening programmes and the diagnosis and treatment of serious illnesses such as cancer;
33	Believes that the EU should take further steps to protect health care workers from accidents and injury in the workplace where there is scientific or medical evidence of need; 
34	Urges the Commission to include substances toxic for reproduction in its forthcoming proposal for amendment of Directive 2004/37/EC;
35	Endorses the action called for in its above-mentioned resolution of 15 January 2008 and urges the Commission to respect Parliament's opinion and take the measures called for and come forward with the necessary initiatives which should include:
