A	"	whereas cancer is growing epidemically worldwide in spite of medical progress,"
B	"	whereas certain countries have made progress in reducing cancer rates thanks to anti-smoking policies, improved secondary prevention and treatment of certain forms of cancer"
C	"	whereas, according to the World Health Organisation, cancer is one of the leading causes of death worldwide and accounted for around 13% of all deaths in 2004,"
D	"	whereas cancer was the second most common cause of death in 2006, accounting for two out of ten deaths in women and three out of ten deaths in men, equating to approximately 3.2 million EU citizens diagnosed with cancer each year; whereas the deaths are due for the most part to lung cancer,  colorectal cancer, and breast cancer,"
E	"	whereas, according to estimates by the International Agency for Research on Cancer (IARC), one in three Europeans is diagnosed with cancer during their lifetime and one in four Europeans dies from the disease,"
F	"	whereas projections suggest that, in 2010, 3 million Europeans will develop cancer and nearly 2 million are expected to die of cancer, and projections for 2020 suggest that 3.4 million Europeans will develop cancer and over 2.1 million will die as a result of the disease,"
G	"	whereas the most frequent types of cancer differ between women and men, and women are mostly affected by breast, cervical, endometrial, fallopian tube, ovarian and vaginal cancer but also often by stomach and colorectal cancers; whereas the incidence of breast cancer is rising among women in many European countries, also affecting younger women, and 275 000 women in the EU contract breast cancer each year,"
H	"	whereas the fight against cancer should be considered to be an essential part of the Health Strategy,"
I	"	whereas about 30% of cancers may be prevented and the consequences reduced by early detection and treatment, while the effectiveness of national screening programmes for women varies and depends on the coverage of the female population, accessibility to and the quality of mammography, treatment and other factors,"
J	"	whereas childhood cancer, the leading cause of death from disease in the young, can be successfully treated to achieve an 80% survival rate,"
K	"	whereas prevention involves both primary prevention of incidence and secondary prevention via screening and early detection,"
L	"	whereas effective primary prevention can greatly contribute to improving health through population-based interventions and measures to encourage healthy lifestyles,"
M	"	whereas prevention involves both primary prevention of incidence, which can be accomplished by reducing population exposure to cancer-related contaminants in the environment, in addition to secondary prevention via screening and early detection,"
N	"	whereas the incidence of cervical cancer (the second most common type of cancer in women after breast cancer) may be prevented by an appropriate treatment such as prophylactic vaccines against carcinogenic viruses,"
O	"	whereas cancer is caused by many factors in multiple stages and therefore requires a new cancer prevention paradigm that addresses genetic, lifestyle, occupational and environmental factors on an equal footing in a manner that reflects the actual combination effects of different factors, rather than focusing on isolated causes,"
P	"	whereas environmental factors include not only environmental tobacco smoke, radiation and excessive UV exposure but also exposure to chemical contaminants in food, air, soil and water due to inter alia industrial processes, agricultural practices or the content of such substances in e.g"	construction and consumer products,
Q	"	whereas the disease arises principally as a consequence of individual exposure to carcinogenic agents in what individuals inhale, eat and drink, or are exposed to in their personal or work environment"	Habits, such as tobacco use, dietary and physical activity patterns - as well as occupational and environmental conditions – play major roles in the development of cancer,
R	"	whereas, according to the World Health Organisation, at least 10% of annual cancer-related deaths are caused directly by exposure to carcinogens at the workplace; whereas such exposure could be averted if the carcinogens were replaced by less harmful substances,"
S	"	whereas the rapid rate of increase of some cancers such as e.g"	testicular and non-Hodgkins Lymphoma, and the increase in childhood cancers of 1% per year in Europe in the last 20 years according to the WHO, show that environmental factors must be involved,
T	"	whereas effective secondary prevention aimed at early disease detection can also significantly contribute to improving health prevention and can greatly contribute to improving health; whereas it has been predicted that, by implementing 100% population coverage of cervical cancer screening, an estimated reduction of over 94% of life years lost could be attained and, for every 152 pap smear tests performed, one life year could be gained,"
U	"	whereas endocrine disrupting chemicals can play an important role in cancer formation, for example in the case of breast cancer or testicular cancer, and therefore require specific action,"
V	"	whereas Europe's health systems face major challenges to their long term sustainability and first among these is the impact the ageing population will have on workforce requirements and overall healthcare expenditure; in addition, new technologies, though they bring substantial benefits, require adequately trained staff and possibly increased spending,"
W	"	whereas the incidence of certain cancers such as cervical cancer is significantly higher in certain female migrant populations, and therefore it is necessary to guarantee that prevention and early detection programmes are focused on and available for these high risk groups,"
X	"	whereas the Union's ageing population is one of the reasons for the increase in the cancer burden across the Union and whereas the increase in the incidence of cancer will impose additional pressures on public finances and the productivity of the private sector economy and therefore an improvement in the health indicators relating to cancer will also contribute to improving the long-term economic indicators,"
Y	"	whereas the prevalence of cancer correlates with increasing age and is closely linked with old age, it is also the case that with the ageing of the population the overall incidence of cancer will increase as well; this trend will manifest itself mainly amongst older women, since women still have a higher life expectancy than men, and therefore it is necessary to guarantee that prevention and early detection programmes are not only made available for middle-aged women but also for older women as well as for the oldest old;"
Z	"	whereas in the Lisbon Treaty shared competence between the European Union and the Member States applies in common safety concerns in public health matters, such as the protection of physical and mental health,"
AA	"	whereas death rates from cancer in the new Member States are higher than in the EU-15,"
AB	"	whereas the WHO estimates that at least one third of all cancer cases are preventable and that prevention offers the most cost-effective long-term strategy for the control of cancer and it has been estimated that cancer could be prevented by modifying or avoiding key risk factors such as smoking, being overweight, low fruit and vegetable intake, physical inactivity and alcohol consumption, infectious agents and exposure to certain chemical substances and ionising radiation,"
AC	"	whereas poor nutrition, physical inactivity, obesity, tobacco and alcohol, are risk factors common to other chronic diseases, such as CVD, type 2 diabetes, and respiratory diseases, and therefore cancer prevention programmes should be conducted within the context of an integrated chronic disease prevention programme,"
