A	whereas the wind of protectionism blowing across Europe is alarming,
B	whereas the real economy must be put back at the centre of the political agenda to unleash the full potential of the Single Market,
C	whereas the retail market is a crucial component of our commitment to relaunch the Single Market,
D	whereas the retail market, as a major energy user and waste producer, can make a key contribution to sustainability, including the EU 20-20-20 energy targets,
E	whereas the business potential for cross-border online trade is failing to materialise sufficiently because of various obstacles, such as language barriers, insecurity in the system, inadequate and insufficient information and lack of administrative coordination and cooperation, which make consumers reluctant to purchase online from retailers in other Member States and retailers reluctant to sell online across borders,
1	Stresses that the retail sector is a driver for growth, competitiveness and jobs in Europe and plays a key role in reaching the goals of the EU2020 strategy; 
2	Highlights that retailers are offering diverse and modern ways of purchasing and selling goods and services and contribute to wider consumer choice as well as flexible and decent employment opportunities, in particular for youth; 
3	Calls on the EU institutions to give the highest political prominence to the retail sector as a pillar of the Single Market Act and a vehicle for restoring public confidence in the single market;
4	Calls on the Commission to reinforce cross-policy coordination and to take a holistic, long-term approach to the retail sector; 
5	Regrets that serious obstacles still hinder the retail sector from achieving its full potential online and offline; stresses the need to address them without delay;
6	Underlines that retailers and suppliers have a shared responsibility in achieving a more efficient, transparent and fairer retail market;
7	Considers that the primary focus must be on the effective enforcement of Treaty principles, existing internal market rules and instruments, and self-regulation, before considering a regulatory approach, if appropriate;
8	Is concerned that restrictive national rules, divergent interpretations and inadequate enforcement impede free movement of goods and services in the EU; stresses that requirements for extra tests and registrations, non-recognition of certificates and standards, territorial supply constraints and similar measures create extra costs for consumers and retailers, in particular SMEs, thus limiting the potential usefulness of the single market to European citizens and the business world;
9	Recognises the need for the Commission to further analyse the reasons for price differences in the EU, based on adequate statistical tools, in order to ensure greater price transparency and comparability for consumers, without prejudice to European and national fiscal and labour market rules, thereby promoting more enlightened choices and greater confidence in cross-border trade; recalls the need for active cooperation between national statistical agencies to this effect; 
10	Urges Member States to fully and correctly implement the internal market rules and legislation, notably the Goods Package, the Services Directive, the Late Payments Directive, the E-Commerce Directive, the Small Business Act and the Unfair Commercial Practices Directive; also asks the Member States to remove overlaps and reduce administrative burdens and regulatory barriers that may limit growth and job creation; 
11	Asks the Commission to monitor Member States more closely in order to reduce transposition deficit and ensure effective mutual recognition of goods and services; asks the Commission to ensure also simplification of existing rules;
12	Notes the difficulties faced by Europe's independent retailers, and considers that retail market legislation should be more thoroughly evidence-based, particularly as regards the need to adequately examine and understand the impact of legislation on small businesses;
13	Encourages business federations and consumer associations, supported by the Commission, to provide more information, training and legal advice to stakeholders on their rights and the problem-solving instruments at their disposal, such as SOLVIT, and to support the exchange of best practice among themselves;
14	Stresses that a fragmented payment system is an obstacle to trade; calls on the Commission to improve SEPA in order to develop a basic payment service available for all cards, foster competition between payment means by removing barriers, increase transparency in transaction costs and remove unjustified interchange fees; calls also on the Commission to ensure faster bank transfers within the EU; points out, moreover, that SEPA can be regarded as a useful tool to combat the informal economy;
15	Draws attention to the concern expressed by parts of civil society and SMEs about the increase in shopping centres and the decrease in local shops and markets in remote areas and town centres; 
