A	whereas relaunching the Single Market requires the active support of all citizens
B	whereas in order to gain the active support of all stakeholders, it is essential that during consultations and dialogue with the Commission, as well as in expert groups, effective representation of civil society and SMEs is ensured,
C	whereas the proper dissemination, articulation and management of the various EU Institutions' consultations and reports (EU 2010, the Citizenship Report 2010, the Integrated Industrial Policy, the Digital Agenda for Europe, the Monti report, Parliament's Resolution on ‘delivering a Single Market to consumers and citizens’, the Gonzales and IMCO reports, etc.) are of particular importance for the successful relaunch of the Single Market,
D	whereas a substantial gap still persists between the single market rules and the benefits that citizens and businesses can draw from them in practice,
E	whereas the EU's average transposition deficit amounts to 1.7% when taking into account the cases in which the transposition time of a directive exceeds the deadline and in which infringement proceedings for non-conformity have been initiated by the Commission,
1	Welcomes with interest the Commission Communication ‘Towards a Single Market Act’, especially its third chapter and the global approach which it proposes in order to rebalance the single market between enterprises and citizens and to improve the democracy and transparency of the decision-making process; stresses that this approach seeks to guarantee the best balance between the proposals in the three parts of the communication;
2	Considers that the three chapters of the Communication are equally important and interconnected, and should be dealt with in a consistent approach without isolating the different issues at stake from each other;
3	Urges the Commission and the Council to reinforce the holistic approach to relaunching the Single Market, mainstreaming Single Market priorities to all policy areas which are crucial to achieving the Single Market for the benefit of European citizens, consumers and businesses;
4	Believes that enhancement of European economic governance, implementation of the EU 2020 strategy and the relaunch of the Single Market are equally important for revitalising the European economy and should be seen in combination;
5	Considers that a barrier-free and competitive single market should be completed in order to bring concrete advantages for workers, students, pensioners and citizens in general, and for businesses, particularly SMEs, in their daily lives;
6	Calls on the Commission to indicate the implementation timetable for the Single Market Act and to publish regular updates of tangible progress in order to make the EU public more aware of the Act's implementation and highlight its benefits;
7	Is convinced that one of the main challenges in relaunching the Single Market is ensuring political leadership, commitment and coordination; believes that comprehensive guidance from the highest political level is crucial for the relaunch of the Single Market;
8	Suggests that the President of the Commission should be given the mandate to coordinate and supervise the relaunch of the Single Market, in close cooperation with the President of the European Council and the competent authorities in the Member States; urges the Presidents of the Commission and of the European Council to coordinate closely their respective actions that are to boost economic growth, competitiveness, the social market economy and sustainability in the Union;
9	Highlights the enhanced role of the EP and the national parliaments under the Lisbon Treaty; urges that Parliament's role in the single market legislation process be strengthened; encourages national parliaments to engage with Single Market rules throughout the legislative cycle and participate in joint activities with the European Parliament, leading to a better synergy between the two parliamentary levels;
10	Welcomes the Commission's approach which puts dialogue and partnership at the core of the renewed single market, and calls for strengthened efforts by all stakeholders to ensure that this approach is put into practice so that the single market can play its full role in promoting growth and a highly competitive market economy;
11	Calls on the Commission jointly with the Presidency to organise a yearly Single Market Forum involving stakeholders from the EU institutions, Member States, civil society and business organisations to assess progress in relaunching the Single Market, exchange best practices and address the top concerns of European citizens; encourages the Commission to continue the exercise of identifying the top 20 single-market-related sources of dissatisfaction and frustration which citizens encounter; proposes that the Single Market Forum could be used by the Commission to present these problems and their respective solutions;
12	Urges Member States' governments to take ownership of the relaunch of the Single Market; welcomes initiatives taken by Member States to optimise the way in which they deal with Single Market directives in terms of improving coordination, creating incentive structures and increasing the political importance given to transposition; considers it crucial, when discussing priorities for new legislation, to enhance focus on and incentives for timely and correct transposition, correct application and better enforcement of single market legislation;
13	Notes that Single Market rules are frequently implemented by local and regional authorities; stresses the need for greater involvement of regional and local authorities in the construction of the single market, in accordance with the principles of subsidiarity and partnership, at all stages of the decision-making process; proposes, in order to emphasise this decentralised approach, the establishment of a ‘Territorial Pact of Local and Regional Authorities on the Europe 2020 Strategy’ in every Member State to create stronger ownership in the implementation of the EU 2020 Strategy;
14	Believes that the ‘good governance’ of the single market must respect the role of the two advisory institutions existing at European level – the European Economic and Social Committee and the Committee of the Regions – as well as that of the social partners;
15	Emphasises that dialogue with the social partners and civil society is of the essence in restoring confidence in the single market; expects new and bold ideas from the Commission as to how this dialogue can actually be improved; demands that the social partners be involved and consulted in all relevant single market legislation affecting the labour market;
16	Welcomes the intention of the Commission to enhance an open, transparent  and regular dialogue with civil society;
17	Calls on the Commission to publish a Green Paper on guidelines for the consultations of the EU institutions with representative associations and civil society, ensuring that these consultations are broad, interactive and add value to the proposed policies;
18	Calls on the Commission to adapt dialogue and communication to the needs of ordinary citizens to the fullest extent possible, for example by making all its public consultations available in all EU official languages or by using language in such a way that the ordinary citizen can understand;
