A	whereas the recent financial crisis has called the work of auditors into question,
B	whereas, in the wake of the crisis, excessive risk-taking on the part of financial institutions has been significantly linked to flexible, scant and ineffective control and risk management mechanisms, particularly in systemically important financial institutions (SIFIs),
C	whereas auditors have been identified as being able to play a key role in strengthening the risk management oversight of financial institutions in particular, 
D	whereas the role of the audit committees within financial institutions, in particular, has not been fully utilised,
E	whereas quality auditing is fundamental for economic stability and market confidence, since it provides guarantees concerning the genuine financial health of companies,
F	whereas the auditor's independence plays a fundamental part in the quality of auditing,
G	whereas conflicts of interests are likely to exist when auditing firms offer different services to the same firm,
H	whereas the high market concentration of the Big Four audit firms may cause an excessive build-up of risk, and whereas smaller firms are diverse and their growth and expertise should be encouraged through increased opportunities to compete,
I	whereas, consequently, an in-depth debate needs to be relaunched on the function of the auditor and the structure of the audit market,
1	Welcomes the Commission's Green Paper and applauds its holistic approach;
2	Welcomes the fundamental issue raised in the Green Paper, namely that of how auditing could be improved, even though in the past there has been no serious evidence to suggest that auditing has not been carried out in accordance with the relevant rules and requirements;
3	Takes the view that the debate on the role of the auditor should go hand in hand with a strengthening of the role of the audit committee – now largely ineffective – and of the financial and risk reporting that companies are required to carry out;
4	Sees as yet no sufficient basis for a final assessment, and therefore reminds the Commission that more use of regulations and a wide-ranging, in-depth impact assessment are needed, looking at the various political options
5	Welcomes the recognition of proportionality in the Green Paper;
6	Takes the view that statutory auditing has a social function and is in the public interest, as it is an absolutely fundamental component of the democratic economic and political system and accordingly welcomes the intention of the Green Paper to increase transparency and improve the quality of audit reports in order to contribute to the stability of the financial market and improve access to financing; is in favour of any measures based on the evidence that costs and burdens to financial institutions, in particular, are outweighed by improving their quality significantly, as well as by regular external evaluation and appropriate regulatory oversight; stresses the need for specific legislation;
7	Points out that a high-quality audit system is an integral part of a sound corporate governance framework; asks the Commission to present its proposals on corporate governance and audit to the Parliament and Council in a consistent way;
8	Highlights the importance of the audit report for shareholders and the public; recognises the principle of ‘an audit is an audit’ and warns of the high risk of the application of different standards leading to legal uncertainty; is therefore in favour of the extension of the scope to all financial institutions;
9	Agrees with the Commission on the principle that an audit report's conclusions should focus more on substance than on form;
10	Calls on the Commission to look into how the role of the auditor might be extended to include audits of risk reports provided by the entity being audited, in addition to verification of the information supplied in the main financial statements; recommends that auditors should be made aware of all instances where the risk-committee has been over-ruled;
11	Takes the view that audit reports should be brief, with clear, concise conclusions, and should address all aspects of the auditors' statutory remit; considers that the auditor should provide the audit committee and the general assembly with additional explanations on general issues such as the methodology used in drawing up the balance sheet, and on specific issues such as key indicators, materiality figures and assessments of the risk involved in the material accounting estimates or materiality judgements made, and any particular problems encountered whilst carrying out the audit;
12	Calls for financial institutions' audit reports to include enhanced disclosure requirements for the valuation of less liquid assets, so as to allow a comparison of financial instrument valuations between institutions;
13	Stresses that supervisors or the relevant authorities are to be alerted by auditors when they spot problems that might jeopardise the future of the entity being audited; recommends that bilateral meetings take place between auditors and supervisors of major financial institutions;
14	Notes the potential liability that may attach to providing additional information over and above that required by regulation; believes, nevertheless, that society demands that auditors have both a forward- and outward-looking responsibility, especially with regard to large and systemically relevant corporations; takes the view that information available to auditors that is in the public interest and relates to risk, off-balance sheet operations or future potential future exposures should always be disclosed to regulators and in most circumstances made available to the public;
15	Calls for the role of the audit committees of all financial institutions to be strengthened by requiring them to approve a risk model assessment which includes firm-specific comparisons to benchmarks including reporting potential future financing needs, bank covenants, future cash flows, risk management, management estimates and adherence to major accounting principles and any foreseeable risks with respect to the company's business model; calls for this assessment be presented on an annual basis to the executive and supervisory boards of financial institutions, along with the full audit report, for consideration and approval;
16	Takes the view that professional scepticism is vital in auditing and has an impact on each and every stage of an audit; points out that this scepticism comes about as a result of the objectivity and independence of the auditor
