A	whereas the current economic
B	whereas the consequences ensuing from a dearth of resources, for example rising prices, are particularly hard to bear for people with less income and in less-favoured regions; whereas, therefore, there is a greater need than ever for synergy between social and environmental policies;
C	whereas the increasing demand for and overexploitation of natural resources and associated land use change lead to environmental degradation, more rapid climate change
D	whereas the resource scarcity resulting from intense use, price speculation on the commodities markets and dramatically increased global consumption are pushing up raw material prices, with real commodity prices having increased by 147 % since the turn of the century; whereas the EU is likely to face severe challenges in securing access to, and the uninterrupted supply of, key resources; whereas efficient use of raw materials in industry and at political level is recognised to be crucial to meeting these challenges;
E	whereas switching the economy on to a resource-efficient path which respects planetary boundaries and allows for global population growth and the population levels of future industrialised nations will bring increased competitiveness and new sources of growth and jobs, through cost savings from improved efficiency, commercialisation of innovations, and better management of resources over their whole life cycle;
F	whereas recycling amounts to more than the collection of recyclable waste, and it is therefore essential for every step along the value chain to be encompassed within future measures;
G	whereas a future holistic resource policy should no longer merely distinguish between ‘renewable’ and ‘non-renewable’ resources, but should also extend to permanent materials
H	whereas the Eurobarometer of March 2011 shows that resource efficiency and sustainable production and consumption are key concerns of EU citizens; whereas it will not be possible in any event to progress towards sustainability unless citizens become directly involved through a change of attitude and a change in society's habits where resource use is concerned;
I	whereas securing access to and uninterrupted supply of resources is a growing challenge, thanks to increasing resource consumption and water and land use;
J	whereas a competitive industry enables new investment in more efficient technology;
2	Urges the Commission and the Member States to remove the obstacles to a functioning European market in recycling and reuse, and to stimulate such a market by fostering the demand for and availability of recycled materials and by-products, through measures which should include the swift further development of stringent end-of-waste criteria and economic incentives, such as reduced VAT rates for secondary materials in areas where there is a market failure, or the promotion of innovative collection and sorting technologies, by 2013; in this context, underlines the urgent need to fully implement all existing waste legislation and step up enforcement and monitoring;
3	Urges the Commission and the Member States to boost research and technological innovation in order to speed up the transition to a resource-efficient economy; underlines that the ‘Innovation Union’, including Horizon 2020, the European innovation partnership on raw materials, the Eco-Innovation Action Plan and the Knowledge Innovation Centres, is one of the engines for a resource-efficient Europe; calls on the Commission to set up an easily accessible, online ‘best practice’ data bank for resource efficiency;
4	Urges the Commission and the Member States to agree, by 2013, on clear, robust and measurable indicators for economic activity that take account of climate change, biodiversity and resource efficiency from a life-cycle perspective, for example in the form of a basket of four resource use indicators, namely land footprint, water footprint, material footprint and carbon footprint, and to use these indicators as a basis for legislative initiatives and concrete reduction targets; underlines that this process has to be transparent and include key stakeholders;
5	Calls on the Commission to propose an extension of the scope of the eco-design directive to non-energy related products, and to come forward with additional eco-design requirements for the overall resource efficiency and performance of products, including recycled content, durability, recyclability, reparability and reusability, in order to improve their environmental impact and promote recycling markets; underlines that any such proposal must be based on comprehensive impact assessments and must be coherent with other relevant regulations;
6	Urges the Commission and the Member States to integrate the resource efficiency agenda as comprehensively as possible into all other policies, including the overarching economic governance policies such as Europe 2020, and to implement it at local, regional, national, and EU level;
