A	whereas climate change is not gender-neutral and does have gender-differentiated effects;
B	"	whereas consumption and lifestyle patterns have a significant impact on climate change;"
C	"	whereas women represent approximately 50 % of the world's population and whereas they still have relatively more responsibility for everyday consumption choices, childcare and household activities; whereas consumption patterns differ between women and men, as women consume more sustainably than men and show greater willingness to act to preserve the environment by making sustainable consumption choices; "
D	whereas due to gendered roles, women's impact on the environment is not the same as men's, and their access to resources and ways to cope and adapt is severely affected by discrimination in terms of income, access to resources, political power, education and household responsibility;
E	whereas climate change will amplify inequalities and there is a risk that climate change policies will also have a negative impact on gender balance and women's rights if they do not take gender discrimination into account from the very start;
F	"	whereas there will not be any climate justice without true gender equality, and whereas the elimination of inequalities and the fight against climate change should not be seen as contradictory;"
G	"	whereas democracy, respect for human rights and equality of opportunity between men and women contribute to sustainable development and environmental protection;"
H	whereas sources of discrimination and vulnerability other than gender (such as poverty, geography, traditional and institutional discrimination, race, etc.) all combine to obstruct access to resources and to means to cope with dramatic changes such as climate change; 
I	"	whereas in some regions, almost 70 % of all employed women work in agriculture"
J	"	whereas, while 70 % of poor people living on less than USD 1 per day are women, women own less than 1 % of the world's property; whereas, compared with men, women in developing countries reinvest considerably more of their income in their families;"
K	"	whereas family planning can significantly improve maternity health and control over family size and ultimately increase the independence and reduce the workload of women who are still seen as primarily responsible for childcare, increasing the resilience of women and their families to climate change impacts, as indicated in the 20-year plan adopted by the International Conference on Population and Development;"
L	"	whereas environmental problems – caused and exacerbated by climate change – are currently responsible for the growth of forced migration, and whereas there is therefore an increasing link between asylum-seekers and areas of environmental decline; whereas there is a need for better protection and resettlement of ‘climate refugees’, and for special attention to be given to women who are most vulnerable;"
M	whereas between 75 and 80 % of the world's 27 million refugees are women and children
N	whereas the proportion of women in political decision-making and especially in climate change negotiations is still unsatisfactory and little to no progress has been made; whereas women account for only 12 to 15 % of heads of delegation and around 30 % of the delegates;
O	whereas two thirds of the world's illiterate persons are women
P	whereas natural disasters have a major medium- and long-term effect on education, health, structural poverty and population displacement, and whereas children make up a group particularly vulnerable to the effects of natural disasters; whereas there is a clear link between the occurrence of disasters and reductions in the level of school attendance, and whereas disasters exacerbate considerably the gender gap at school level;
Q	"	whereas droughts and water shortages resulting from climate change force women to work more in order to provide water, food and energy, and whereas young people frequently abandon school to help their mothers in these tasks;"
R	"	whereas women are also powerful agents of change and are globally more active in civil society activities, and their full participation in every aspect of the fight against climate change would ensure fairer and more comprehensive and effective policies to tackle climate change, with regard to both adaptation and mitigation aspects;"
S	"	whereas, on account of their responsibilities when it comes to managing scarce natural resources, women acquire important knowledge regarding the need for a more sustainable environment, giving them a potential role to play – which should not be disregarded – in improving adaptation and attenuation strategies for climate change;"
T	"	whereas mechanisms or financing for disaster prevention, adaptation and mitigation will remain insufficient unless they incorporate women's full participation in design processes, decision making and implementation; whereas good practices from, for example, Tunisia, Nicaragua, El Salvador and Honduras have demonstrated that women's knowledge and participation save lives through disaster management, boost biodiversity, improve water management, enhance food security, prevent desertification, protect forests and support public health;"
1	Recognising that climate change exacerbates gender discrimination in addition to its other catastrophic effects, emphasises that averting dangerous climate change must be the highest priority of the EU both in domestic and external policy; 
