A	whereas the Audiovisual Media Services Directive (AVMSD) is the backbone of EU media regulation;
B	whereas audiovisual media services are as much cultural services as they are economic services;
C	whereas the AVMSD is based on the principle of technological neutrality and thus covers all services with audiovisual content irrespective of the technology used to deliver  it, guaranteeing a level playing field for all audiovisual media service providers;
D	whereas the AVMSD guarantees a free flow of audiovisual media services as an internal market instrument , and respects the right to freedom of expression and access to information  while protecting the public interest objectives, including authors' rights, media freedom, freedom of information and freedom of expression;
E	whereas the AVMSD aims to take into account the cultural nature of audiovisual media services, which are of particular importance for society and democracy as vectors of identities and values, and to preserve independent cultural development in the Member States while safeguarding cultural diversity in the Union, particularly through minimum harmonisation and the promotion of European audiovisual works;
F	whereas technological convergence means that consumers will in future distinguish less and less between linear and non-linear services;
G	whereas the goal should be a level playing field, as the different levels of regulation for linear and non-linear services are no longer recognisable for consumers, which in turn can lead to a distortion of competition;
H	whereas the audiovisual media services markets continue to experience significant changes in technology as well as developments in business practices and models, influencing the way content is delivered and accessed by viewers;
I	whereas the accessibility of audiovisual media services is essential for guaranteeing the right of persons with a disability and of the elderly to participate and be integrated in the social and cultural life of the EU, in particular with the development of new content delivery platforms such as IPTV and Connected TV;
J	whereas specific focus should be placed on media literacy in the context of the increasing pace of technological developments and the convergence of media platforms;
K	whereas the on-going technological changes have made the protection of minors an even more pressing and challenging issue;
L	whereas some Member States have not transposed the AVMSD in a timely manner or have not fully or correctly implemented it;
M	whereas in most Member States the transposition of Article 13 of the AVMSD on the promotion of European works by on-demand services is not prescriptive enough to meet the cultural diversity objective spelled out in the directive;
N	whereas neither a full assessment of the implementation of the AVMSD nor a thorough evaluation of its effectiveness can therefore be carried out;
O	whereas the expansion of the audiovisual media services markets with the development of hybrid services presents new challenges with regard to a wide range of issues, such as competition, intellectual property rights, the evolution of existing and the emergence of new forms of audiovisual commercial communications, and overlay advertising which challenges programme integrity and puts into question the adequacy and effectiveness of the AVMSD, as well as its relationship with other instruments of EU law;
P	whereas the provisions of Article 15 of the AVMSD balance the interests of all stakeholders in a fair manner by ensuring respect for, on the one hand, the public's right to access information and, on the other hand, the right to property and the freedom to conduct a business;
1	Reminds the Commission of its commitment to the smart regulation agenda, and the importance of making timely and pertinent ex-post controls of EU legislation in order to manage the quality of regulation throughout the policy cycle;
2	Notes in this respect that, under Article 33 of the AVMSD, the Commission was under an obligation to submit the report on the application of the Directive no later than 19 December 2011;
3	Notes that the Commission has submitted its application report with a significant delay by submitting it on 4 May 2012;
4	Notes also that the Member States have implemented the AVMSD in a particularly diverse manner;
5	Stresses that the AVMSD remains the appropriate instrument to govern the EU-wide coordination of national legislation on all audiovisual media and to uphold the principles of the UNESCO Convention on the Protection and Promotion of the Diversity of Cultural Expressions;
6	Notes in particular that the ‘country of origin’ principle, when properly applied, gives broadcasters important clarity and certainty about their operational arrangements;
7	Deplores that the Commission application report does not assess the need for a possible adaptation of the AVMSD in view of these findings as required by Article 33;
8	Calls on the Commission to encourage the consistent and full implementation of the AVMSD in the Member States and, in particular, to ensure that all due account is taken of the specific definitions contained in the recitals to this Directive when it is transposed into national law;
9	Strongly supports a technology-neutral approach, in view of evolving viewing and delivery patterns, to facilitate increased consumer choice; calls, in this regard, for a full impact assessment of the current state of play on the market and of the regulatory framework;
10	Notes the Commission's intention to publish shortly a policy document on convergence with regard to Connected TV and connected devices that will launch a public consultation on all issues arising from these new developments;
