A	whereas the economic, social, financial and sovereign debt crises have not yet abated;
B	whereas the current economic situation has demonstrated that stronger coordination between Member States’ macroeconomic and budgetary policies is needed in order to achieve a more integrated and balanced economic union;
C	whereas the economic context remains uncertain and whereas in 2010 the Member States committed themselves to the Europe 2020 goals for developing a smart, sustainable and inclusive EU economy; whereas, however, the EU is not on track to attain the Europe 2020 goals within the timeframe set, as the combined national targets are too low and the measures taken in respect of almost all the goals, especially those concerning energy efficiency, employment, poverty reduction and research and development, have not led to significant progress
D	whereas the European Semester framework was finally codified in Regulation (EU) No 1175/2011 of 16 November 2011 (the Wortmann-Kool report) and, as one of the main cornerstones of the economic and governance package, it has an essential role to play,  leading the Union in taking further steps towards the completion of the Economic and Monetary Union (EMU);
E	whereas the crisis and the increasing disparities in competitiveness since the introduction of the euro have highlighted the need for enhanced coordination of economic and employment policies and improved budgetary practices;
F	whereas this is the first time that the European Semester has been fully implemented and whereas the necessary lessons must be drawn in order for it to reach its full potential;
G	whereas the European Council is firmly committed to mobilising, at every level of governance in the EU, all levers, instruments and policies to stimulate smart, sustainable, inclusive, resource-efficient and job-creating growth by adopting the ‘Compact for growth and jobs’;
H	whereas the European Council conclusions of 30 January 2012 state: ‘Growth and employment will only resume if we pursue a consistent and broad-based approach, combining a smart fiscal consolidation preserving investment in future growth, sound macroeconomic policies and an active employment strategy preserving social cohesion’, and whereas the EU should assist the Member States in creating a dynamic environment for economic growth and prosperity through sustainable policies; 
I	whereas Parliament made recommendations in its resolution of 15 February 2012 on employment and social aspects in the Annual Growth Survey 2012
J	whereas the European Semester has gained in importance and its process now incorporates multiple documents or subdocuments to be submitted by the Member States (National Reform Programmes (NRPs), Stability and Convergence Programmes (SCPs), National Social Reports (NSRs) and National Job Plans (NJPs)), and whereas these documents need to address increasing numbers of goals; whereas the number of such documents and the overlap between them detract from the transparency and coherence of the European Semester process; whereas the quality of the documents submitted by Member States and the level of involvement of stakeholders and national parliaments in their drafting varies greatly;
K	whereas between 2008 and mid-2012 the EU-27 unemployment rate climbed from around 7 % to 10,4 %, equating to about 25 million unemployed people;
L	whereas across the EU more than one in five young people is unemployed (22%), with youth unemployment exceeding 50 % in some Member States;
M	whereas 8,3 million Europeans under the age of 25 are not in education, employment or training (NEET) and whereas this figure is continuing to rise;
N	whereas more than 115 million people are in danger of social exclusion in the EU-27 because they are at an aggravated risk of poverty, are severely materially deprived or live in households with very low work intensity;
O	whereas the single market is needed more than ever as a means of revitalising the European economy, by providing a concrete response to the crisis and acting as an instrument to promote competitiveness and preserve social welfare;
1	Welcomes the Council’s country-specific recommendations for the euro area; recalls that, due to the implementation of the new economic and governance package, this is the first time that those recommendations have had a macroeconomic scenario of the euro area as a whole, and points out that they have gained a new level of detail; believes that the recommendations have not yet reached their full potential;
2	Points out that the European Semester is the proper framework within which to ensure the effective economic governance of the euro area Member States that are linked by common responsibility, bringing together the multilateral surveillance of budgetary and macroeconomic policies and the implementation of the European Strategy for Growth and Jobs as embodied in the EU2020 Strategy;
3	Is concerned to note that, in many Member States, national parliaments, social partners and civil society were not involved in the European Semester process; therefore urges the Commission to ensure that more democratic legitimacy be given to the process through the involvement of national parliaments, social partners and civil society;
4	Urges the Commission to avoid taking a one-size-fits-all approach to the recommendations given to Member States and to ensure that such recommendations are made according to the specific needs of the Member State concerned;
5	Recalls that the European Semester allows for the necessary 
6	Welcomes the measures that have been proposed and believes that they should be progressively improved in order to achieve sound and sustainable public finances, minimize macroeconomic imbalances and boost competitiveness that will lead to higher growth and employment; stresses the need for proper coherence within and among the different Member States’ recommendations, for better use of the macroeconomic scoreboard and for account to be taken of the negative spill-over effects of individual members’ economic policies; 
7	Notes the Commission’s insistence on conducting growth and competitiveness-enhancing structural reforms to allow the EU to get to grips with the crisis and regain its pre-eminent role in the world economy; strongly supports the Commission’s efforts to correct the macroeconomic imbalances within the euro area; calls on the Commission to intensify this work;
8	Looks forward to the dedicated study from the Commission on the interlinkages between deficits and surpluses in the euro area due to appear in autumn 2012; 
9	Welcomes the emphasis on resource efficiency programmes, which have significant employment potential while also benefiting the environment, providing sustainable jobs and offering a clear return on investment for both public and private finances;
10	Notes that most of the structural reforms are concentrating on a small number of areas, such as labour markets (including wage determination), the taxation system, the banking sector, the pension system, the services sector (by removing unjustified restrictions on regulated trades and professions), liberalising certain industries, improving the efficiency and quality of public expenditure, cutting red tape, removing unnecessary layers of government, combating tax evasion, and reforming mortgage and real estate markets; acknowledges that there is still a long way to go and believes that the right foundations have to be set and that there is still room for improvement;
11	Expresses its concern about the fact that no recommendations have been made on the Europe 2020 objectives to those Member States with a financial assistance programme; calls on the Commission to assess the impact of the economic adjustment programme on progress towards the Europe 2020 headline targets and to propose modifications designed to bring the adjustment programme into line with the Europe 2020 objectives;
12	Acknowledges the Commission’s emphasis on labour market reforms with a view to increasing the competitiveness of the euro area; considers that wage increases should be kept in line with productivity; similarly shares the Commission’s insistence on the importance of the long-term sustainability of pension systems; 
13	Calls on the Commission to be more explicit, thorough and coherent in its recommendations, to continue to monitor recommendations made in the past, including detailed explanation and evaluation in those cases where the Commission thinks a country has only partially followed the recommendations and to take full account of the different economic and social realities of each Member State; considers that the Commission should make recommendations to Member States on how to minimise the negative spill-over effects of their internal policies and facilitate compliance of other Member States;
14	Notes that in this year’s country-specific recommendations the Commission urges a number of Member States to restructure national systems for wage formation and/or to reduce national wage levels; stresses that the autonomy of social partners is a crucial element of any well-functioning labour market and should be taken into account;
15	Reiterates that the Commission is in a unique position to develop a truly detailed European macroeconomic plan that can boost growth and jobs and urges the Commission to allow for adjustments of specific recommendations when these prove inadequate to achieve defined objectives; believes that in order to pursue such a plan the Commission should propose that European funds be used as efficiently as possible and should look for ways to adapt them to the needs that the EU currently has, something which requires adequate funding;
16	With a view to increasing the efficiency of the process, stresses the need to better align the timing of the release of the Annual Growth Survey (which targets the EU-27 as a whole) and the Alert Mechanism Report, introduced by the six-pack (which targets specific Member States only);
17	Highlights the fact that the Annual Growth Survey is based on the forecasts prepared by the Commission in the autumn; emphasises, therefore, the need to take potential forecast errors into account, as they may have consequences for the budgetary adjustment required from the Member States;
