A	whereas seven countries have an outlet to the Adriatic and Ionian seas
B	whereas cross-border cooperation is essential in order to establish arrangements for the joint management of fishing activities and to make sure that fish stocks are exploited in a sustainable manner;
C	whereas, although some of the Adriatic countries have established special zones, a substantial proportion of the waters of the Adriatic and Ionian seas are still international waters;
D	whereas in its recent resolution on the evolution of EU macro-regional strategies, Parliament stressed that the Adriatic-Ionian macro-regional strategy is a significant factor in efforts to achieve reconciliation between countries in the Western Balkans, and may assist those countries' efforts to join the EU, thus enabling an overall policy for the whole Mediterranean basin to be implemented;
E	whereas the signatory states to the Ancona Declaration have called on the Commission to draw up a macro-regional strategy for the Adriatic-Ionian region, along the lines of the macro-regional strategies it has already put forward for the Baltic (2009), the Danube (2010) and the Atlantic Ocean (2011)
F	whereas in its resolution of 23-24 June 2011 the European Council invited the Member States to ‘continue work in cooperation with the Commission on possible future macro-regional strategies, in particular as regards the Adriatic and Ionian region’;
G	whereas, in a recent opinion, the Committee of the Regions has called on Parliament to support the establishment of an EU strategy for an Adriatic-Ionian macro-region that takes account of the major challenges facing the area, in particular as regards the fisheries and aquaculture sector;
H	whereas fishing has traditionally been an important industry in most of the regions facing on to the Adriatic and Ionian seas, and whereas fishing activities in this area are currently managed by the General Fisheries Commission for the Mediterranean (GFCM) and the International Commission for the Conservation of Atlantic Tunas (ICCAT);
I	whereas the principal geo-physical feature of the Adriatic sea basin
J	whereas the Adriatic-Ionian sea basin is a multi-species fishery in which multi-gear fishing activities are carried out, ranging from small-scale artisanal fishing to demersal trawling and from pelagic mid-water trawling to recreational fishing;
K	whereas the Adriatic is home to a large number of endemic fish species; whereas, however, an increase in fishing effort and/or higher pollution levels have given rise to major problems for fish stocks and for the fishing industry in general, in particular on the Italian side of the southern Adriatic;
L	whereas, furthermore, over recent years there has been a considerable increase in aquaculture in the Adriatic-Ionian area, although there are major environmental and spatial constraints, and although not all areas are suited to the installation of offshore breeding facilities and, where they are, such facilities are not always compatible with other activities;
