A	whereas patient safety
B	whereas high-quality healthcare is the cornerstone of any high-quality health system and whereas access to high-quality healthcare is recognised as a fundamental right by the EU, the European institutions and European citizens;
C	whereas Article 168 of the Treaty on the Functioning of the European Union stipulates that Union action must complement national policies and must be directed towards improving public health, preventing physical and mental illness and diseases, and obviating sources of danger to physical and mental health;
D	whereas, therefore, the EU’s action in the field of patient safety consists in helping Member States  to coordinate their efforts in this area and supporting their actions in fields where its intervention can provide added value; 
E	whereas it is essential to maintain citizens’ confidence in the health systems of the European Union;
F	whereas the volume of data available on the prevalence and incidence of adverse events
G	whereas the issue of patient safety is becoming a growing concern in health systems throughout the world, including in Europe;
H	whereas the results of the Eurobarometer survey on ‘Patient Safety and Quality of Healthcare’ indicate both that European public opinion is highly aware of this issue and also that there is a marked lack of information on patient safety;
I	whereas healthcare-related adverse events for the patient or his or her unborn or future descendants are: healthcare-associated infections (HAIs)
J	whereas some adverse events are the result of risks inherent in operations or courses of medication deemed necessary by healthcare personnel, while others are the result of avoidable medical errors,  shortcomings and failings in the healthcare supply chain;
K	whereas it is estimated that between 8 % and 12 % of patients admitted to hospitals in the EU suffer from adverse events while receiving healthcare, including HAIs, errors during treatment or surgery, problems arising from failure or inadequate decontamination of medical equipment, errors in diagnosis, and failure to act on the results of tests;
L	whereas demographic changes are leading to an increase in the proportion of older patients, who are frequently prescribed a large number of different medicines but are often unable to cope with taking them correctly;
M	whereas, furthermore,  older patients and patients with immunodeficiencies or chronic diseases, in particular degenerative diseases, are especially vulnerable to healthcare-related adverse events, such as: diagnostic errors; lack of follow-up to medical examinations; the prescription, dispensing or administration of an inappropriate (e.g	off-label) medicine, of an incorrect dose or of two medicines which should not be combined; failure or poor decontamination of medical equipment; and infection of surgical scars;
N	whereas international studies estimate that between 13 % and 16 % of hospital costs (or one euro in seven) are incurred as a result of healthcare related incidents;
O	whereas, however, it is estimated that between 30 % and 40 % of adverse events in both hospital and out-of-hospital (ambulatory) care appear to be caused by systemic factors and are therefore avoidable;
P	whereas a lack of financial, technical and human resources is particularly associated with an increased risk of healthcare-related adverse events;
Q	whereas the economic crisis has slowed down the implementation of measures adopted by the Member States in 2009, as a result of changed priorities in public health; 
R	whereas any natural or legal person has the right to make public or distribute, in good faith and in safety, information on a fact, an item of data or an action, as soon as a lack of knowledge of this fact, this item of data or this action appears to present a danger to public health;
S	Whereas patient safety enjoys a high priority on the political agenda; whereas the Member States established a mechanism for debate related to patient safety issues and other work in this area in 2005; whereas a working group was established, through which the Commission intends to promote the work and activities of the Member States, its active members being the WHO (especially through the World Alliance for Patient Safety), the Council of Europe, the OECD, and European associations of patients, physicians, nurses, pharmacists, dentists and hospitals;
T	whereas HAIs are among the most common and the most dangerous causes of involuntary harm to patients;
U	whereas HAIs, which, on average, are acquired by 5 % of patients admitted to hospital, are a major public health problem in the Member States and place a heavy burden on limited health service budgets;
V	whereas for the period 2011-2012 the annual number of patients acquiring at least one HAI during a stay in an acute care hospital in the EU as a whole was estimated to be 3,2 million
W	whereas HAIs, which have a high impact in terms of morbidity, mortality (with 37 000 people dying directly of such infections in the EU) and cost (estimated at over EUR 5,5 billion per annum Union-wide), constitute a major public health problem in the Member States;
X	whereas HAIs can occur as a result of time spent in all settings in which healthcare is provided, including primary, community, social, private, acute and chronic care, during the provision of any healthcare services, or at home (in particular as a result of errors in dosage, errors in packaging the medicine, contamination through medical instruments or equipment, or contact with patients and healthcare professionals);
Y	whereas a HAI contracted during a hospital stay may not display symptoms until after the patient has been discharged;
Z	whereas the average length of a hospital stay in the Member States is falling;
AA	whereas the ECDC has the task, with the involvement of international experts, of developing scientific recommendations for evidence-based measures for the effective prevention of HAIs;
AB	whereas patients with chronic or degenerative diseases often receive home care instead of being admitted to hospital;
AC	whereas the condition of some people with chronic or degenerative diseases often requires permanent and continuous medical assistance, very frequently necessitating, in particular, the use of medical devices (cardiac stimulators, respiratory devices, catheters, urinary catheters, etc.); 
AD	whereas the use of such medical devices carries a risk of infection;
AE	whereas pathogens, in particular antimicrobial-resistant pathogens, can also be spread as a result of failure to follow basic hygiene precautions in environments such as healthcare establishments and in the home;
AF	whereas simple and cost-effective action to prevent HAIs, such as sanitation education (in particular, the promotion of hospital hygiene), already exists or is currently being tested on an experimental basis, with promising results, and whereas potential alternative, cost-effective ways of combating HAIs could usefully be explored;
AG	whereas, since the micro-organisms responsible for HAIs are capable of colonising the human body for long periods, patients can spread them not only during their hospital stay but also afterwards, and whereas HAIs can thus affect all care premises, medium- and long-term care establishments, and even the patient’s home;
AH	whereas only 13 Member States have implemented national surveillance of 
AI	whereas, furthermore, people’s increasing mobility within and between national healthcare systems inside the EU, the increasingly cross-border nature of healthcare in Europe and freedom to seek medical treatment outside one’s country of residence are making it easier for resistant micro-organisms to spread rapidly from one Member State to another;
AJ	whereas the issue of antimicrobial resistance is a serious, and in some countries growing, threat to patient safety that can complicate recovery from and treatment of infections and increases national health costs;
AK	whereas HAIs are often difficult to treat, as the micro-organisms responsible for them are frequently resistant to antimicrobial agents;
AL	whereas in the EU, Iceland and Norway alone antimicrobial resistant bacteria cause some 400 000 infections and 25 000 deaths annually, with at least EUR 1,5 billion spent on extra healthcare costs and productivity losses;
AM	whereas antibiotic resistance  in Europe is continuing to increase, and for certain bacteria may be 25 %, or even more, in several Member States;
AN	whereas the latest available data indicate that antibiotic resistance markers for the bacteria involved in HAIs highlight an increasing global trend towards multi-resistance, and, in particular, increases in the percentages of 
AO	whereas there is a decline in the development of new antimicrobials;
AP	whereas  development of resistance to antimicrobial agents is a natural and unavoidable consequence of their use, but whereas it can be limited if they are used prudently and rationally;
AQ	whereas the development of resistance to antimicrobial agents can be accelerated, in particular, by the inordinate and indiscriminate use of these products in human medicine, which, combined with insufficient hygiene and infection control, can compromise the effective use of an already limited number of existing antimicrobial agents;
AR	whereas, in view of the lack of development of new antibiotics/antimicrobial agents, it is vital for current antimicrobial agents to be used effectively for as long as possible;
AS	whereas, in view of the lack of development of new antibacterial medicines, the Commission and the Member States should work together to support the development and availability of such products, making use of the ECDC and the expertise of the European Medicines Agency (EMA);
