A	whereas corruption can be defined as the abuse of entrusted power for individual or collective, direct or indirect personal gain, and whereas acts of corruption include the crimes of bribery, embezzlement, trading in influence, abuse of functions and illicit enrichment, as defined by the UNCAC; whereas fraud, extortion, blackmail, abuse of discretionary powers, favouritism, nepotism, clientelism and illegal political contributions are closely linked to corruption; whereas corruption may be linked to organised crime operating under collective leadership alongside official structures, particularly where the authorities fail to enforce the law;
B	whereas corruption perpetuates and aggravates unequal, unjust and discriminatory outcomes with regard to the equal enjoyment of human rights, be these civil, political and economic or social and cultural rights; whereas corruption can have negative repercussions on the environment and affects disproportionately the most disadvantaged and marginalised groups in society, namely by barring them from equal access to political participation, public services, justice, safety, land, jobs, education, health and housing, and whereas corruption affects in particular progress towards ending discrimination, gender equality and women's empowerment, by limiting women's capacities to claim their rights;
C	whereas corruption may undermine economic development by obstructing business and investment on occasion;
D	whereas the fight against corruption is part of the good governance principle, as upheld and defined by articles 9(3) and 97 of the Cotonou Agreement;
E	whereas acts of corruption and human rights violations typically involve the misuse of power, lack of accountability and the institutionalisation of various forms of discrimination; whereas corruption is invariably more frequent where enforcement of human rights is lacking or absent, and whereas corruption often undermines the effectiveness of the institutions and entities which normally provide checks and balances and are intended to ensure respect for democratic principles and human rights, such as parliaments, law enforcement authorities, the judiciary
F	whereas corruption is generally deeply entrenched in the mentality of the societies where it permeates, and whereas all efforts to combat it should focus first and foremost on the education system, targeting people at the earliest age possible;
G	whereas states sometimes fail to act in preventing or punishing corruption in public and private sectors, in breach of their international obligations under the International Covenant on Civil and Political Rights, the International Covenant on Economic, Social and Cultural Rights, and other relevant international and regional human rights instruments;
H	whereas corruption distorts the size and composition of government expenditure, seriously harming the state's capacity to harness to a maximum its available resources in order fully to realise economic, social and cultural rights, and whereas corruption diverts large amounts of funding from investment in the economy, hindering the recovery of countries in economic hardship, including EU Member States;
I	whereas corruption in high places can seriously undermine and destabilise the countries concerned and strike at the very heart of the State;
J	whereas, according to the World Bank, corruption represents 5 % of global GDP (USD 2,6 trillion), with over USD 1 trillion paid in bribes each year; and whereas corruption adds up to 10 % of the total cost of doing business on a global basis and 25 % of the cost of procurement contracts in developing countries
K	whereas the World Bank estimates that each year USD 20-40 billion, corresponding to 20-40 % of official development assistance, is stolen from public budgets in developing countries and hidden overseas through high-level corruption
L	whereas from 2000 to 2009, developing countries lost USD 8,44 trillion to illicit financial flows, ten times more than what they received in foreign aid; whereas every year for the past decade, developing countries lost USD 585,9 billion through illicit flows; whereas the money stolen through corruption each year is enough to keep the world's hungry fed 80times over, while bribes and theft swell the total cost of projects to provide safe drinking water and sanitation around the world by as much as 40 %
M	whereas corruption, by threatening the consolidation of democracy and enforcement of human rights, remains a fundamental cause and catalyst of conflict, widespread violations of international humanitarian law and impunity in developing countries, and whereas the status quo of corruption and illicit enrichment in positions of state power has led to power-grabbing and perpetuation of power as well as to the creation of new militias and widespread violence;
N	whereas corruption in the judicial sector breaches the principle of non-discrimination, access to justice and the right to a fair trial and to an effective remedy, which are instrumental in the enforcement of all other human rights, and whereas corruption seriously distorts the independence, competence and impartiality of the judiciary and of the public administration, fostering distrust in public institutions, undermining the rule of law and giving rise to violence;
O	whereas delivery of public services enables states to fulfil their international human rights obligations, ensuring the supply of water, food, health, education, housing, security and order as elements of human development, and whereas corruption in public procurement thrives in the absence of openness, transparency, information, competition, incentives, clear rules and regulations that are strictly enforced and also where there are no independent monitoring and sanctions mechanisms;
P	whereas widespread corruption, lack of transparency, access to information and inclusive participation in decision-making prevents citizens from holding governments and political representatives to account in order to ensure that revenue related to resource and market exploration is used to ensure their human rights; whereas it is incumbent upon governments to do everything in their power to combat corruption in public and private companies;
Q	whereas human rights defenders, media, civil society organisations (CSOs), trade unions and investigative journalists play a crucial role in the fight against corruption by scrutinising public budgets, monitoring the activities of governments and large – in particular multinational – companies, and the financing of political parties, offering capacity-building skills and expertise and demanding transparency and accountability; whereas journalists reporting on corruption and organised crime are increasingly targeted and harassed by organised crime groups, ‘parallel powers’ and the public authorities, especially in developing countries;
R	whereas a free and independent press and media, both online and offline, are essential in ensuring transparency and scrutiny – both necessary to combat corruption – by providing a platform for the exposure of corruption and giving citizens and society access to information;
S	whereas open data and open government empower citizens by giving them access to information about governmental budgets and expenses;
