CELEX number,Title,Publication Reference
52007PC0037,Proposal for a Regulation of the European Parliament and of the Council setting out the requirements for accreditation and market surveillance relating to the marketing of products {SEC(2007) 173} {SEC(2007) 174},
52007PC0046,Proposal for a Regulation of the European Parliament and of the Council on Community statistics on public health and health and safety at work,
52007PC0069,Proposal for a Regulation of the European Parliament and of the Council on population and housing censuses,
52007PC0076,Proposal for a Regulation of the European Parliament and of the Council on quarterly statistics on Community job vacancies,
52007PC0090,"Proposal for a Regulation of the European Parliament and of the Council amending Regulation No 11 concerning the abolition of discrimination in transport rates and conditions, in implementation of Article 79 (3) of the Treaty establishing the European Economic Community and Regulation (EC) No 852/2004 of the European Parliament and the Council on the hygiene of foodstuffs {SEC(2007) 301} {SEC(2007) 302} {SEC(2007) 303} {SEC(2007) 304}",
52007PC0095,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 1059/2003 on the establishment of a common classification of territorial units for statistics (NUTS) by reason of the accession of Bulgaria and Romania to the European Union,
52007PC0129,Proposal for a Regulation of the European Parliament and of the Council concerning meat and livestock statistics,
52007PC0159,"Proposal for a Regulation of the European Parliament and of the Council amending Council Regulation (EEC) No 1408/71 on the application of social security schemes to employed persons, to self-employed persons and to members of their families moving within the Community",
52007PC0194,"Proposal for a Regulation of the European Parliament and of the Council laying down Community procedures for the establishment of residue limits of pharmacologically active substances in foodstuffs of animal origin, and repealing Regulation (EEC) No 2377/90 {SEC(2007)484} {SEC(2007)485}",
52007PC0245,Proposal for a Regulation of the European Parliament and of the Council on farm structure surveys and the survey on agricultural production methods and repealing Council Regulation (EEC) No 571/88,
52007PC0263,Proposal for a Regulation of the European Parliament and of the Council establishing common rules concerning the conditions to be complied with to pursue the occupation of road transport operator {SEC(2007) 635} {SEC(2007) 636},
52007PC0264,Proposal for a Regulation of the European Parliament and of the Council on common rules for the international carriage of passengers by coach and bus (recast) {SEC(2007) 635} {SEC(2007) 636},
52007PC0265,Proposal for a Regulation of the European Parliament and of the Council on access to the market in the carriage of goods by road within the Community to or from the territory of a Member State or passing across the territory of one or more Member States {SEC(2007)635} {SEC(2007)636},
52007PC0355,"Proposal for a Regulation of the European Parliament and of the Council on classification, labelling and packaging of substances and mixtures, and amending Directive 67/548/EEC and Regulation (EC) No 1907/2006 [SEC(2007) 853] [SEC(2007) 854]",
52007PC0364,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 2004/2003 on the regulations governing political parties at European level and the rules regarding their funding,
52007PC0368,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 1924/2006 on nutrition and health claims made on foods,
52007PC0376,Proposal for a Regulation of the European Parliament and of the Council amending the annexes to Regulation (EC) No 883/2004 on the coordination of social security systems,
52007PC0439,Proposal for a Council Regulation extending the provisions of Regulation (EC) No 883/2004 and Regulation (EC) No […] to nationals of third countries who are not already covered by these provisions solely on the ground of their nationality,
52007PC0443,Proposal for a Regulation of the European Parliament and of the Council establishing a European Training Foundation (recast),
52007PC0530,Proposal for a Regulation of the European Parliament and of the Council establishing an Agency for the Cooperation of Energy Regulators {SEC(2007) 1179} {SEC(2007) 1180},
52007PC0531,Proposal for a Regulation of the European Parliament and of the Council Amending Regulation (EC) No 1228/2003 on conditions for access to the network for cross-border exchanges in electricity {SEC(2007) 1179} {SEC(2007) 1180},
52007PC0532,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 1775/2005 on conditions for access to the natural gas transmission networks {SEC(2007) 1179} {SEC(2007) 1180},
52007PC0535,Amended proposal for a Regulation of the European Parliament and of the Council on the further implementation of the European satellite radionavigation programmes (EGNOS and Galileo),
52007PC0560,Proposal for a Regulation of the European Parliament and of the Council on the protection of pedestrians and other vulnerable road users {SEC(2007)1244} {SEC(2007)1245},
