CELEX number,Title,Publication Reference
52009PC0031,Proposal for a regulation …/…/EC of the European Parliament and of the Council of […] on textile names and related labelling of textile products (Text with EEA relevance) {SEC(2009)91} {SEC(2009)90},
52009PC0035,Proposal for a Regulation of the European Parliament and of the Council establishing a programme to aid economic recovery by granting Community financial assistance to projects in the field of energy,
52009PC0066,Proposal for a Regulation of the European Parliament and of the Council establishing a European Asylum Support Office {SEC(2009) 153} {SEC(2009) 154},
52009PC0090,Proposal for a Council Regulation amending the Convention Implementing the Schengen Agreement as regards long stay visa and alerts in the Schengen Information System,
52009PC0091,Proposal for a Regulation of the European Parliament and of the Council of […] amending the Convention Implementing the Schengen Agreement and Regulation (EC) No 562/2006 as regards movement of persons with a long-stay visa,
52009PC0113,Proposal for a Regulation of the European Parliament and of the Council laying down general rules for the granting of Community financial aid in the field of trans-European networks (codified version),
52009PC0121,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EEC) No 95/93 on common rules for the allocation of slots at Community airports,
52009PC0122,Proposal for a Council Regulation establishing a long-term plan for the northern stock of hake and the fisheries exploiting that stock {SEC(2009)300 {SEC(2009)301},
52009PC0139,Proposal for a Regulation of the European Parliament and of the Council amending Council Regulation (EC) No 1321/2004 on the establishment of structures for the management of the European satellite radio navigation programmes.,
52009PC0142,"Proposal for a Regulation of the European Parliament and of the Council adapting a number of instruments subject to the procedure referred to in Article 251 of the Treaty to Council Decision 1999/468/EC, with regard to the regulatory procedure with scrutiny - Adaptation to the regulatory procedure with scrutiny - Part Five",
52009PC0151,Proposal for a Council Regulation laying down a Scheme of control and enforcement applicable in the area covered by the Convention on future multilateral cooperation in the North-East Atlantic fisheries,
52009PC0154,"Proposal for a Regulation of the European Parliament and of the Council on jurisdiction, applicable law, recognition and enforcement of decisions and authentic instruments in matters of succession and the creation of a European Certificate of Succession {SEC(2009) 410} {SEC (2009)411}",
52009PC0189,Proposal for a Council Regulation establishing a multi-annual plan for the western stock of Atlantic horse mackerel and the fisheries exploiting that stock {SEC(2009) 524} {SEC(2009) 525},
52009PC0194,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 1905/2006 establishing a financing instrument for development cooperation and Regulation (EC) No 1889/2006 on establishing a financing instrument for the promotion of democracy and human rights worldwide,
52009PC0195,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 1717/2006 establishing an Instrument for Stability,
52009PC0197,Proposal for a Council Regulation amending Regulation (EC) No 1934/2006 establishing a financing instrument for cooperation with industrialised and other high-income countries and territories SEC(2009)531 SEC(2009)532 SEC(2009)532,
52009PC0223,Proposal for a Regulation of the European Parliament and of the Council on the European Earth observation programme (GMES) and its initial operations (2011-2013) (Text with EEA relevance) {SEC(2009) 639} {SEC(2009) 640},
52009PC0267,Proposal for a Regulation of the European Parliament and of the Council concerning the placing on the market and use of biocidal products (Text with EEA relevance) {SEC(2009) 773} {SEC(2009) 774},
52009PC0268,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 998/2003 on the animal health requirements applicable to the non-commercial movement of pet animals {SEC(2009)776} {SEC(2009)777},
52009PC0293,"Proposal for a Regulation of the European Parliament and of the Council establishing an Agency for the operational management of large-scale IT systems in the area of freedom, security and justice {COM(2009) 292 final} {COM(2009) 294 final}",
52009PC0322,Proposal for a Regulation of the European Parliament and of the Council amending Council Regulation (EC) No 377/2004 on the creation of an immigration liaison officers network,
52009PC0342,Amended proposal for a Regulation of the European Parliament and of the Council concerning the establishment of 'EURODAC' for the comparison of fingerprints for the effective application of Regulation (EC) No […/…] [establishing the criteria and mechanisms for determining the Member State responsible for examining an application for international protection lodged in one of the Member States by a third-country national or a stateless person] (Recast version) {COM(2009) 344 final} {SEC(2009) 936} {SEC(2009) 937},
52009PC0348,Amended proposal for a Regulation of the European Parliament and of the Council on labelling of tyres with respect to fuel efficiency and other essential parameters {SEC(2008) 2860} {SEC(2008) 2861},
52009PC0363,Proposal for a Regulation of the European Parliament and of the Council concerning measures to safeguard security of gas supply and repealing Directive 2004/67/EC {SEC(2009) 977} {SEC(2009) 978} {SEC(2009) 979} {SEC(2009) 980},
52009PC0382,Proposal for a regulation (EC) No …/2009 OF the European Parliament and of the Council amending Regulation (EC) No 1080/2006 on the European Regional Development Fund as regards the eligibility of housing interventions in favour of marginalised communities,
52009PC0384,"Proposal for a Council Regulation amending Regulation (EC) No 1083/2006 concerning general provisions on the European Regional Development Fund, the European Social Fund and the Cohesion Fund as regards simplification of certain requirements and as regards certain provisions relating to financial management",
52009PC0399,Proposal for a Council Regulation establishing a long-term plan for the anchovy stock in the Bay of Biscay and the fisheries exploiting that stock {SEC(2009) 1076 final} {SEC(2009) 1077 final},
52009PC0406,Proposal for a Council Regulation establishing a catch documentation programme for bluefin tuna Thunnus thynnus and amending Regulation (EC) No 1984/2003,
52009PC0459,Proposal for a Council Regulation concerning authentication of euro coins and handling of euro coins unfit for circulation,
52009PC0477,Proposal for a Council Regulation on certain provisions for fishing in the GFCM (General Fisheries Commission for the Mediterranean) Agreement Area,
52009PC0499,Proposal for a Regulation of the European Parliament and of the Council on Community macro prudential oversight of the financial system and establishing a European Systemic Risk Board {COM(2009) 500 final} {COM(2009) 501 final} {COM(2009) 502 final} {COM(2009) 503 final} {SEC(2009) 1234} {SEC(2009) 1235},
52009PC0501,Proposal for a Regulation of the European Parliament and of the Council establishing a European Banking Authority {COM(2009) 499 final} {COM(2009) 500 final} {COM(2009) 502 final} {COM(2009) 503 final} {SEC(2009) 1233} {SEC(2009) 1234} {SEC(2009) 1235},
52009PC0502,Proposal for a Regulation of the European Parliament and of the Council establishing a European Insurance and Occupational Pensions Authority {COM(2009) 499 final} {COM(2009) 500 final} {COM(2009) 501 final} {COM(2009) 503 final} {SEC(2009) 1233} {SEC(2009) 1234} {SEC(2009) 1235},
52009PC0503,Proposal for a Regulation of the European Parliament and of the Council establishing a European Securities and Markets Authority {COM(2009) 499 final} {COM(2009) 500 final} {COM(2009) 501 final} {COM(2009) 502 final} {SEC(2009) 1233} {SEC(2009) 1234} {SEC(2009) 1235},
52009PC0510,Proposal for a Council Regulation amending Regulation (EC) No 247/2006 laying down specific measures for agriculture in the outermost regions of the Union,
52009PC0530,Proposal for a Regulation of the European Parliament and of the Council on statistical returns in respect of the carriage of goods by road (Codified version),
52009PC0535,Proposal for a Regulation (EC) no …/… of the European Parliament and of the Council of […] on waste statistics (Codified version),
52009PC0541,Proposal for a Council Regulation amending Regulation (EC) No 708/2007 concerning use of alien and locally absent species in aquaculture {SEC(2009)1347},
52009PC0579,Amended proposal for a Regulation of the European Parliament and of the Council laying down harmonisation conditions for the marketing on the construction products (Text with EEA relevance) (presented by the Commission pursuant to Article 250 (2) of the EC Treaty),
52009PC0588,Proposal for a Council Regulationamending Council Regulation (EC) No 1085/2006 of 17 July 2006 establishing an Instrument for Pre-Accession Assistance (IPA) EN .,
52009PC0593,Proposal for a Regulation of the European Parliament and of the Council setting emission performance standards for new light commercial vehicles as part of the Community's integrated approach to reduce CO2 emissions from light-duty vehicles {SEC(2009) 1454} {SEC(2009) 1455},
52009PC0611,Proposal for a Regulation of the European Parliament and of the Council on investigation and prevention of accidents and incidents in civil aviation (Text with EEA relevance) {SEC(2009) 1477} {SEC(2009) 1478},
52009PC0634,Proposal for a Regulation of the European Parliament and of the Council on common rules for the allocation of slots at Community airports (Codified version),
52010PC0093,"Amended Proposal for a regulation (eu) no …/… of the European Parliament and of the Council on establishing an Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (presented by the Commission pursuant to Article 293(2) of the Treaty on the Functioning of the European Union)",
52010PC0393,Amended proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulation (EC) No 708/2007 concerning use of alien and locally absent species in aquaculture,
52010PC0486,"Amended proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Council Regulations (EC) No 1290/2005 and (EC) No 1234/2007, as regards distribution of food products to the most deprived persons in the Union",
52010PC0555,Amended proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL on the establishment of 'EURODAC' for the comparison of fingerprints for the effective application of Regulation (EC) No […/…] [establishing the criteria and mechanisms for determining the Member State responsible for examining an application for international protection lodged in one of the Member States by a third-country national or a stateless person]  (Recast version),
52011PC0135,Amended Proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulation (EC) No 1073/1999 concerning investigations conducted by the European Anti-fraud Office (OLAF) and repealing Regulation (EURATOM) No 1074/1999,
52011PC0137,"Proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulation (EC) No 1049/2001 regarding public access to European Parliament, Council and Commission documents",
52011PC0632,Amended proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulation (EC) No 726/2004 as regards information to the general public on medicinal products for human use subject to medical prescription and as regards pharmacovigilance,
52011PC0634,Amended proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Council Regulation (EC) No 1290/2005 and Council Regulation (EC) No 1234/2007 as regards distribution of food products to the most deprived persons in the Union,
52012PC0049,Amended proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulation (EC) No 726/2004 as regards information to the general public on medicinal products for human use subject to medical prescription,
52012PC0254,"Amended proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL on the establishment of 'EURODAC' for the comparison of fingerprints for the effective application of Regulation (EU) No […/…] (establishing the criteria and mechanisms for determining the Member State responsible for examining an application for international protection lodged in one of the Member States by a third-country national or a stateless person) and to request comparisons with EURODAC data by Member States' law enforcement authorities and Europol for law enforcement purposes and amending Regulation (EU) No 1077/2011 establishing a European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice  (Recast version)",
