A	whereas the Transatlantic Partnership is a cornerstone of the external action of the Union,
B	whereas the Transatlantic Partnership is founded on shared values such as freedom, democracy, human rights and the rule of law, as well as supporting sustainable economies and sustainable development; whereas such values continue to play a key role in any future consideration of the fundamentals of the Transatlantic Partnership; and whereas the USA needs to be called upon to adopt the values promoted and upheld by the EU, such as prohibition of the death penalty and defence of the International Criminal Court,
C	whereas it is necessary, regardless of a partially divergent interpretation of the currently existing global risks and threats, to advance freedom and democracy in the world and to address the challenges which they pose, such as international security, the eradication of poverty, promotion of development, the need for disarmament efforts worldwide, protection of human rights, confronting global health risks, environmental issues and energy security, combating international terrorism and organised crime, and the non-proliferation of weapons of mass destruction,
D	whereas it is in the interests of both partners to confront in unison common threats and challenges on the basis of existing international treaties and the effective work of international institutions, and in particular the UN system in accordance with the UN Charter,
E	whereas, bearing in mind the responsibility of both partners for the state of international order, it is essential that their partnership be founded on a stable, sustainable and load-bearing base for cooperation,
F	whereas, in the fight against international terrorism, it is necessary to stress the importance of fully respecting international law and treaties regarding human rights and fundamental freedoms, and to recognise the importance of discussing the appropriateness of and need for new and more tailored solutions in international law, capable of better responding to the challenge of international terrorism, and new legal means of combating the threat of terrorism, while fully respecting the aforementioned rights and freedoms,
G	whereas, as the European Security Strategy makes clear, the Transatlantic Partnership and NATO are very important for collective security,
H	whereas EU institutions, Member States, the United Nations and the general public have repeatedly called for the immediate closure of the Guantánamo Bay detention centre, urging that all prisoners should be treated in accordance with international humanitarian law and tried as quickly as possible at a fair and public hearing by a competent, independent and impartial tribunal,
I	whereas the EU and US constitute the world's largest bilateral partnership in terms of trade (some EUR 600 000 million in goods and services in 2003) and investment (some EUR 1 400 000 million by 2003), with as many as 14 million jobs in the EU and US dependent on transatlantic commercial ties (according to the Commission),
J	whereas, in the context of the strong economic interdependence deriving from the abovementioned ties, the Lisbon Agenda should be perceived as an endeavour to make Europe a highly competitive and knowledge-based economy which in turn benefits the Transatlantic Partnership by enhancing the growth of common markets,
K	whereas the United States continues to impose, on a non-reciprocal basis, a visa requirement on citizens of ten EU Member States, including nine of the ten Member States which joined the European Union on 1 May 2004, thereby hampering transatlantic ties, perpetuating inequality among EU citizens and implying a lack of trust in the European Union's own visa arrangements,
L	whereas both partners are currently the major donors of assistance to the Middle East and the Mediterranean region, with some EUR 3 000 million being provided annually in grants and loans from the EU and some USD 2 200 million from the United States, whereas the peaceful development of democratic societies in the Middle East that respect human rights and guarantee political pluralism should be the central strategic aim of the foreign policy of both the European Union and the United States, and whereas this assistance should be better coordinated and focused on conflict resolution, the promotion of democracy and sustainable development,
M	whereas the Austrian Presidency has underlined the need for greater involvement of parliamentary representatives and representatives of European and American civil society in the Transatlantic Partnership,
1	Stresses the need to update the fundamental basis of the Transatlantic Partnership by replacing the existing New Transatlantic Agenda with a Transatlantic Partnership Agreement to take effect from 2007; is convinced that it is only by means of such an agreement that the transatlantic relationship can be anchored in a firm institutionalised structure, enabling the partners to pursue their common objectives in a more consistent and stable manner; is of the view that only such an agreement would allow comprehensive restructuring and harmonising of the diverse and uncoordinated initiatives presently under way, and that it would also encourage other international actors to assume the vital principles of democracy, human rights and the rule of law;
2	In this respect, urges the partners to initiate at all levels a comprehensive evaluation of the shortcomings, failures and achievements of the New Transatlantic Agenda with regard, in particular, to the priority actions included in the Joint EU/US Action Plan, so as to build the Transatlantic Partnership on a more defined and concrete basis;
3	Underlines equally the urgent need for the forthcoming EU-US Summit in June 2006 to fix without further delay the goal of completing the Transatlantic Market by 2015, without impediment, as repeatedly proposed by Parliament, by the US Congress and by leading politicians, academics and business stakeholders;
4	Is of the opinion that the realisation of such far-reaching initiatives, especially with regard to the deepening of EU-US economic relations, is absolutely necessary; emphasises the need for transatlantic relations to have a direct impact on achieving objectives inherent in EU-US global and bilateral interests and values;
5	Considers therefore that the eight joint declarations adopted at the EU-US Summit in Washington DC on 20 June 2005, as well as other common actions which may follow, would be better integrated and more effectively pursued under the umbrella of the proposed Transatlantic Partnership Agreement;
6	Regrets for the same reason that the Commission Communication of 18 May 2005, whilst moving in the right direction, did not show the necessary conviction and determination to push further ahead and fix the final goal of enhancing the Transatlantic Partnership by concluding a Transatlantic Partnership Agreement as the appropriate institutional and political framework; calls, therefore, on the Commission to draw up another Communication, stressing the need to push ahead with the matter;
7	"Reiterates the view that the Transatlantic Partnership Agreement should expand the existing agenda in the political, economic and security fields, seeking a ""community of action"" for global and regional cooperation in all those areas where the common interests and values of both partners are at stake; welcomes in this regard the eight joint declarations resulting from the last Washington Summit, which specify the most pressing challenges for both partners; also welcomes the discussions at the First Regulatory Cooperation Forum (26 January 2006) and within the First Intellectual Property Working Group (26 January 2006), and looks forward to their follow-up in three months, but considers that more concrete action, such as the setting-up of informal dialogues between EU and US experts in the areas concerned, with a view to formulating achievable short and medium-term measures to tackle those challenges, would be desirable;"
8	Recommends also the promotion of a common approach to relations with other major geopolitical actors including China, India, Japan, Latin America and Russia, the revival of negotiated arms control and disarmament agreements at multilateral and bilateral levels and a more active joint commitment to reform of the United Nations and its Security Council;
9	Urges that China, Russia and Ukraine be prioritised for actions with regard to EU-US collaboration and coordination of technical assistance and enforcement training;
10	Is of the view that the support for the United Nations system contained in the Declaration on the 60th anniversary of the signing of the UN Charter will strengthen universal democratic values worldwide only if the terms of the Declaration and UN Security Council resolutions are consistently applied when addressing the multifaceted threats and challenges on the ground; in this regard, shares the view that the spread of transparent, accountable and representative government, the rule of law and respect for human rights as enshrined in the Universal Declaration of Human Rights are strategic priorities and moral necessities for the partners and as such must form a distinctive characteristic of the partnership;
11	Encourages the partners to engage in further common action regarding obligations deriving from international treaties which lay the foundations of an effective multilateral framework in fundamental policy areas for both partners' global responsibilities, such as those relating to the International Criminal Court, the Kyoto Protocol on Climate Change, the Geneva Conventions, the UN Convention against Torture and other Cruel, Inhuman or Degrading Treatment or Punishment, human rights and fundamental freedoms including the elimination of the death penalty, non-proliferation of weapons of mass destruction, combating organised crime and smuggling, extradition, torture, illegal detention and rendition, asylum, visas, emigration, data protection, etc.; urges the partners to ratify all relevant international treaties and to overcome current differences in analysis, diagnosis and policy approach towards a global system based on good governance and the rule of law;
12	Regrets that the US Administration remains so reluctant to enter into any meaningful international partnership on climate change, but notes as a modest step forward, that it is now willing, as agreed at the December 2005 Montreal Conference of the Parties to the United Nations Framework Convention on Climate Change, to engage in a thorough forward-looking dialogue; welcomes initiatives by US legislators to set up mandatory domestic schemes for the reduction of greenhouse gas emissions in the US and the growing emphasis on fighting climate change demonstrated by key actors in American society, such as state governments, mayors, civil society organisations and the business community;
13	Recommends that a common strategy be developed to ensure security of energy and raw material supplies, based firstly on a multilateral policy agreed by all major consumers and secondly on the principle of diversity in supply, production and transportation;
14	Encourages closer cooperation, within the Contact Group, on the final status of Kosovo, with respect for the resolutions of the UN Security Council and decisions of the European Union, with the aim of consolidating peace, security and stability in the broader region of the Balkans;
15	Encourages the partners to reinforce their common efforts to promote peace, prosperity and progress in the Middle East on the basis of the successive initiatives undertaken by the Quartet in accordance with the Road Map, ensuring at each stage a regular, strong joint Quartet presence and dialogue at a high level; stresses the importance of a common approach towards the newly elected Palestinian Authority, insisting on the principles of non-violence, recognition of the state of Israel and acceptance of previous agreements and obligations, including the Road Map; calls on Israel and the Palestinian Authority to avoid unilateral actions which could prejudice final status issues; urges the Palestinian Authority to do its utmost to prevent acts of terrorism and Israel to stop settlement expansion and the building-up of the barrier on Palestinian soil; is of the view that commitment by the newly elected Palestinian Authority to the above-mentioned principles outlined by the Quartet on 30 January 2006 is essential in order to achieve the final aim of two democratic states, Israel and Palestine, living side by side in peace and security; supports the recent decision of the Quartet to endorse a temporary international mechanism ensuring direct aid to the Palestinian people;
16	Recommends that all necessary steps be taken to strengthen Lebanon's stability by supporting that country's institutions and its democratic governance; to that end, is of the view that Lebanon's own decision–making should not be overridden by the actions of the transatlantic partners or of any other outside actor;
17	Supports the determination of the partners to work with the Iraqi authorities, the UN and relevant regional actors in order to help Iraq achieve peace, stability and democracy following the constitutional and legislative elections; expresses its profound concern at the continuing violations of human rights;
18	Underlines the need for the partners to work closely on the Iran nuclear issue and to maintain a coherent policy towards the region as a whole, focusing on the Iranian people, its government and the democratic opposition; asks the United States to participate in the negotiations with Iran; fully supports the statement by the President of the UN Security Council on 29 March 2006 and the call on Iran to take the steps required by the International Atomic Energy Agency (IAEA) Board of Governors for suspension of all enrichment-related and for verification by the IAEA of reprocessing activities, including research and development; shares the view that these steps will contribute to a diplomatic, negotiated solution guaranteeing that Iran's nuclear programme is for exclusively peaceful purposes; fully supports the conclusions of the meeting held in Berlin on 30 March 2006 and its urgent call on Iran to address international concerns through a diplomatic solution, but recalls that negotiations have already lasted three years, cannot be never-ending and cannot simply lead to an appeasement policy; is of the view that further measures should be envisaged by the United Nations Security Council;
19	Recommends that Iran's legitimate security interests be taken into account by a comprehensive regional security system backed by the strong commitment of the transatlantic partners;
20	Calls for concerted action vis-à-vis China with regard, in particular, to the urgency of finding ways to promote democracy in that country, defuse tension in cross-straits relations, enhance the participation of Taiwan in world fora and facilitate the dialogue between the Beijing authorities and the Dalai Lama in order to make concrete progress on the question of Tibet;
21	Supports the measures proposed with a view to working together for the promotion of peace, stability, prosperity and good governance in Africa, as well as the efforts being made in the framework of different international fora, such as the G8/African Union Action Plan, the EU-African Peace Facility or the US Global Peacekeeping Operations Initiative; proposes however that priority be given to achieving the UN Millennium Development Goals by 2015 by effectively increasing the partners' development assistance in Africa, in particular in the fields of education and health, and by supporting the efforts of international aid funds to eradicate poverty completely; expects African governments to deliver their side of the bargain through a commitment to democracy, the rule of law and respect for human rights as well as to the fight against corruption;
22	Is of the view that the European Union and the United States should give policy priority to the substantial reduction of poverty and should reaffirm their commitment to achieving the UN Millennium Development Goals by 2015 and their previously expressed commitment to devote 0,7% of their GDP to development assistance by 2020 at the latest;
23	Underlines the importance of NATO's role together with the European Union's foreign and security policy and the fact that NATO remains a crucial guarantor of transatlantic stability and security; reiterates that it is in the interests of the partners to strengthen both NATO and EU capabilities and that NATO in particular should develop its potential as a forum for political debate in a true partnership of equals, with a sensible balance being struck between the instruments of prevention, crisis management and military capability; recommends, to that end, the development of the existing relationship on security matters between NATO and the European Union, while respecting the independent nature of both organisations; underlines that all military intervention should in principle be mandated by the UN, in accordance with its Charter;
24	"Welcomes the recent US National Defense Authorization Act for Fiscal Year 2006, which does not contain ""Buy American"" provisions for the procurement of refuelling tankers for the US Air Force; recognises, however, that it remains difficult for European defence firms to penetrate the United States defence market and to acquire United States defence-related technology due to the absence of a genuine transatlantic ""two-way street"" in the defence industrial sector; believes, therefore, that the European Defence Agency should recommend that national defence procurement agencies in the EU make more European purchases in order to strategically reinforce the European defence industrial and technological base in certain sectors and in order to rebalance transatlantic industrial cooperation in the defence sector;"
25	Urges further discussion on joint rapid reaction (including crisis management in all its forms) to sudden and unexpected political changes in countries in which the shared values and vital interests of both partners could be affected;
26	Underlines the importance of increasing the military capabilities of Europe, for the sake of international security and with a view to establishing better partnership relations between the European Union and the United States in political and military terms;
27	Welcomes the commitment by both partners, highlighting the important role played by the UN Security Council and other UN institutions in seeking an effective global response to the key threats to international peace and security posed by the proliferation of WMDs and their delivery systems; as well as the irresponsible export and proliferation of conventional weapons, including small arms and light weapons; to that end, stresses the need for the continuation of work on strengthening the non-proliferation regime and that efforts must be made to work decisively towards the universalisation of the related treaties and conventions, in particular the Ottawa Convention banning anti-personnel landmines, as well as adherence to the Hague Code of Conduct against Ballistic Missile Proliferation, implementation of the UN Programme of Action on small arms and light weapons and conclusion of the International Arms Trade Treaty; encourages the United States to ratify the Comprehensive Nuclear-Test-Ban Treaty;
28	Recommends intensification of the work on a new instrument of international law which would adequately define the phenomenon of terrorism as well as effective and legal methods of combating it by international society that are in full accord with human rights and fundamental freedoms;
29	Encourages the European Union and the United States to continue cooperation towards a comprehensive system of international agreements on non-proliferation of weapons of mass destruction  in order to jointly reinforce the Non-Proliferation Treaty (NPT) as a key element in preventing the spread of nuclear weapons, regrets that a common position in this regard was not achieved at the NPT Review Conference in 2005, and proposes that the utmost be done to promote full implementation of UN Security Council Resolution 1540 (2004); is of the view that strengthening the IAEA as well as the Global Partnership Initiative are central elements in the partners' joint strategy; endorses in this connection the proposal of the IAEA for the multilateralisation of uranium enrichment; further stresses that the nuclear-weapon states amongst the transatlantic partners should work harder to comply with Article VI of the NPT;
