A	whereas energy efficiency is the relationship between energy supplied and energy used,
B	whereas energy consumption has been historically linked with economic growth, and improvements in energy efficiency bring about a decoupling of the positive correlation between energy consumption and economic output, thus improving the energy intensity of the economy,
C	whereas energy conservation can arise from improvements in energy efficiency,
D	whereas energy efficiency is the largest, fastest and cheapest response to the challenges of security of energy, rising and volatile energy prices and environmental concerns,
E	whereas energy consumption has risen yearly in the EU at a rate of 1% on average and energy intensity has decreased by a third in the last 35 years, but recently this rate of decrease has fallen sharply,
F	whereas the Commission has calculated that the EU could save 20% of its current energy uses in a cost-effective manner, on the basis of studies that do not take into consideration the high energy prices that we are now experiencing, and will continue to experience in the future,
G	whereas reductions in energy intensity do not entail a reduction in GDP growth,
H	whereas energy efficiency makes an important contribution to increasing the EU's competitiveness and employment and to achieving the Lisbon goals,
I	whereas estimated gross energy consumption in buildings amounts to 27%, in transport to 20% and in industry to 18% of total consumption,
J	whereas in 2004, in the EU of 25 Member States, 28% of final energy use was in the industrial sector, 31% in transport and 41% in buildings,
K	whereas electrical transmission and distribution losses amount to between 10% and 12% on average, depending on the distance between the supplier and the consumer, while heat transmission and distribution losses are more variable and depend not only on distance but also on the method of insulation,
L	whereas an EU-wide harmonised and un-bureaucratic benchmarking system can be a useful tool to measure energy efficiency gains,
M	whereas there are several legislative texts in force relating to energy efficiency which are already effective, and another one which must be transposed within the year, and the Member States' first national energy efficiency action plans must be in place by 1 June 2007,
N	whereas the correct transposition and full implementation of existing directives would contribute significantly to improving energy efficiency, thus reducing the energy intensity of our economy in a cost-effective manner,
O	whereas, furthermore, the calculation of cost-effectiveness must include the costs of inaction and the expected economic benefits from early action and innovation as well as from technological learning, which will drive down mitigation costs,
P	whereas there is no framework directive for energy efficiency in transport,
Q	whereas in the new agreement on the financial framework the budget for R&D has been considerably reduced,
R	whereas energy efficient appliances and technologies such as lamps, movement sensitive light switches, heat-pumps intelligent metering systems managed by remote control and gas top-boxes, as well as energy services, are available to consumers, yet market penetration of such goods and services is not significant, even though the Lisbon strategy lays great emphasis on support for business start-ups in the field of clean technologies, viewed as a potential new source of employment,
S	whereas an ambitious energy efficiency policy must be put in place in order to close the gap between technical possibilities and their use in practice,
T	whereas industry's responsibilities to contribute to energy efficiency improvements as well as curbing CO2 emissions must be seen against the background of supporting manufacturing at high efficiency and emission standards and the development of innovative technologies,
U	whereas many consumers feel they lack the necessary information on efficient energy consumption and on the real cost of energy but would be willing to change their habits accordingly, if different tariff options were offered and if they were properly informed by means of a comprehensive labelling system detailing the energy efficiency of appliances and vehicles,
V	whereas the EU is supposed to become the most sustainable and energy-efficient economy in the world by 2020,
W	whereas European, national, local and regional levels and all involved stakeholders as well as independent experts need to cooperate closely on energy efficiency,
1	Urges Member States to fully implement European directives in the field of energy efficiency, notably those on the energy performance of buildings, promotion of cogeneration, liberalisation of the energy markets, and energy end-use efficiency and energy services;
2	Asks the Commission to ensure that Member States fully implement all existing EU legislation in the field of energy; suggests to speed up the infringement procedures for the institutions to gain credibility in the enforcement of European law;
3	Recalls that if Member States were to fully implement existing EU legislation, 50% of the EU target to save 20% of energy by 2020 would already be met;
4	Calls on the Commission to provide clear and accessible information on the state of implementation of the EU energy directives, and asks the Commission to produce monthly updates to be published on the Commission's Directorate-General for Energy and Transport website;
5	Asks the Commission to analyse the interplay of different pieces of legislation (e.g	the directives concerning emissions trading, large combustion plants, integrated pollution prevention and control, combined heat and power (CHP) etc.) in promoting energy efficiency and its impact on the sectors covered;
6	Asks the Commission, where it can act on the basis of existing directives under the comitology procedure, to do so immediately; points out in this respect the Commission's obligation within the framework of Directive 2005/32/EC to adopt so-called implementing measures by May 2007 for the groups of products which offer a high potential for cost-effective reduction of greenhouse gas emissions;
7	Awaits with interest the Commission's Energy Efficiency Action Plan and will be particularly vigilant in ensuring that it is consistent with previous legislation;
8	Calls on the Commission to set out differing energy efficiency scenarios in the European Energy Efficiency Action Plan with a particular view to ascertaining the implications for energy use, the energy mix and CO2 reduction;
9	Draws attention to the fact that the price of oil is now significantly higher than that on which the energy savings target of 20% in the Green Paper is based, which results in a substantial increase in the cost-effectiveness of energy efficiency measures; calls therefore on the Commission to raise the savings target accordingly;
10	Calls on the Commission to propose, in the Energy Efficiency Action Plan, practical measures to be taken at both European and national level;
11	Calls on the Commission to submit a coherent strategy for safeguarding energy supplies, increasing energy efficiency and promoting renewable energies; considers that the various policy fields should complement one another with regard to this subject and that, given the numerous initiatives, rules and projects which exist at EU level, in many cases it is impossible for consumers to recognise their respective goals;
12	Considers that increased investment in renewable sources of energy and energy saving technologies are crucial as they are key tools by which to decrease energy demand, fight climate change and ensure energy supply, and that the EU could also benefit greatly by exporting these technologies to countries whose expected exponential increase in energy consumption will force them to invest considerable amounts in environmental technologies; therefore calls for the Seventh Framework Programme to guarantee substantial funds in favour of these technologies;
13	Calls on the Commission, in close agreement with the Member States and the European Parliament and taking full account of the scientific and economic facts, to set an ambitious but realistic target of at least 20% improvement in energy efficiency by 2020 and consider setting individual targets for different sectors, taking into consideration national circumstances and the past achievements of Member States and their ability to adapt to imminent legislation or legislation already in force but still to be implemented;
14	Stresses that the target of 9% in nine years stipulated in Directive 2006/32/EC can only be a minimum target; stresses also that the savings target in every country, despite divergent trends, is well above one percentage point a year; sees the necessity of requiring greater energy savings if, as expected, energy use continues to rise;
15	Would like the Commission to assess the effects on disadvantaged members of society of the proposals it has put forward for discussion; notes that certain tax proposals, in particular, are likely to place a disproportionate burden on such people;
16	Stresses the need for Member States to adopt National Energy Efficiency Action Plans based on ambitious and realistic mandatory annual targets; calls on the Member States to provide adequate funding for the implementing agencies and programmes at national and local level;
17	Suggests that the Commission conduct an impact assessment of the administrative costs of introducing a system to control energy efficiency gains; believes that the cost-benefit principle should be applied to each legislative initiative regarding energy efficiency and with regard being had to the economic costs of global warming and of energy insecurity, given that energy efficiency is important in cutting CO2 emissions and improving security of supply;
18	Recommends that the Commission systematically evaluate the expected benefits and classify the proposed measures in order of preference, giving priority to those areas and initiatives where major results will be immediately forthcoming, and providing a positive example to the Member States and their citizens; takes the view that this should also be reflected in national programmes of action;
19	Considers that local energy and environment agencies must also be supported financially by the establishment of an energy efficiency fund primarily aimed at projects and programmes dispersed throughout the country; considers that it is necessary, moreover, to encourage and publicise the role of professional facilitators, experts who have extensive knowledge of energy matters and the relevant technology and many contacts in the various sectors concerned, and can act as intermediaries between the public administrative authorities and investors in the sector;
20	Considers that local and regional level involvement should be considered when the cohesion and structural funds are configured and that, by the same token, particular account should be taken of local and regional level participation in the EU's support programmes, particularly when the 'Intelligent Energy - Europe' programme is incorporated in the Competitiveness and Innovation Framework Programme (CIP);
21	Calls on the Commission to review energy efficiency measures in order to ascertain their acceptance by consumers and to concentrate its efforts only on those measures which can be manifestly successful as quickly as possible;
22	Calls for all the measures to be implemented from the point of view of their impact on the small and medium-sized enterprises (SMEs) and their competitiveness; stresses the important role that SMEs play in implementing energy efficiency opportunities within industry; realises that SMEs might struggle to implement the energy efficiency measures required by European legislation; calls on the Commission to pay particular attention to this issue and provide, as far as is technically possible and economically viable, assistance in this matter not only in the form of Community aid but also by providing targeted advice and networking to help SMEs to gain access to information and exchange ideas on the best available technologies and best practice;
23	Notes the need to support efforts to improve energy efficiency using public funds; considers that public funding should be permitted only where it is essential, particularly in the initial phase of actions, following which it should be withdrawn and replaced by market mechanisms;
24	Realises that Member States may have difficulty in providing the financing to implement a number of cost-effective energy efficiency measures due to the upfront costs of such measures, in particular within the housing sector; calls on the Commission therefore to ensure that adequate structural funding is made available under the European Regional Development Fund (ERDF) for housing and at the very least to ensure that Member States can use up to 10% of total ERDF funds for energy efficiency improvements in housing;
25	Remains of the view that completing the liberalisation of energy markets is essential to enhancing competitiveness, tackling energy prices and enhancing security of supply and energy efficiency, and therefore calls on the Commission to follow up and promote more intensively the implementation of the liberalisation process in the Member States, but supports the establishment of a better balanced framework regarding the promotion of investments to improve innovation and competition; notes that in such a framework, both Member States' and the EU's regulatory capabilities must be improved;
26	Believes economic incentives and funding instruments to be of decisive importance in encouraging fresh investment in new energy products and services; believes that the purpose of financial incentives should therefore be established precisely and clearly, bearing in mind, among other things, the competitiveness of European products and services;
27	Calls on the Commission to foster a legislative environment that fully supports and encourages the full potential of high-efficiency cogeneration installations, in particular for industrial uses as well as micro-cogeneration for SMEs, and asks Member States to implement the Cogeneration Directive in a way that reflects a realistic and economically feasible approach and avoids establishing barriers to this type of investment; furthermore, calls on the Member States to take full advantage of, and extend, the application of existing technology – including trigeneration – which exploits the energy currently wasted within industry and energy production;
28	Urges the Member States to implement the Cogeneration Directive in full to realise the vast potential energy savings from cogeneration and calls for a European cogeneration initiative for complementing the Directive in order to ensure clear and visible results in the coming years; takes the view that the promotion of cogeneration should be mainstreamed into all related EU policy fields, such as the environment, research, education, competition, industry, trade, and regional policy;
29	Considers that fiscal measures can be effective as an incentive as well as a deterrent and should be used as one tool to favour energy efficiency and to speed up the introduction of energy efficient solutions; stresses, that the tax system should also incorporate the 'polluter pays' principle;
30	Considers that taxation plays a prominent role in enhancing energy efficiency; believes that efforts should be made to ensure that Member States' national tax systems discriminate in favour of energy efficient practices;
31	Considers that multilateral banks and public financial institutions should create an Energy Efficiency Fund granting money for energy efficiency projects; takes the view that energy efficiency objectives should also be integrated into other sectoral policies, especially fiscal policy, transport and cohesion policy; believes that innovative financing schemes and contractual tools, such as micro-credit and joint ventures between private companies and municipalities, must be proposed in order to involve actively local partners and decision-makers;
32	Considers, on the basis of positive experiences with household appliances, that it is necessary to examine the possibilities of extending energy efficiency labelling, or other consumer information solutions, to other products as well;
33	Calls on the Commission and the Member States to encourage local authorities to take innovative steps to ensure efficient use of energy resources, including by stepping up the production of energy from alternative sources using tax relief and increased financial support from the EU;
34	Considers that there should be incentives for improving infrastructure and interconnections, in order to reduce transmission and distribution losses; believes that generation points should be rationally distributed within national territories as close as possible to where electricity is consumed; notes that renewable energy sources are particularly suited to decentralised generation;
35	Notes that electricity transmission and distribution are responsible for the loss of up 10% of the electricity produced; draws attention to the fact that in some Member States these losses account for more than 20% of the electricity produced; calls on the Member States to take urgent action to minimise the losses in electricity transmission and distribution networks;
36	Urges the Member States to implement speedily Directive 2002/91/EC; asks the Commission to rapidly evaluate its impact on energy consumption as well as on the economy and, in the case of positive results, to consider the possibility of gradually extending the scope of the Directive to fully cover all buildings, in particular to ensure that all existing residential buildings smaller than 1000 m2 are also covered by an obligation to bring energy efficiency standards of components (e.g	roof insulation, windows) up to current new-build standards when the component is undergoing renovation, taking as a basis similar initiatives already in place in Member States;
37	Urges the Commission, when Directive 2002/91/EC is next revised, to do more to encourage the use of passive or natural sources of lighting, cooling, and heating, and to propose that the scope of the Directive be extended to cover urban amenities and spaces other than buildings in the strict sense;
38	Stresses the considerable importance of National Energy Efficiency Action Plans and the need to make them widely known to the general public so that society, non-governmental organisations, industry and politicians can also play an influential role in drawing up and monitoring them;
39	Calls for a European buildings initiative which coordinates upgrading energy performance standards for new buildings and creates incentives to speed up the renovation of the existing building stock; considers that particular attention should be given to passive heating and cooling; considers also that in order to maximise economic efficiency, the initiative must also co-ordinate the efforts of architects, property developers, owners, local politicians and must include training for building managers;
40	Stresses that, along with the need to broaden the scope of Directive 2002/91/EC to include significant renovations of buildings of all sizes, there is a need to provide adequate financing to accelerate the renovation of building blocks with the highest savings potential; believes that where applicable, these projects should be combined with the renovation of the district heating systems supplying these buildings, but notes that, below a critical population threshold, district heating is not viable;
41	Believes that the refurbishment and modernisation of district heating systems, as well as co-generation, should be strongly supported by means of clear targets and incentives;
42	Urges that the buildings of the European institutions should comply with the highest standards in the field of energy efficiency so that these buildings become centres of innovation;
43	Believes that the Member States should play an exemplary role in applying compulsory energy efficiency measures in the public sector, inter alia by buying efficient vehicles when renewing public transport fleets and applying efficiency standards when carrying out major renovations in buildings including, for example, energy efficiency criteria in public works contracts; in this respect, welcomes the introduction of National Energy Efficiency Action Plans;
44	Considers that those Action Plans should, as far as possible, create framework, cost-effective, coherent and market-compatible conditions, subject to impact assessment; considers, moreover, that the Action Plans should be consistent with the role of each player in the energy market structure;
45	Welcomes public-private partnerships because they can deliver significant results; notes that by having the common objective of improving energy efficiency in the EU, the combined effect of the joined forces of the public and private sectors is greater than the sum of individual efforts (for example in information campaigns and dissemination of best practices);
46	Calls on the Commission to promote the creation of a free energy services market with the same treatment and transparency for all operators that could lead the energy companies to develop the alternative business of energy efficiency and to induce them to contribute greatly to consumption reductions;
47	Calls on the European institutions to set a positive example by limiting greenhouse gas emissions in their various activities, through enhanced energy efficiency in office buildings and for all equipment used, low carbon travel etc; believes that special efforts should be made in relation to the travel of Members of the European Parliament, implying a reconsideration of the multiple locations of the European Parliament, low-carbon vehicles for the drivers' service etc;
48	Calls on the Commission and the Member States to include a high level of energy efficiency among public procurement selection criteria;
49	Points out that energy service companies, through energy savings performance contracts, can provide the services required for building renovations relating to energy efficiency improvements without the need for initial investment by the contractor;
50	Considers that in the context of the revision of the Community guidelines on State aid for environmental protection, steps should be take to further encourage investment in energy efficiency measures;
51	Points out that EU regional policy funds could also be used to finance inter-regional projects providing know-how transfer to the Member States and regions lacking advanced technology development for energy efficiency;
