A	Having regard to the historical involvement of European countries in the Pacific region,
B	Whereas the majority of Pacific Island countries have only relatively recently become independent,,
C	Whereas the EU has a significant presence in the region by virtue of the Overseas Territories of New Caledonia, French Polynesia, Wallis and Futuna (France) and the Pitcairn Islands (UK),
D	Whereas the Nuclear Free and Independent Pacific Movement (NFIP) is campaigning for both the halting of all nuclear tests in the region and respect for the dignity of its indigenous peoples,
E	Whereas the EU is a substantial donor to the region, having granted in total, since the accession of the first Pacific Island countries to the first Lomé Convention in 1975, aid exceeding EUR 1,8 billion,
F	Having regard to the adoption of the Pacific Plan by the 16 member countries of the Pacific Islands Forum, which aims to strengthen regional cooperation and integration, focusing on economic growth, sustainable development, good governance and security through regionalism, and offers the opportunity to further EU-Pacific relations,
G	G Whereas the Pacific Island countries face significant problems arising from high population growth, an insufficient supply of skilled labour, low economic growth, ethnic tensions, socio-economic disparities, governance failures and the impact of global economic trends, giving cause for concern as to further increases in poverty and instability in the region,
H	Whereas the Pacific region possesses substantial natural resources, yet has very complicated land tenure systems which may in some cases be obstacles to development,
I	Whereas the Pacific ACP states are fully fledged democracies, except for Tonga, which is a constitutional monarchy,
1	Welcomes the initiative of the Commission to develop the first EU strategy for the Pacific after 30 years of cooperation, following on from the signature of the first Lomé Convention in 1975 and the Cotonou Agreement in June 2000;
2	Emphasises that, as a major donor to the region, the EU has an opportunity to create a strategy that will support the island countries of the Pacific in achieving the Millennium Development Goals (MDGs);
3	Emphasises the heterogeneity of the region and therefore calls for flexibility in the Commission strategy to ensure that development assistance is channelled according to national and regional priorities, thereby achieving maximum benefit for both the more developed and the less developed countries of the Pacific;
4	Endorses the Commission's view that enhanced political dialogue is needed with the Pacific Islands Forum, whose leaders have adopted a new agreement establishing the Forum as an intergovernmental organisation under international law; at the same time, emphasises that any increase in dialogue at regional level must also address the needs of the region's poorest countries;
5	Stresses that any strategy must adequately address the development needs of all the Pacific Island countries, especially the poorest, in order to support their efforts to achieve the MDGs;
6	Recognises that the Pacific region is endowed with an abundance of natural resources, especially fisheries, minerals and forests and that in many countries of the region, agriculture and tourism are the mainstays of the economy; stresses, therefore, that ecologically and economically sustainable development must be at the heart of any strategy relating to these key sectors; stresses that the exploitation of natural resources must contribute to income generation for the entire population of the Pacific Island countries and support poverty alleviation in particular;
7	Recognises the importance of EU financial assistance to encourage the development of local fisheries in the region, which are a major source of revenue for Pacific Island countries, and especially states with lower gross national incomes, such as Kiribati, the Marshall Islands, Micronesia and Tuvalu;
8	Stresses the importance of good management in the fisheries sector so as to discourage over-fishing and destructive fishing techniques and to prevent environmental hazards from destroying marine life, particularly in the case of tuna fisheries, in which the Pacific has one of the richest fishing grounds in the world;
9	Applauds the regional approach that the Pacific Island countries have taken to managing tuna fisheries in their region, and encourages the EU to negotiate any future tuna agreements with the entire region, rather than with individual States;
