A	whereas women and men are equal in terms of human dignity and rights and obligations,
B	whereas equal treatment of women and men is a principle that informs the legal system and as such must be taken into account and observed whenever laws are interpreted and enforced,
C	whereas considerable gaps between women and men persist in all other aspects of work quality, for instance reconciling professional and private life; whereas the employment rate for women with dependent children is only 62,4%, as compared with 91,4% for men; whereas 76,5% of part-time workers are women,
D	whereas the Lisbon Strategy aims to ensure that 60% of women able to work are in employment; whereas the quantitative and qualitative objectives of the Lisbon Strategy and the new Integrated Guidelines for Growth and Jobs(10) - especially where female and adult employment is concerned - are dictated by the realisation that, from the point of view of sustainability, it is intolerable to allow the resources in question and their potential go to waste, and that the stability of pension and welfare systems is in jeopardy,
E	whereas the principle of equal treatment of women and men implies that there must be no discrimination whatsoever, be it direct or indirect, based on gender, least of all on account of motherhood, the fact of shouldering family responsibilities, or marital status,
F	whereas the figures quoted in the above-mentioned Commission Communication of 12 October 2006 show that countries and regions with a high female employment rate that have social protection systems also have a higher birth rate,
G	whereas the three main challenges facing the EU – demographic change, globalisation, and climate change – demand intergenerational solidarity based on a wide-ranging pact not just between generations, but also between genders,
H	whereas the pact between gender and generations must be built on the possibility for individuals to organise their working and private lives and reconcile the economic imperatives of production entailed in gainful employment with the possibility of choosing what tasks to devote themselves to and when, within a context of rights and responsibilities laid down by legislation and agreements,
I	whereas intergenerational responsibility requires public authorities to adopt a proactive approach, and all social stakeholders to play a leading role, in order to guarantee high standards in services of general interest and provide for the necessary welfare and social security systems on a sufficient scale,
J	whereas the presence of women on the labour market is linked to cultural changes and reforms designed to give effect to policies making for a work-life balance and a redistribution of roles; whereas such policies cover a variety of fundamentally interconnected areas ranging from temporarily shorter working hours, to be achieved by converting employment contracts into part-time working contracts, and leave arrangements (maternity, paternity, parental, and family leave) to the network of personal care services,
K	whereas demographic changes are having a significant impact on people's personal and working lives; whereas inadequate services, low wage levels, delay in entering the labour market, lengthy successions of fixed-term contracts, and insufficient incentives for young women and men are among the reasons why they choose not to start a family and have children until later; whereas rigid working patterns and the difficulty of returning to the labour market after spending time as a carer make it difficult to enter freely into decisions, whether they are intended to achieve a work-life balance or involve alternation of work and family life,
L	whereas non-discrimination based on gender, relates, prima facie and as a general rule, not just to women/mothers but also to men/fathers; whereas political action in this field should no longer focus solely on women, and European and national policies should henceforth take into consideration the needs and abilities of men/fathers in this area,
