A	whereas the European Union has the highest quality and standards for food products in the world,
B	whereas these high standards are demanded by EU consumers and represent a means of maximising high added value,
C	whereas there is ever-increasing consumer interest not only in food safety but also in the origins and production methods of food products; whereas the European Union has already responded to this trend by introducing four food quality and origin marks, namely Protected Designation of Origin (PDO), Protected Geographical Indication (PGI), Traditional Speciality Guaranteed (TSG) and Organic Farming,
D	whereas European quality products constitute a living cultural and gastronomic heritage for the European Union, and are an essential component of economic and social activity in many EU regions, bolstering activities directly linked to local realities, especially in rural areas,
E	whereas consumers associate certification schemes with a guarantee of higher quality,
F	whereas the European Union's specific quality systems offer a specific competitive advantage for EU products,
G	whereas the big distributors now dominate EU food markets and are imposing listing fees, commercial entry charges or considerable and unjustified contributions to promotion expenses, all of these being elements which affect small producers' chances of reaching a wide public,
H	whereas new technologies can be employed for providing detailed information on the origins and characteristics of agricultural and food products,
I	whereas counterfeiting causes damage to both producers and end-consumers,
1	Welcomes the reflection process launched by the Commission on the Green Paper, and supports the criterion of promoting the quality of EU agricultural products while not generating additional costs or burdens for producers;
2	Believes that ensuring conditions of fair competition for strategic goods such as agricultural and food products should be a major EU objective of public interest; considers it vital that there should also be conditions of fair competition for imported products, which tend not to meet standards comparable to those governing Community products; believes that the EU's quality standards applicable to third-country products having access to the internal market also need to be laid down on the basis of agreement in the World Trade Organisation (WTO);
3	Considers it necessary to step up controls and coordination among the various authorities to ensure that imported food products meet EU environmental, food safety and animal welfare standards; notes the conclusions of the Agriculture Council of 19 December 2008 concerning the safety of imported agri-food products and compliance with Community standards, but points to the lack of resolute political will, in those conclusions, to strengthen Community controls in third countries;
4	Stresses that quality policy cannot be treated separately from the issue of the future of the CAP or from such challenges as climate change, the need to preserve biodiversity, energy supply and water resource management;
5	Believes that, in a context of generally high raw material prices, incentives to increase production should not be used as a pretext for reducing standards;
6	Reaffirms that the goal of higher food safety, animal welfare and environmental protection standards should be that of attaining a high level of product quality offering a strong competitive advantage to agricultural producers, and that agricultural producers must also be able to earn enough to cover the costs generated by EU food safety, animal welfare and environmental requirements; believes that, should the competitive advantage offered to agricultural producers not be sufficient to enable them to cover those costs, a key role needs to be played here by CAP funding, which farmers in Europe should use for ensuring safety, animal welfare and environmental protection in agriculture;
7	"Believes that EU quality policy should be closely linked to the post-2013 reform of the CAP; is of the view that the European Union's role in this policy should be supportive (including financial support) with a view to obtaining high-quality agricultural and food production in Europe; stresses that more support should be given to producers"" organisations, particularly with a view to not disadvantaging small producers;"
8	Points out that the European Union has undertaken, in the International Treaty on Plant Genetic Resources for Food and Agriculture, to carry out measures to conserve genetic resources; calls, therefore, on the Commission to create specific sales promotion programmes to encourage the use of plant varieties threatened with genetic erosion; stresses that this is intended to make it more attractive for farmers and horticulturalists to grow varieties listed as plant genetic resources, and that similar sales promotion programmes should be created for endangered breeds of farm animals;
9	Recalls that the ongoing liberalisation of world agricultural markets is exposing EU producers to direct international competition, and that any additional measures that have to be complied with may be detrimental to competition but may also play to the advantage of EU farmers if they are effectively able to distinguish their products in the market place and gain premiums in return; recalls also that EU farmers can turn consumer demands to their advantage by providing consumers with locally produced high-quality products, higher animal welfare and environmental standards, among others;
10	"Emphasises that in the WTO negotiations the Commission must seek to secure an agreement on the ""non-trade concerns"" which ensures that as many imported products as possible meet the same requirements as those imposed on EU farmers, so that the quality of agricultural products which meet EU requirements in the areas of food safety, animal welfare and environmental protection offers agricultural producers a strong competitive advantage;"
11	Is concerned at the influence of the big retail chains on the general quality level of EU food products, as well as at the trend on those markets characterised by a high levels of concentration of distribution towards standardisation and reduction of variety of agricultural and food products, in the wake of the declining presence of traditional products and a greater stress on processed products; suggests that the Commission take note of the need to regulate the reverse tendering practices imposed by a small number of bulk buyers, in view of their disastrous consequences for quality products;
12	Is concerned at the complexity of the EU system of basic standards and at the multiplicity of rules which farmers in the European Union have to comply with; favours a simplified system and calls for each new rule to be assessed in accordance with the criteria of suitability, necessity and proportionality;
13	"Calls for further simplification of marketing standards by clarifying the main criteria to be applied; calls for the development of EU guidelines on the use of general reserved terms, such as ""low in sugar"", ""low carbon"", ""dietary"" and ""natural"", in order to avoid misleading practices;"
14	Is concerned at the fact that the majority of EU consumers are not sufficiently well-informed concerning the food chain, especially as regards products' and raw materials' origins; advocates mandatory indication of place of production of primary products based on a country of origin label, reflecting consumer desire to know more about the origins of the product they are buying; believes such a system should also apply to processed food products and should provide information on the origins of the main ingredients and raw materials, specifying their place of origin as well as the place of final processing;
15	"Considers the Australian model to be an excellent example for such a system of labelling of the country of origin, while bearing in mind the specific characteristics of the European Union's various production sectors, in its defining of various different levels such as ""produced in"" (for food products produced locally with local ingredients), ""made in"" (for food products which have undergone substantial processing locally), or ""made in country X using local or imported ingredients""; recalls that similar labelling systems are used by other major trading partners such as the US and New Zealand;"
16	Considers that, provided food safety requirements are complied with, marketing standards should not have the effect of blocking market access for products on grounds of their appearance, shape or size;
17	"Takes the view that the use of the general EU quality label, bearing the words ""produced in the European Union"", must ultimately ensure that EU products stand out on the market, on the basis of the high quality standards governing their production;"
18	Considers that the optional reserved terms should be promoted as an alternative to compulsory marketing standards; considers, however, that the introduction of these uniform definitions satisfying all interested parties may encounter difficulties, bearing in mind the differences in dietary habits and traditions, with an increase in the amount of consumer information provided and the need to develop a system to monitor the use of these terms;
19	Advocates taking measures to simplify the EU rules, without this resulting in their dismantling, and to limit the scope for self-regulation; believes that common marketing standards are necessary and can be established in a more efficient manner; considers, in this connection, that joint regulation should be promoted as the usual means of adopting Community legislation in the field; calls for municipal authorities, food industry representatives and farmers' representatives to be involved in the process;
20	Underlines that food quality systems should provide information and offer a guarantee for consumers of the authenticity of local ingredients and production techniques; considers, therefore, that such schemes must be implemented and operated with reinforced controls and traceability systems;
21	Believes that there needs to be a more transparent labelling system enjoying broad consumer recognition, and that, in the interests of transparent labelling of origin, the provenance of essential product-defining agricultural ingredients should be shown both on EU products and on those imported from third countries;
22	Considers that the need to ensure the exclusive use of authentic PDO products as raw materials applies only where protected nomenclature is used for labelling and advertising a processed product; points out that this prevents consumers from being misled on the one hand, and stimulates demand for PDO products on the other;
23	Advocates the adoption of rules concerning the use of the terms 'mountain' and 'island' given the significant resulting added value for agricultural products and foodstuffs from these less-favoured areas; believes that use of the terms 'mountain' and 'island' must be accompanied by compulsory indication of the country of origin of the product;
24	Points out in this connection that, for the average consumer, the difference between PDO and PGI is not clear, and that an information campaign is needed to make consumers aware of that difference;
25	Opposes the adoption of stricter assessment criteria, such as exportability and sustainability; points out that there are a number of examples of products which, while not exportable, are of major importance in shaping the local economy and ensuring continued social cohesion;
26	Stresses that designations of origin constitute a crucial part of the European heritage which needs to be preserved because of its crucial economic power and because it has a key socio-economic impact on many EU regions; believes that they offer a guarantee of quality, which must be reinforced, particularly by stricter control over the management of designations of origin by the applicant groups representing them; considers that they help consumers in making their choice from the range of goods on offer;
27	Considers that there is a need to better explain the differences between trademarks and designation of origin and to take measures to enable the existing Community rules preventing registration of a trademark containing or referring to PDOs/PGIs by operators who do not represent the producer organisations of those PDOs/PGIs to be applied in practice; considers it vitally important to launch promotional campaigns, with their own budgets, to inform consumers on the benefits of those public sector certification systems;
28	Believes that, in the interests of preserving quality and maintaining the reputation of the geographical indications, producers of products bearing geographical indications should have instruments at their disposal to enable them to manage the volumes produced in a proper manner;
29	Considers that, where a product with a PGI is used in a compound cooked product and the characteristics of the PGI product are altered, the protecting bodies or competent authorities must be allowed to conduct specific checks aimed at ascertaining whether or not the characteristics of the PGI product have been altered excessively;
30	Advocates greater protection for registered nomenclature, in particular at certain stages of packaging and marketing outside the production area wherever there is a danger of such nomenclature being improperly used; calls for the Community rules prohibiting the registration of marks with a designation similar to that of a PDO or PGI that has already been registered to be enforced;
31	Advocates the introduction of common rules to enable producers of products bearing geographical indications to determine the conditions for applying those indications, also in relation to their use in the designation of processed products;
32	Favours simplifying the procedure for registering designations of origin and reducing the time required for obtaining them;
33	Stresses that the degree of protection of designations of origin varies between Member States; advocates legislative and procedural harmonisation in this field, especially for the rules on ex officio protection;
