A	whereas global warming and climate change are recognised as extremely serious threats,
B	whereas the effects of climate change will lead to significant environmental, economic and social impacts,
C	whereas, even if the world succeeds in limiting and reducing greenhouse gas emissions, it would still require significant adaptation efforts to deal with the unavoidable impacts,
D	whereas the target of halting global warming at +2°C would still mean a warming scenario for Europe, marked by extreme regional climate changes, and whereas the current pledges notified to the UNFCCC would add up to warming of +3.5-4°C if implemented,
E	whereas the impacts of climate change will affect European regions in different ways, with different degrees of severity and in different timeframes,
F	whereas, as pointed out in the Commission's White Paper, adaptation will require solidarity among EU Member States towards disadvantaged regions and regions most affected by climate change,
G	whereas southern Europe and the Mediterranean basin are two particularly vulnerable areas of Europe which are already coping with water scarcity, droughts and forest fires, and whereas recent research indicates that a decrease of up to 25% in crop yield production by 2080 is to be expected in southern Europe(8),
H	whereas, according to the European Respiratory Society, for every Celsius degree increase in temperature over a given city-specific threshold, mortality amongst those with respiratory problems increases by 6%,
I	whereas the section headed ‘External dimension and ongoing work under the UNFCCC’ in the White Paper is an important one and the EU needs to speak with one voice in order to resume the leading role in the fight against climate change, helping to create a new ‘climate diplomacy’, as called for in the European Parliament resolution of 10 February 2010 on the outcome of the Copenhagen Conference,
J	whereas the impacts of climate change on the economy, society and the wider environment will be most severely felt in an indirect manner, through the degradation of the ecosystem services fundamental to human well-being, and whereas this requires the protection of ecosystems to be the foundation of an EU adaptation strategy,
K	whereas rising average temperatures reduce demand for oil and gas for heating purposes, but whereas at the same time the number of days on which cooling is needed increases, which can increase demand for electricity,
L	whereas the existing European legislation directly addressing environmental issues should provide coherent foundations for enhancing the EU's ability to cope with the impact of climate change,
M	whereas action taken at European level should set and meet the highest standards in terms of respect for the environment, in both the short and long term (including adaptation to climate change),
1	Welcomes the above-mentioned White Paper;
2	Agrees with the objective of the proposed EU Adaptation Framework, i.e	to improve the EU's resilience in dealing with the impact of climate change;
3	Especially welcomes the White Paper's emphasis on increasing the resilience of all ecosystems as an essential defence against the impacts of climate change; further stresses that natural ecosystems are the Earth's most important carbon sinks, sequestering 50% of global annual greenhouse gas emissions and contributing to both mitigation and adaptation;
4	Highlights the importance of establishing national adaptation plans based on a common European framework enabling the Member States to plan and communicate their adaptation efforts; considers that such plans need to include risk and hazard maps showing infrastructure and installations that could pose a risk to the environment or to public health should adverse weather events occur; calls for such information to be made available to the public and the other Member States;
5	Highlights the importance of mainstreaming adaptation into all EU policies, particularly the common agricultural and fisheries policies, forestry policy and cohesion policy, and into legislation on environmental impact assessment, planning permission and building standards, (and of ensuring the coherence of such measures by means of a horizontal, cross-sectoral approach based on ecosystem resilience;
6	Emphasises that the main areas of action identified in the White Paper should be further prioritised according to the timeframe in which different consequences are expected to occur in Europe, in order to channel the available resources more effectively;
7	Shares the Commission's view that more knowledge on climate change impacts is needed, so that the information resulting from research can be disseminated in the widest possible scope and, consequently, appropriate adaptation measures can be developed;
8	Calls on the Commission not only to develop a knowledge base about the impact of climate change with specific reference to the European Union, but also to pass on that knowledge to developing and industrialising countries so that they can use it in order to devise their own responses to the problem of climate change and make effective use of funding for climate protection measures;
9	Emphasises that research efforts should be strengthened, within the framework of the current Seventh Framework Programme and future research framework programmes, in order to address existing knowledge gaps in relation to hazards (past and likely future weather-related disasters) and other relevant factors such as socio-economic developments (current and future geographical distribution of assets at risk) in specific places and at specific times, and to develop modalities and techniques for assessing the costs and benefits of measures for adaptation to the impacts of climate change and their respective contribution to reducing exposure or vulnerability to climatic risks, and that priority should be given to conducting research and financing technological development in states incurring high adaptation costs;
