A	whereas the European Union currently comprises 27 Member States and 271 regions,
B	whereas around 37,5% of Europe's population lives in border regions,
C	whereas informal cooperation arrangements, the Euroregions, the Eurodistricts, the EGTCs, Council of Europe initiatives, the successive Treaties and the EU's secondary legislation have all contributed to establishing stronger and more sustainable links between territories,
D	whereas, although the foundations for territorial cooperation have been laid, many challenges still remain, the nature of which depends on the history and degree of maturity of cooperation arrangements,
E	whereas, having ‘abolished’ borders in the Treaties, what matters is lessening their impact on our people's daily lives,
F	whereas regional policy aims to promote the harmonious development of regions by strengthening economic, social and territorial cohesion in the European Union,
G	whereas the ‘Territorial Cooperation’ objective, one of the components of cohesion policy, contributes to ‘ever closer union among the peoples of Europe’ by reducing the barriers between territories and regions,
H	whereas, at the EU's external borders, the territorial cooperation objective is one aspect of the pre-accession process and of the implementation of neighbourhood policy, and whereas, consequently, coordination of the relevant Community arrangements must be improved,
I	whereas territorial cooperation, i.e	cooperation between the inhabitants of different regions, is an ongoing learning process which creates a feeling of community and of having a shared future,
J	whereas citizens must be placed at the centre of the priorities of territorial cooperation, and therefore a place-based approach should be advocated,
K	whereas closer territorial cooperation is dependent on progress made with European integration and coordination in all fields that contributes to European integration and territorial cohesion, and whereas territorial cooperation in itself is a testbed for European integration,
L	whereas only few investments take place in trans-European transport networks (TEN) in border regions, although it is precisely at the cross-border interfaces that modernisation is urgently required, and where it sees an instance of classic European added value in the removal of cross-border infrastructure barriers,
M	whereas the basic regulation governing the Structural Funds and the entry into force of the Lisbon Treaty have considerably increased the importance accorded to territorial cooperation,
N	whereas the ex-post evaluation of the INTERREG III programmes for the 2000-2006 programming period offers conclusive proof of the added value of this objective for the European project,
1	Points out that territorial cooperation aims to help territories and regions to work together in tackling their common challenges, to reduce the physical, cultural, administrative and regulatory barriers to such cooperation and to lessen the ‘border effect’;
2	Is convinced of the European added value of territorial cooperation and the key role it plays in deepening the internal market and fostering closer European integration in several sectoral policies, and calls for territorial cooperation to remain one of the pillars of cohesion policy;
3	Stresses that the objective of territorial cooperation, based on the principle of economic, social and territorial cohesion, concerns all the EU's regions in that it helps to promote the harmonious development of the Union as a whole;
4	Believes that territorial cooperation has proved its effectiveness and that its potential as a source of competitiveness has so far been insufficiently tapped as a result of the inadequate resources allocated to it; calls for the budget for the ‘territorial cooperation’ objective to increase from 2,5% in the current programming period to at least 7% of the overall cohesion policy budget for the next programming period;
5	Advocates retaining the current structure of Objective 3, which is divided into three components (cross-border (component A), transnational (component B) and interregional (component C)), and the current emphasis on the cross-border component, which receives at least 70% of the territorial cooperation budget; notes that there should be a fair and equitable distribution of funds under the programme for all regions;
6	Considers that, if a distinction should continue to be made between the cross-border component (component A), which meets the local needs of cross-border population catchment areas, and the transnational component (component B), including the so-called macroregional scale, which facilitates cooperation over wider strategic areas, better coordination between the two components is needed;
7	Calls furthermore – with a view to ensuring the coherence and continuity of territorial cooperation measures and given the strategic nature of the projects in question – for greater flexibility in exploiting the scope offered by Article 21 of the ERDF Regulation with regard to the location of cross-border and transnational cooperation activities, incorporating maritime regions; to that end, calls for a certain flexibility in the application of the geographical limit of 150 km set for cross-border cooperation programmes for coastal and maritime regions;
8	Considers, nonetheless, that the integration of such regions with and their opening up to geographical areas outside the EU is not and cannot be simply a function of their geographical remoteness, as the wealth of historical, linguistic and cultural bonds linking them to various parts of the world gives them a key role to play in the deepening of such relations, to the benefit of the EU's global presence;
9	Underlines the crucial role of territorial cooperation in delivering the EU2020 objectives; calls for forward thinking to ascertain the strategic needs of each border region and area of cooperation in connection with this strategy, and, subsequently, for European territorial cooperation to be integrated in, and tailored to, all levels of strategic planning: European, national, regional and local; urges the Commission to clarify, without delay, its proposals on the thematic concentration of funds, with reference to an EU 2020 ‘thematic menu’;
10	Calls for funds to be allocated for each programme of territorial cooperation on the basis of harmonised criteria so as to provide a strategic, integrated response to the needs and specificities of each territory or area involved; invites in this respect the Commission and the Member States to consider other relevant, strategic and measurable criteria that could reflect the needs of territories without undermining the most important criterion: demography;
11	Stresses once again the importance of interregional cooperation (component C), but deplores the lack of funds allocated to it; suggests, therefore, a reconsideration of the EU cofinancing rate limit of this component, devoting attention also to its capacity to act as an incentive, for participants from the regions covered by the ‘competitiveness and employment’ objective in order to raise the number of projects in this component C, and calls for the thematic areas of cooperation to be widened to encompass governance and management of operational programmes as well as territorial development;
12	Encourages also regions to make better use of the scope for interregional cooperation offered within their operational programmes by the basic regulation(13); advocates, therefore, that the ‘interregional’ component of Objective 3 should also cover the coordination and running of such projects, the pooling of know-how and the exchange of good practices;
13	Stresses, for the future territorial cooperation operational programmes, the importance of the support of INTERACT and the capacity for successful assistance schemes, which could draw inspiration from the RC LACE project; calls for more effective coordination between INTERACT, URBACT, ESPON and component C, with a view to better implementing Objective 3;
14	Supports ESPON in its activities but suggests that opportunities for active involvement in its research into territorial development matters should be made more accessible to local and regional authorities while easier practical deployment of the resulting findings should be assured;
15	Welcomes the success of the URBACT sustainable urban development programme and calls for its renewal and expansion into a significant and widely accessible initiative to offer opportunities for shared learning and transferability with regard to local urban challenges;
16	Invites the Commission to look into ways of involving local and regional councillors in these Europe-wide networks for the exchange of experiences and good practices, as a first step to implement the Erasmus project for local and regional elected representatives;
17	Reiterates that involving sub-national actors in the achievement of the EU objectives is a precondition to effectively implement territorial cohesion;
18	Believes that the mainstreaming of the ‘territorial cooperation’ objective with the ‘convergence’ and ‘competitiveness and employment’ objectives is needed; calls for the programming to be better coordinated than it has been before; suggests that regional operational programmes should have the option to take an interest and participate in the cross-border, transnational and interregional projects that concern them by defining a territorial approach to the allocation of funding, for the benefit of priority projects, like the connection to the trans-European networks in border regions, identified in advance and in consultation with their partners in the programmes, in accordance with the principles of multi-level governance and partnership, which will allow better exploitation of the potential of territorial cooperation thanks to the relations developed among private and public actors across borders;
19	Encourages the Member States and regions to set up multi-regional operational programmes to address common territorial problems; such as the presence of a mountain range or a river basin which characterises the territory;
20	Encourages the Commission and Member States to promote the coordination of policies in cross-border regions and the labour market, so as to ensure that issues of distortion of competition do not arise within the framework of economic and territorial integration;
