A	whereas access to justice is a fundamental right,
B	whereas an area of freedom, security and justice, as laid down in the Treaties, must meet the needs of citizens and businesses, for example by creating simpler and clearer procedures, whilst enhancing access to justice,
C	whereas the objectives of the judicial process and of alternative means of dispute settlement are closely linked and seek to swiftly restore legal peace between parties in dispute, suitably safeguard individuals' substantive rights and settle disputes between parties,
D	whereas alternative dispute resolution (ADR), which helps parties avoid traditional adjudicative procedures, is capable of constituting a quick and cost-effective alternative to litigation,
E	whereas ADR is a mechanism for reaching out-of-court settlements by helping consumers and traders to resolve conflicts through the intervention of a third party (mediator or arbitrator),
F	whereas in many countries the public authorities – including ombudsmen and regulatory authorities – play an important role in encouraging the resolution of disputes,
G	whereas by strengthening citizens' confidence in the internal market, trust in the enforcement of rights in cross-border disputes can make a contribution towards stimulating the EU economy,
H	whereas the EU citizen's knowledge and understanding of ADR schemes throughout Europe is low and confused, with only a small percentage of citizens knowing how to file a claim with an ADR body,
I	whereas it is important to assure better publicising of the existence of ADR mechanisms and to do more to encourage consumers and professionals to use them as an alternative to court proceedings, in order to make it possible to avoid a confrontational approach and offer the prospect of a win-win situation,
J	whereas a balanced approach has to be sought which takes into consideration both the flexibility of ADR systems on the one hand and the need to ensure consumer protection and fair procedures on the other,
K	whereas Parliament has repeatedly called for further efforts to develop ADR; whereas it has called on the Commission in its resolution of 6 April 2011 on governance and partnership in the single market to submit a legislative proposal on the use of alternative dispute resolution in the EU by the end of 2011,
L	whereas the Commission has included a legislative proposal on ADR, in its Work Programme 2011 as a strategic initiative and in its communication of 13 April 2011 on a ‘Single Market Act’, as one of the twelve levers to boost growth and strengthen confidence, with the aim of consumer empowerment,
M	whereas the deadline for the implementation of Directive 2008/52/EC expired on 21 May 2011,
1	Welcomes the recent Commission consultation on ADR which, despite its wide-ranging title, is exclusively targeted at consumer transactions;
2	Believes, however, that ADR forms part of a general ‘justice-for-growth’ agenda across sectors; takes the view that any approach to ADR should go beyond consumer disputes so as to include business-to-business (B2B) civil and commercial transactions, irrespective of whether they are carried out between private or public undertakings, family disputes, defamation cases and other general interest disputes or ones involving parties with different legal statuses;
3	Welcomes the fact that Directive 2008/52/EC has harmonised some standards for mediation; emphasises that common terms need to be defined and procedural guarantees maintained in all areas of ADR; feels the need to revisit the 1998 and 2001 Commission recommendations and the Code of Conduct;
4	Considers that, whilst self-regulation remains important, legislative action setting out minimum standards upon which ADR schemes may be based is necessary in order to provide a framework for ADR within Member States' legal orders, as shown by the example of Directive 2008/52/EC; stresses that any such framework should be careful not to limit diversity in the field of ADR as there is no ‘one size fits all’ solution that could tackle the variety of problems that arise in different legal sectors;
5	Emphasises the need for better understanding of the many different types of mechanisms and processes (including the activities of public authorities such as ombudsmen) that are often collectively referred to as ADR; considers that while there is considerable commonality among the techniques of negotiation and dispute facilitation that are commonly to be found in ADR systems, nevertheless the structure and architecture of ADR differs considerably between Member States;
6	Considers that legislative measures adopted at EU level will facilitate the implementation of ADR and encourage  natural and legal persons to use it more often, especially in relation to cross-border disputes, bearing in mind that judicial procedures for resolving such disputes are more complex, expensive and lengthy;
7	In this context, calls on the Commission to submit a legislative proposal on the use of alternative dispute resolution for consumer matters in the EU by the end of 2011 and emphasises the importance of its swift adoption;
8	Believes that ADR standards should include: adherence to/agreement on ADR; independence, transparency, effectiveness, fairness, impartiality and confidentiality; effects on limitation and prescription; enforceability of agreements resulting from ADR; qualification of third parties;
9	Takes the view that ADR bodies should be monitored and assessed regularly by independent evaluators;
10	In order not to prejudice access to justice, rejects any wholesale imposition of a mandatory system of ADR at EU level, but suggests that a mandatory system of referral of the parties to consider possibilities of ADR could be examined;
11	Notes the example of Italian ‘joint conciliation’ as a possible best practice model based on a protocol agreed and signed by the company and the consumer associations requiring the company to agree in advance to ADR in order to resolve any disputes which arise in the area covered by the protocol;
12	Stresses that any ADR clause should not hamper access to justice, in particular on the part of the weaker party, which, in certain circumstances, may also be an SME, and therefore considers, to this extent, that ADR decisions may be binding only with the explicit agreement of the parties involved;
13	Takes the view that an obligation to disclose circumstances that affect the third party's independence or that give rise to a conflict of interests and a duty to serve all parties equally, as laid down in the Code of Conduct, should apply to ADR in general;
14	Calls for an obligation for the parties involved and, where appropriate, a third party, as contained in the Code of Conduct, to keep ADR information confidential; is also considering, where applicable, more far-reaching measures, such as creating a professional privilege, in parallel with that provided for in Article 7 of Directive 2008/52/EC;
15	Notes, however, that whilst respect for the confidentiality of personal data is important, there should also be a level of transparency guaranteed in the ADR process, allowing Member States and ADR bodies to identify and share best practices, and allowing independent regulators the opportunity to scrutinise the procedure in cases where complaints have been made;
16	Believes that not only mediation but ADR in general (Article 8 of Directive 2008/52/EC) should have an effect on limitation and prescription periods; acknowledges the risk posed by the many forms of ADR and the risk of abusive delay of court proceedings; notes that the feasibility study on European Contract Law(11) provides for a suspension of prescription in the case of arbitration and mediation proceedings, and in certain other ADR situations; calls upon the Commission to continue work on this;
17	Is convinced that speedy and inexpensive enforcement of agreements resulting from ADR is indispensable, including cross-border; calls for legislative measures to this end;
18	Recalls that specific training for third-party neutrals is essential; calls on the Commission to assemble data on the required type and extent of training, and to assist the sectors in developing training and quality-control schemes;
19	Supports the Commission's intention of encouraging the use of alternative means of dispute resolution that are accessible, swift, effective and cheap and apt to enable the establishment and maintenance of quality and trust-based commercial, economic, social and neighbourhood relations and to contribute to a high level of consumer protection in a ‘win-win’ situation, with benefits for both sides as compared to current judicial practice;
