A	whereas the EU failed to achieve its 2010 biodiversity target;
B	whereas the United Nations has declared 2010-2020 the Decade on Biodiversity;
C	whereas biodiversity is essential to the existence of human life and the well-being of societies, both directly and indirectly through the ecosystem services it provides – for example, the benefits generated by the European Union's Natura 2000 network of protected areas alone are estimated to be worth EUR 200-300 billion, with a total of about 4.5 to 8 million full-time equivalent jobs being supported directly from visitor expenditure in and around these sites;
D	whereas biodiversity loss is currently reducing global GDP by 3 % each year;
E	whereas nearly 65 % of the habitat types and 52 % of the species listed in the Annexes to the Habitats Directive have an unfavourable conservation status;
F	whereas 88 % of fish stocks have been fished beyond their maximum sustainable yield;
G	whereas the EU's borders have already been breached by more than 11 000 alien species, at least 15 % of which are invasive and detrimental to biodiversity;
H	whereas farmers play a vital role in achieving the EU's biodiversity objectives; whereas in 1992 initial impetus was given to incorporating biodiversity protection into the common agricultural policy (CAP), and whereas the 2003 reform subsequently introduced measures such as cross-compliance, the single farm payment (decoupling) and rural development, which have benefits for biodiversity;
I	whereas payment for ecosystem services (PES) is a promising, innovative financial tool for biodiversity conservation;
J	whereas habitats and species are threatened by climate change; whereas nature conservation and biodiversity are crucial to the mitigation of, and adaptation to, climate change;
1	Deplores the fact that the EU failed to meet its 2010 biodiversity target;
2	Welcomes and supports the EU Biodiversity Strategy to 2020, including all its targets and actions; takes the view, nevertheless, that some actions may have to be strengthened and specified more clearly, and that more concrete measures should be deployed in order to ensure effective implementation of the strategy;
3	Stresses the urgent need for action, and the need to give higher political priority to biodiversity in order to meet the EU's 2020 headline target for biodiversity and global biodiversity commitments; emphasises that, with adequate financial resources and political will, the tools exist to halt the loss of biodiversity; emphasises that the preservation of biodiversity is a collective challenge that should be addressed with the commitment and participation of numerous interested parties:
4	Welcomes the Commission communication on Biodiversity 2020, and Notes that climate change, biodiversity loss, threats from invasive species and overconsumption of natural resources are transnational and transregional challenges which affect every EU citizen, whether living in an urban or a rural area, and that urgent action is needed at every level of government – local, regional and national – in order to mitigate these effects;
5	Invites the Member States, therefore, to integrate the strategy into their plans, programmes and/or national strategies;
6	Takes the view that the biodiversity safeguards contained in existing EU law must not be weakened;
7	Stresses that the new strategy must not fail as well; calls on the Commission, therefore, to provide Parliament with two-yearly progress reports in which the Council and Commission elaborate on the state of play;
8	Emphasises that the real test of the EU's commitment to achieving the biodiversity target – and the real key to this issue – is not the new strategy, but rather the forthcoming reforms of the common agricultural and fisheries policies and the Multiannual Financial Framework; points out, further, that the inadequate degree to which biodiversity protection was integrated into other EU policies caused the failure of the first strategy;
9	Takes the view that the difficulties encountered in meeting the target set for 2010 call for an in-depth review of the methods applied to date; maintains that strategic studies covering all the factors that may affect protected areas must be carried out, and that these studies should be incorporated into urban planning and be accompanied by educational and information campaigns on the importance of local natural resources and their conservation;
10	Stresses that biodiversity loss refers not only to species and habitats but also to genetic diversity; calls on the Commission to develop a strategy for the conservation of genetic diversity;
11	Notes that our natural heritage is a major ecological asset which is fundamental to human well-being; takes the view that all Member States should cooperate and coordinate their efforts in order to ensure more effective use of natural resources and avoid net losses in terms of biodiversity and ecosystem services in both rural and urbanised areas;
12	Highlights the importance of mainstreaming biodiversity protection and conservation in the development, implementation and funding of all other EU policies – including those on agriculture, forestry, fisheries, regional development and cohesion, energy, industry, transport, tourism, development cooperation, research and innovation – in order to make the EU's sectoral and budgetary policies more coherent and ensure that it honours its binding commitments on biodiversity protection;
13	Underlines that the EU Biodiversity Strategy should be fully integrated into the strategies for the mitigation of, and adaption to, climate change;
