A	whereas the promotion and protection of consumers and their rights are core Union values;
B	whereas consumers play a key role in the economy since consumption is one of the main drivers of growth in the Union;
C	whereas EU citizens have a crucial role to play as consumers in achieving the Europe 2020 goals of smart, inclusive and sustainable growth, and the role of the consumer should accordingly be recognised as part of the EU's economic policy;
D	whereas the Union has the objectives of achieving a high level of consumer awareness, empowerment and protection as well as striking the right balance as regards the competitiveness of the Union's businesses and economies, notably by protecting consumers' health and safety and economic interests, as well as promoting their rights to information, education and organisation;
E	whereas consumers do not form one single homogeneous group, and the resultant variables need to be addressed in the European Consumer Agenda, as there are considerable differences among consumers in terms of consumer skills, awareness of legislation, assertiveness and willingness to seek redress; whereas non-discrimination and accessibility need to be taken into consideration when implementing the European Consumer Agenda;
F	whereas it is necessary to boost consumers' confidence, trust in the market and knowledge of their rights, with a special focus on vulnerable consumer groups such as children, older people and other consumers in situations of vulnerability; whereas in this respect it is essential to offer consumers in the Union better protection vis-à-vis products and services which may endanger their health or safety;
G	whereas ‘pertinent and adequate information’ means information that is easily accessible, transparent, not misleading and comparable;
H	whereas achieving a properly functioning internal market is consistent with the Lisbon Strategy goals of boosting growth and employment in order to serve the EU's 500 million consumers;
I	whereas e-commerce is extremely useful for all consumers, given its huge cross-border potential, which allows consumers to benefit from the single market to the fullest; whereas e-commerce is also, as a means of inclusion, extremely useful for consumers with disabilities or reduced mobility and those living in rural areas with geographical handicaps;
J	whereas uncertainty over consumers' rights in regard to cross-border purchases is undermining the benefits of market integration;
K	whereas the development of e-commerce is slowed down by the still existing digital divide among Union citizens, particularly in the case of older people; whereas most public and private websites are still inaccessible for persons with disabilities or lower digital literacy;
L	whereas fragmentation of the digital single market jeopardises the rights of consumers; whereas some websites are not suitable for cross-border shoppers and consumers; whereas the Directive on Alternative Dispute Resolution (ADR) and the Regulation on Online Dispute Resolution (ODR) will soon enter into force and provide useful tools for consumers, in particular for cross-border transactions; whereas appropriate mechanisms for bringing effective collective actions merit further consideration;
M	whereas the recent financial crisis has underlined the strong need for consumers to be protected and informed in the area of financial and banking services, since such products could have a direct impact on their global welfare, as well as the need for more impartial advice for consumers;
N	whereas the European Consumer Agenda sets out Union consumer policy mainstreaming measures designed to achieve the Europe 2020 Strategy objectives;
O	whereas the current economic crisis also seriously affects the purchasing power of consumers in the single market, in particular that of consumers in vulnerable situations resulting from their social or financial circumstances; whereas, consequently, consumer's rights should be recognised to the necessary degree;
P	whereas the single market provides access for Union consumers to a broad range of high- quality products and services sold at competitive prices; whereas the production of environment-friendly goods and the provision of environment-friendly services encourages responsible consumption, thus stimulating sustainable development, employment and economic growth; whereas the Commission should address and study new forms of consumption such as collaborative consumption;
Q	whereas necessary adjustments will have to be introduced as technical and scientific knowledge advances, with regard to both food safety and safety of other basic consumer products;
R	whereas there is a need to strengthen the role of consumer associations in all areas by adopting the necessary legal and economic measures, and to support them with capacity- building; whereas consumer associations play an unique role in guaranteeing confidence in and the development of the single market;
S	whereas passengers are not sufficiently informed about their rights and the quality of service they are entitled to expect, and legal claims by passengers are often difficult to lodge and enforce; whereas guidelines are necessary to facilitate and improve the application of the different passenger rights regulations across all transport modes; whereas, in its upcoming revision of the Package Travel Directive, the Commission needs to fully examine the impact of e-commerce and digital markets on consumer behaviour within the European tourism industry;
T	whereas the existing EU legislation offers basic protection of passengers in all transport modes, but for some of these passenger rights application, monitoring and enforcement are not properly ensured in all modes and in all parts of the Union, a fact which impedes free movement within the single market, since it affects the confidence of citizens when travelling and undermines fair competition among carriers;
U	whereas passengers need to be able to clearly differentiate between non-optional operational costs included in fares and bookable optional items, in the context of computerised reservation systems governed by Regulation (EC) No 1008/2008 on common rules for the operation of air services in the Community (Recast)(26), since this will increase price transparency for consumers booking tickets on the internet;
V	whereas the four main objectives set out in the Commission's communication on a European Consumer Agenda are: 1) reinforcing consumer safety; 2) enhancing knowledge; 3) stepping up enforcement and securing redress; and 4) aligning rights and key policies to changes in society and the economy; whereas the European Parliament and the national parliaments should facilitate the swift and effective transposition of consumer protection legislation;
W	whereas the Union has set targets for reducing CO2 emissions with the aim of achieving the 2020 objectives and ensuring that the bulk of energy supply is obtained from renewable energies by 2050;
X	whereas the proposals that are drawn up need to be consistent with the four major objectives set;
1	Welcomes the holistic approach of the European Consumer Agenda, and in particular the fact that it covers almost all important policy areas for consumers and thus sends out a strong signal on boosting the role and importance of consumers' safety and rights in the single market and on strengthening consumer associations; stresses, however, that this must also be reflected in legislative and other proposals by the Commission;
2	Welcomes the Commission's willingness to cooperate with traders and intermediaries to promote corporate social responsibility initiatives which promote consumer safety; believes that the Commission should be in constant dialogue with the private sector so that initiatives are accepted and applied in reality;
3	Calls for consumers to be able to exercise their rights easily and effectively in basic areas including food, health, energy, financial and digital services, access to broadband, data protection, transport, and telecommunications;
4	Calls on the Commission to closely cooperate with national governments when introducing the Union-wide campaign to increase knowledge about consumer rights and interests; emphasises that it is important for the success of this campaign that not only the public sector and consumer protection organisations are included in the process, but also the private sector;
5	Believes that it is necessary to promote e-platforms, such as the European Enterprise Support Network and the website Your Europe, which contribute to the development of the single European market and provide important information for consumers and small and medium-sized enterprises;
6	Calls on the Commission to present a proposal on how to improve citizens' knowledge of the financial sector, so that people have the necessary information before deciding to obtain a loan; believes that special attention should be paid to the younger generation and to educating society concerning short-term credit loans;
7	Stresses that educating consumers reduces their risks vis-à-vis dangerous or counterfeit products, speculative financial products and misleading advertising; takes the view that education (including financial education) and empowerment of consumers need to be lifelong, and should begin at school; emphasises the need to avoid information overload, and stresses instead the need to reduce knowledge deficits and to improve consumer awareness through reliable, clear, comparable and targeted information;
8	Stresses that for consumers to fully enjoy their rights, the role and education of enterprises must not be forgotten; believes that a good knowledge of consumer rights within enterprises is essential with a view to achieving full implementation of the existing consumer protection legislation; calls on the Commission and the Member States to take the necessary measures to that end, focusing on small and medium-sized enterprises;
9	Emphasises that, according to the findings of various surveys, consumers are concerned on a long-term basis about possible differences in the quality of products with the same brand and packaging which are distributed in the single market; considers that consumers in different Member States do not enjoy access to the same level of quality when buying products with the same brand and packaging in the single market; stresses that discrimination between consumers in any form is unacceptable;
10	Calls on the Commission to carry out a meaningful investigation into this issue that would make it possible to evaluate whether there is a need for adjustment of existing Union legislation; calls on the Commission to inform the European Parliament and consumers on the outcome of the investigation;
11	Calls on the Commission to establish updated and standard rules that guarantee the safety and authenticity of products; hopes, at all events, that the proposal amending Directive 2001/95/EC on general product safety will guarantee a high level of safety of consumer products;
12	Welcomes the Commission's proposal to introduce a legal framework for product safety; stresses, in this context, the importance of effective market surveillance as there are still unsafe products, including CE-labelled products, on the single European market;
13	Calls for consumers to be able to benefit safely from advances in science and technology and to have access to information, impartial advice and the tools required for fair and effective redress;
14	Calls on the Member States and the Commission to promote initiatives which aim to translate the results of scientific advances, technological developments and other innovations into benefits for consumers, with due regard to consumer product safety legislation;
15	Calls for adequate consumer protection and product safety in the markets for consumer goods produced using nanotechnology or genetically modified organisms;
16	Stresses on the need to guarantee the independence and transparency of scientific expertise and regulatory opinion, in particular in the field of health, environment and food policies, in order to ensure the highest level of health protection and confidence among consumers;
