A	whereas the Commission has identified the shortcomings of Europe's transport innovation system;
B	whereas investment in research and innovation in the transport sector is simultaneously an investment in the economy and in job creation, and can therefore have a three-pronged effect;
C	whereas innovation is essential in order to create a smarter, safer and more intelligent transport system for the public, meet the environmental challenges facing the transport sector and achieve a low-carbon economy;
D	whereas the Europe 2020 strategy's climate change and energy targets are closely linked to transport innovation: 20 % fewer greenhouse gas emissions than in 1990, 20 % of energy from renewables and a 20 % increase in energy efficiency, as well as the target of 50 % fewer deaths in road accidents than in 2001;
E	whereas there will need to be a real change in users' attitudes, and in the standards they demand, if a large number of businesses and service providers are to be persuaded to shift their paradigms and to exploit the innovation opportunities offered by the creative convergence and out-of-the-box thinking described in point 5.3 of the Commission communication COM(2012)0501;
F	whereas the initiatives set out in the White Paper on transport are welcomed, particularly those mentioned in section 3.2 (entitled ‘Innovating for the future – technology and behaviour’), along with initiatives 7 (‘Multimodal transport of goods: e-freight’) and 22 (‘Seamless door-to-door mobility’);
G	whereas Europe's strategy must ensure that a balance is struck between efforts to reduce the environmental imprint of transport and efforts to ensure freedom of movement in the European Union in order to achieve a single European transport area that is intermodal, interconnected, integrated and effective in its use of resources;
H	whereas in 2012 more than 31 000 people were still killed and more than 1 500 000 injured – in some cases seriously – in road accidents in the European Union;
I	whereas technologies that will help attain the objectives of the ‘European transport safety area’ are already available but have not yet been placed on the market;
1	Emphasises that a European transport-technology strategy for Europe's future sustainable mobility should first and foremost promote quality of service, the convenience of passengers and businesses, and sustainable mobility, and should be based on the Union's targets and legislation regarding the reduction of energy consumption, traffic noise, air pollutants, raw materials and greenhouse gas emissions up to 2020, 2030 and 2050, as well as improving health and quality of life, increasing the quality of services, providing increasingly customised solutions geared ever more closely to users' needs, and enhancing safety and security;
2	Calls on the Commission and Council, in view of the importance of research and innovation (R&I) to the whole European economy, to recognise the importance of the Horizon 2020 initiative and to finance it adequately;
3	Confirms the Commission's objective of better aligning transport R&I with European transport policy goals and roadmaps for each field, but believes that the approach proposed in the Commission's communication needs to be adjusted according to the priorities defined hereinafter;
4	Believes that European strategy in the field of transport technologies should cover all regions of the EU in order to ensure the efficient circulation of people and goods, and hence the creation of a genuine European single market;
5	Believes that more efficient, coherent and targeted use of R&I in the setting and implementation of transport policy is key to being able to respond to new realities, break away from conventional thinking and focus on pioneering ideas, and thereby be able to provide users with innovative transport solutions that meet the needs, and fulfil the requirements, of availability, profitability, credibility, quality and continuity;
6	Encourages the Commission to create a framework favourable to R&I by creating fair, efficient and innovative pricing systems for all mobility and transport modes, particularly through the internalisation of external costs, taking into account the ‘polluter pays’ and ‘user pays’ principles;
7	Points to the usefulness of the Commission's proposed Transport Research and Innovation Monitoring and Information System (TRIMIS) and maintains that the user's perspective be incorporated into it, as it would offers an ideal means of detecting the barriers to innovation created by force of habit, of identifying opportunities and of encouraging the spread of new service possibilities to spur and promote changes in social attitudes to sustainable transport;
8	Stresses that technology lock-in is liable to prevent the full potential of transport innovation from being reached and can hamper the development of new innovative ideas; considers, therefore, that Union policies should be technologically neutral with regard to alternative technologies for transport (‘technology neutrality’), with priorities and funding being decided on the basis of results over the entire life-cycle of technologies used in specific fields of transport, and that harmonisation efforts must not be an obstacle to the development of innovative or alternative solutions in the field of transport, the diversity of the energy mix and deployment of smart communication technologies;
