A	whereas EYV 2011 was a success, had relevant objectives and helped to raise awareness of the issue;
B	whereas creating an environment in which volunteering can thrive and is accessible to everyone is a lengthy process in which all stakeholders need to be involved;
C	whereas volunteering is a key facet of active citizenship and democracy, as well as of personal development, embodying European values such as solidarity and non-discrimination, and whereas it also helps to boost participatory democracy and promote human rights inside and outside the EU;
D	having regard to the importance which is attached to volunteering in the debate on public policies;
E	whereas engagement in voluntary activity can be an important way of gaining skills needed in the labour market as well as a means of attaining prominent social positions in the community;
F	whereas volunteers are, to a large degree, the lifeblood of sport;
G	whereas volunteering is a key factor for individual and collective emancipation, solidarity and social cohesion;
H	whereas volunteering plays a key role in creating social capital and boosting development, as well as in promoting economic and social cohesion, thus helping to further the aims of the Europe 2020 strategy;
I	whereas the Council conclusions of October 2011 on the role of voluntary activities in social policy underline the importance of voluntary activities for addressing gender inequalities;
J	whereas bureaucratic barriers at national level continue to restrict opportunities to engage in volunteering, which is still not legally recognised to a sufficient degree in some Member States;
K	whereas, owing to different traditions and cultural practices, major disparities exist between Member States as regards the laws applying to volunteering, the rights that volunteers have and the way in which volunteering is organised;
L	whereas the severe economic crisis, austerity measures and tax pressures are jeopardising the financial stability of many NGOs, sports bodies and voluntary organisations, which are nonetheless continuing to do what they can to enhance inclusion and social wellbeing in these difficult times;
M	whereas in order to safeguard the achievements of EYV 2011, European volunteering policy - to which a piecemeal approach is currently being taken at EU level, with responsibility being scattered across a range of services - needs to be properly structured and coordinated;
1	Notes the figures given for the EYV 2011 communication campaign in the annexes to the Commission report, and deplores the fact that poor results were achieved because of a lack of financial resources;
2	Recognises and supports the various forms of volunteering practised in the Member States through national organisations and networks of associations operating at local level; calls, in this respect, for a multicultural approach from the Member States, and calls on the Commission to undertake a detailed analysis of national volunteering practices and traditions with a view to fostering a common European approach;
3	Notes that the further consolidation of a common European approach to volunteering will create more opportunities for young people’s mobility and employability by allowing them to acquire valuable skills;
4	Welcomes the fact that some Member States have adopted or revised laws in this area with a view to creating a favourable environment for volunteering	and recommends other Member States to do likewise, with a focus on strengthening volunteers’ rights using the European Charter for the Rights and Responsibilities of Volunteers;
5	Encourages Member States to continue creating an enabling environment for volunteering, especially by means of a legal framework where one is still lacking;
6	Notes that some Member States have implemented the guidelines set out in the ILO Manual on the Measurement of Volunteer Work, and encourages the others to follow suit so that a body of comparable data providing a clear picture of the valuable contribution such work makes to society may be compiled;
7	Calls for a European statute for voluntary organisations to be adopted in order to help ensure that they are given proper legal and institutional recognition;
8	Stresses the need to promote volunteering, especially among schoolchildren, students and other young people, in order to broaden the horizons of solidarity and support for it;
9	Points out that the large number of European Skills Passports created online over recent months illustrates the success of this ‘electronic portfolio’, which provides a comprehensive picture of individuals' skills, including those acquired during volunteering work, so that they may be officially recognised for both employment and learning purposes;
10	Draws attention to the fact that skills and abilities acquired during volunteer work, which may be counted as non-formal and informal learning and work experience, are a plus point on CVs and in working life;
11	Believes that the proposed ‘Europass Experience’ document would allow volunteers to describe and record skills developed during volunteer work that may not lead to certification, and encourages the Commission, in the light of the Council’s recommendation on the validation of non-formal and informal learning, to launch that document as soon as possible;
