A	whereas the future of Europe lies with its capacity to unleash young people´s potential;
B	whereas the crisis has led to a rise in precarious forms of employment for young people, with short-term and part-time contracts and unremunerated work placement schemes all too often replacing existing jobs;
C	whereas the overall youth unemployment rate in the EU stood at 23,5 % in February 2013; whereas 7,5 million young people aged 15 to 24, and 6.5 million aged 25 to 29, were not in education, employment or training (NEETs) in 2011;
D	whereas the economic loss resulting from the disengagement of young people from the labour market in 2011 was estimated at EUR 153 billion, corresponding to 1,2 % of EU GDP(4);
E	whereas all young people are an integral part of society and should be recognised as such; whereas inequalities and all kinds of discrimination still persist and have a big impact on the lives of young people and their later development in society;
F	whereas the persistent economic crisis has a severe impact on the lives of young people in terms of their wellbeing and social inclusion, employment, access to housing, health, education and training, cultural activities, leisure and sports, and is leading to an unprecedented lack of opportunities for young people in the EU; whereas there is a serious risk of having a ‘lost generation’ in a significant part of Europe; whereas this alarming situation requires urgent measures, policies and action as well as structural reforms; whereas the deteriorating economic conditions may, especially in countries heavily hit by the crisis, lead young people to involuntary migration, which can be made manifest in the form of a massive ‘brain drain’ that reduces the growth, development and innovation potential of the country of origin over the medium to long term;
G	whereas, in response to the economic crisis, several Member States have implemented severe austerity measures, including serious cuts in spending on education, training and lifelong learning programmes; whereas those measures have a detrimental effect notably on youth employment in certain Member States, in particular those in southern Europe, leading in most cases to a significant brain drain from those regions and thus accentuating inequalities within the EU;
H	whereas the existing tools at EU level have to be further developed to deal with the challenges the new generation faces, but little has been done so far, without prejudice to further improvements that can be made to them; whereas the EU Strategy for Youth is a comprehensive framework and the Member States must take full advantage of it;
I	whereas the numbers of NEETs have risen dangerously across the EU; whereas the youth unemployment rate is unacceptably high in several Member States, while the average unemployment rates across the Union are reaching record highs, while the true figure can be masked by a marked increase in emigration among young people and becomes even more alarming taking into consideration precarious employment conditions or unreported employment, while the duration of the period of unemployment is constantly increasing;
J	whereas young women continue to face appalling labour market conditions while constituting a clear majority of part-time workers and temporary workers;
K	whereas the economic impact of young people not being in education, employment or training was estimated in terms of a loss of EUR 153 billion in 2011, corresponding to 1,2 % of EU GDP(5); whereas this represents a serious social and economic burden;
L	whereas the economic crisis in the EU is increasing poverty and social exclusion, which especially affect the younger generations; whereas the impact of the crisis on young people is hindering their capacity to lead an autonomous life and in extreme cases is provoking malnutrition or mental health problems;
M	whereas the unemployment rate among young people up to the age of 25 reached 23,5 % in March 2013 and more than 2 million jobs remain vacant in Europe because of a skills mismatch, particularly in the ICT and healthcare sectors; welcomes the Commission's ‘EU Skills Panorama’ initiative;
N	whereas geographical mismatches between the supply and demand of jobs and skills can be observed both within and between Member States;
O	whereas many young people are in informal, temporary and insecure jobs, unrelated to their qualifications or career aims and with no clear long-term prospects; whereas many are also missing out on the opportunity to acquire the skills and self-confidence necessary for career progression;
P	whereas young people face increasing difficulties in their transition from education into work due to disconnections between the education programmes available and the labour market; whereas lifelong learning initiatives and intergenerational projects are useful tools by which young people across the EU can be equipped with skills necessary for entering the labour market;
Q	whereas demographic groups that are underrepresented within the entrepreneurial population, especially founders of start-ups, include young people, women, the disabled and immigrants;
R	whereas the personal and social development of young people is just as important as their academic and professional development; whereas young people play an active role in the social infrastructure of Member States and are central to sustainable and vibrant communities;
S	whereas broadband rollout in the Member States needs to be improved in order to provide digitally-equipped schools;
T	whereas open educational resources improve the quality, accessibility and equity of education and facilitate an interactive, creative, flexible and personalised learning process through the use of ICT and new technologies; whereas open education enhances sustained employability by supporting lifelong learning;
U	whereas the use of new technologies and social media platforms is an important means of outreach to young people and of improving their capacity to participate in society and influence political and social processes;
V	whereas economic and social problems, exacerbated by an austerity-driven response to the crisis by the EU, are increasing Euroscepticism among citizens; whereas young people are the most vulnerable segment of society;
W	whereas an effective youth policy can contribute to the development of civic awareness among young people, which is of the utmost importance for their individual emancipation and their participation in society as active citizens;
X	whereas the structured dialogue should be considered as a first step towards the establishment of an effective and fruitful dialogue among young people, youth organisations and EU and national institutions that has to be continuously improved and developed;
1	Welcomes the Commission communication on the implementation of the renewed framework for European cooperation in the youth field (EU Youth Strategy 2010-2018);
2	Recalls the Commission's proposal that in the context of the ongoing negotiations on the new Multiannual Financial Framework funding for youth and education policies should be increased to address current and future challenges; stresses that communication between youth task forces is essential and should be promoted, as well as communication on action undertaken and results achieved so far;
3	Considers that the budget allocated for the fight against youth unemployment in the future MFF, namely EUR 6 billion, is insufficient and should be significantly increased in the negotiations;
4	Calls on the Council to further enhance the focus on young people by considering youth people as a mainstreamed priority in all EU programmes under the future MFF;
5	Considers it regrettable that the ambitious announcements made by the European Council relating to commitments for youth are not reflected in equivalent financial commitments; notes that a large part of the ‘Growth Package’ announced in 2012 consisted of a partial reallocation of structural funding that had already been promised and committed;
