A	whereas the Lisbon Treaty enhanced the concept of EU citizenship and its derived rights;
B	whereas the right to petition the European Parliament is one of the pillars of European citizenship, creating an interface between citizens and the European institutions, with the aim of bringing the EU closer to its citizens, and turning the EU into an increasingly meaningful and credible concept for them;
C	whereas the rights inherent to citizenship of the Union are incorporated in the treaties and in the Charter of Fundamental Rights of the European Union;
D	whereas all Member States have committed to respect the commonly agreed EU rules on the right of every citizen of the Union to move and reside freely within its territory,  non-discrimination and the common values of the European Union, notably the respect for fundamental rights, with special attention to the rights of people belonging to minorities; whereas special attention should be paid to national citizenship and the rights of minorities deriving from it; whereas infringements by any Member State of fundamental rights concerning citizenship issues must be stamped out in order to avoid double standards and/or discrimination; whereas the Roma minority still faces widespread discrimination, and progress in the implementation of the National Strategies for Roma Inclusion is still limited;
E	whereas free movement of people is one of the key elements of EU citizenship and can contribute to reducing the mismatch between jobs and skills in the internal market; whereas according to a Flash Eurobarometer from February 2013 more than two-thirds of respondents rightly agree that free movement of people within the EU brings overall benefits to the economy of their own country; whereas the Schengen criteria should be of a technical nature and should not be used to limit the access to the free movement of citizens;
F	whereas discrimination on grounds of nationality is still present in some EU countries;
G	whereas the issue of obtaining and forfeiting national citizenship has been raised in petitions, especially from the standpoint of its effects on European citizenship; whereas many petitioners, including many belonging to minorities in a Member State, have expressed their wish to see more coordinated citizenship laws in Europe;
H	whereas various complaints have been received with regard to the exercise of the right to vote in European and municipal elections, and also with regard to disenfranchisement in relation to national elections after a period of time spent abroad;
I	whereas public confidence in the European Union has fallen and European citizens are living through a difficult period caused by a severe economic and social crisis;
J	whereas the 2014 elections will be the first to be held after the entry into force of the Lisbon Treaty, which significantly widens the powers of the European Parliament; whereas the European elections represent an opportunity to strengthen public trust in the political system, create a European public sphere and strengthen the voice and the role of citizens, which is one of the most important preconditions for strengthening democracy in the Member States and the EU; whereas the democratic and transparent functioning of the European Parliament is one of the main assets in promoting European values and integration;
K	whereas the European Union, through its Treaties and the Charter of Fundamental Rights, champions a Europe of rights and democratic values, of freedom, solidarity and security, and guarantees EU citizens better protection;
L	whereas citizens are directly represented at Union level in the European Parliament and have a democratic right to stand and vote in the European elections, even when residing in a Member State other than their own; whereas the right of EU citizens resident in a Member State other than their own to vote in European and local elections is not sufficiently facilitated and promoted in all Member States;
M	whereas the European Union created a new right for European citizens to organise and support a European Citizens’ Initiative by submitting their policy proposals to the European Institutions, and this has been used by millions of European citizens since 1 April 2012;
1	Welcomes the Commission’s EU Citizenship Report 2013 (COM(2013)0269) announcing twelve new actions in six areas aimed at strengthening EU citizens’ rights;
2	Welcomes the fact that a large majority of the 25 measures announced in the Commission’s EU Citizenship Report 2010 have in the meantime been completed by the Commission and other EU institutions;
3	Stresses that citizens need to be able to make informed decisions about exercising their Treaty rights and should therefore have access to  all the necessary information, focusing not only on abstract rights, but also on practical, readily accessible information about economic, social, administrative, legal and cultural issues; calls on national, regional and local authorities to promote a better understanding of EU citizenship and to explain its practical benefits for individuals;
4	Welcomes the Commission’s initiatives aimed at improving citizens’ awareness of their rights through Europe Direct and Your Europe and urges Member States to step up their efforts to spread knowledge of the SOLVIT network to citizens and companies; proposes, in this respect, that more information on European citizenship be provided on the occasion of the celebration of Europe Day on 9 May;
5	Urges the Commission to ensure that its public consultations are available in all official EU languages so that no discrimination occurs on the basis of language; points to the Parliament’s, and in particular to the Committee on Petitions’, activities on social media platforms as an excellent way of creating interaction and dialogue with citizens;
6	Encourages Member States to give more space to political education on EU affairs in their school curricula, to adapt teachers’ training accordingly and, in this respect, to provide the necessary know-how and resources; emphasises that accessible education plays a vital role in the formation of future citizens by enabling them to acquire a solid basis of general knowledge, promoting individual empowerment, solidarity and mutual understanding and strengthening social cohesion; notes in this respect that education is essential as a means of enabling individuals to participate fully in democratic, social and cultural life and therefore considers that substantial cuts should not be made in the funds allocated to education;
7	Believes that it is particularly important to encourage recognition of volunteers’ commitment, to validate the skills and expertise acquired in this way and to remove obstacles relating to free movement;
8	Underlines the importance of the organised civil society in strengthening an active European citizenship; considers it crucial therefore to further facilitate the cross-border work of these organisations in reducing bureaucratic burdens and providing adequate funding; reiterates its call(2) for the establishment of the European Association Statute, as this may facilitate the construction of projects between citizens of different EU Member States within a transnational organisation; highlights the need to create a structured framework for European civil dialogue which would give practical substance to participatory citizenship;
9	Regrets the existing opt-outs from parts of the EU treaties by some Member States which undermine, and generate de facto differences in, the rights of citizens that are intended to be equal under the EU Treaties;
