Adamos ADAMOU,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=1,20.07.2004
Vittorio AGNOLETTO,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=3,20.07.2004
Vincenzo AITA,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=762,19.06.2006
Gabriele ALBERTINI,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=4,20.07.2004
Jim ALLISTER,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=5,20.07.2004
Alexander ALVARO,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=6,20.07.2004
Jan ANDERSSON,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=7,20.07.2004
Georgs ANDREJEVS,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=8,20.07.2004
Laima Liucija ANDRIKIENĖ,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=10,20.07.2004
Emmanouil ANGELAKAS,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=820,01.10.2007
Roberta ANGELILLI,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=11,20.07.2004
Rapisardo ANTINUCCI,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=894,17.06.2008
Alin Lucian ANTOCHI,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=937,21.01.2009
Alfredo ANTONIOZZI,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=12,20.07.2004
Kader ARIF,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=13,20.07.2004
Stavros ARNAOUTAKIS,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=14,20.07.2004
Richard James ASHWORTH,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=15,20.07.2004
Francisco ASSIS,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=16,20.07.2004
Robert ATKINS,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=17,20.07.2004
John ATTARD-MONTALTO,http://old.votewatch.eu/cx_mep_details.php?euro_parlamentar_id=18,20.07.2004
